,structure_coefficient
nN,-0.7412741019597905
AromaticRings,-0.6064816504413076
RingCount,-0.5485953402454364
nHalogen,-0.49246529028996444
BertzCT,-0.45224295671911363
QED,-0.39774838630315257
nHeteroatoms,-0.26945836547330687
HBD,-0.17376857613110752
nS,-0.1090747441114762
MolWt,-0.10340358504268454
AliphaticRings,-0.09188800531834058
HeavyAtoms,-0.06183114962324654
LabuteASA,-0.053141346114854764
MolMR,-0.05162597609269707
nC,0.03017270330995755
LogP,0.050550693742863764
TPSA,0.06519242288137553
HBA,0.09387576787245146
NumStereo,0.17512741481091648
RotBonds,0.3550409788159742
FracCsp3,0.481067579631339
nO,0.4889176203825944
