inchikey,smiles_can,in_m2or,m2or_id,in_leffingwell,leffingwell_id,in_goodscents,goodscents_id,skeleton,in_chembl,in_chembl_skeleton,is_odorant,chembl_id
XMGQYMWWDOXHJM-SNVBAGLBSA-N,C=C(C)[C@@H]1CC=C(C)CC1,1,SML0000,1,439250,1,439250,XMGQYMWWDOXHJM,1,1,1,CHEMBL236688
ULDHMXUKGWMISQ-VIFPVBQESA-N,C=C(C)[C@H]1CC=C(C)C(=O)C1,1,SML0001,0,,1,16724,ULDHMXUKGWMISQ,1,1,1,CHEMBL501949
NOOLISFMXDJSKH-AEJSXWLSSA-N,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,1,SML0002,0,,1,165675,NOOLISFMXDJSKH,1,1,1,CHEMBL2106989
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1,SML0003,1,263,1,263,LRHPLDYGYMQRHN,1,1,1,CHEMBL14245
RWNUSVWFHDHRCJ-UHFFFAOYSA-N,CCCCOCC(C)O,1,SML0004,0,,0,,RWNUSVWFHDHRCJ,1,1,1,CHEMBL1903014
LQZZUXJYWNFBMV-UHFFFAOYSA-N,CCCCCCCCCCCCO,1,SML0005,1,8193,1,8193,LQZZUXJYWNFBMV,1,1,1,CHEMBL24722
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,1,SML0006,1,1031,1,1031,BDERNNFJNOPAEC,1,1,1,CHEMBL14687
FJPGAMCQJNLTJC-UHFFFAOYSA-N,CCCCC(=O)C(C)=O,1,SML0007,1,60983,1,60983,FJPGAMCQJNLTJC,1,1,1,CHEMBL364588
LCZUOKDVTBMCMX-UHFFFAOYSA-N,Cc1cnc(C)cn1,1,SML0008,1,31252,1,31252,LCZUOKDVTBMCMX,1,1,1,CHEMBL94709
QPRQEDXDYOZYLA-UHFFFAOYSA-N,CCC(C)CO,1,SML0009,1,8723,1,8723,QPRQEDXDYOZYLA,1,1,1,CHEMBL451923
PFCHFHIRKBAQGU-UHFFFAOYSA-N,CCCC(=O)CC,1,SML0010,1,11509,1,11509,PFCHFHIRKBAQGU,1,1,1,CHEMBL3184187
AQIXEPGDORPWBJ-UHFFFAOYSA-N,CCC(O)CC,1,SML0011,1,11428,1,11428,AQIXEPGDORPWBJ,1,1,1,CHEMBL47100
GRWFGVWFFZKLTI-UHFFFAOYSA-N,CC1=CCC2CC1C2(C)C,1,SML0012,1,6654,1,6654,GRWFGVWFFZKLTI,1,1,1,CHEMBL442565
LNIMMWYNSBZESE-UHFFFAOYSA-N,CCc1nccnc1C,1,SML0013,1,27457,1,27457,LNIMMWYNSBZESE,1,1,1,CHEMBL3187840
WTARULDDTDQWMU-UHFFFAOYSA-N,C=C1CCC2CC1C2(C)C,1,SML0014,1,14896,1,14896,WTARULDDTDQWMU,1,1,1,CHEMBL501351
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,1,SML0015,1,176,1,176,QTBSBXVTEAMEQO,1,1,1,CHEMBL539
FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,1,SML0016,1,264,1,264,FERIUCNNQQJTOY,1,1,1,CHEMBL14227
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,O=c1ccc2ccccc2o1,1,SML0017,0,,1,323,ZYGHJZDHTFUPRJ,1,1,1,CHEMBL6466
POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)O,1,SML0018,1,3893,1,3893,POULHZVOKOAJMA,1,1,1,CHEMBL108766
RGXWDWUGBIJHDO-UHFFFAOYSA-N,CCCCCCCCCC(=O)OCC,1,SML0019,1,8048,1,8048,RGXWDWUGBIJHDO,1,1,1,CHEMBL3184829
MMXKVMNBHPAILY-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OCC,1,SML0020,1,7800,1,7800,MMXKVMNBHPAILY,1,1,1,CHEMBL3187842
XIRNKXNNONJFQO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC,1,SML0021,1,12366,1,12366,XIRNKXNNONJFQO,1,1,1,CHEMBL3561042
MVLVMROFTAUDAG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC,1,SML0022,1,8122,1,8122,MVLVMROFTAUDAG,0,0,1,
YYZUSRORWSJGET-UHFFFAOYSA-N,CCCCCCCC(=O)OCC,1,SML0023,1,7799,1,7799,YYZUSRORWSJGET,1,1,1,CHEMBL4633100
MMKRHZKQPFCLLS-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OCC,1,SML0024,1,31283,1,31283,MMKRHZKQPFCLLS,1,1,1,CHEMBL207555
RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1,1,SML0025,1,3314,1,3314,RRAFCDWBNXTKKO,1,1,1,CHEMBL42710
CRDAMVZIKSXKFV-YFVJMOTDSA-N,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,1,SML0026,1,445070,1,445070,CRDAMVZIKSXKFV,1,1,1,CHEMBL25308
GLZPCOQZEFWAFX-JXMROGBWSA-N,CC(C)=CCC/C(C)=C/CO,1,SML0027,1,637566,1,637566,GLZPCOQZEFWAFX,1,1,1,CHEMBL25719
HJFZAYHYIWGLNL-UHFFFAOYSA-N,Cc1cncc(C)n1,1,SML0028,1,7938,1,7938,HJFZAYHYIWGLNL,0,0,1,
GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(=O)O,1,SML0029,1,10430,1,10430,GWYFCOCPABKNJV,1,1,1,CHEMBL568737
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CC(O)C(=O)O,1,SML0030,1,612,1,612,JVTAAEKCZFNVCJ,1,1,1,CHEMBL1200559
SDQFDHOLCGWZPU-UHFFFAOYSA-N,CC(C=O)Cc1ccc(C(C)(C)C)cc1,1,SML0031,1,228987,0,,SDQFDHOLCGWZPU,1,1,1,CHEMBL1496715
CDOSHBSSFJOMGT-UHFFFAOYSA-N,C=CC(C)(O)CCC=C(C)C,1,SML0032,1,6549,1,6549,CDOSHBSSFJOMGT,1,1,1,CHEMBL25306
ORMHZBNNECIKOH-UHFFFAOYSA-N,CC(C)(O)CCCC1=CCC(C=O)CC1,1,SML0033,1,91604,1,91604,ORMHZBNNECIKOH,1,1,1,CHEMBL3182066
DRLFMBDRBRZALE-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1,SML0034,0,,0,,DRLFMBDRBRZALE,1,1,1,CHEMBL45
UQDUPQYQJKYHQI-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OC,1,SML0035,0,,1,8139,UQDUPQYQJKYHQI,1,1,1,CHEMBL1894365
FLIACVVOZYBSBS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC,1,SML0036,1,8181,1,8181,FLIACVVOZYBSBS,1,1,1,CHEMBL335125
HPEUJPJOZXNMSJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OC,1,SML0037,1,8201,1,8201,HPEUJPJOZXNMSJ,0,0,1,
JGHZJRVDZXSNKQ-UHFFFAOYSA-N,CCCCCCCC(=O)OC,1,SML0038,1,8091,1,8091,JGHZJRVDZXSNKQ,1,1,1,CHEMBL3183908
ZAZKJZBWRNNLDS-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC,1,SML0039,1,31284,1,31284,ZAZKJZBWRNNLDS,1,1,1,CHEMBL207549
