smiles_id,cluster,class_group,inchikey,row,in_universe
SML0000,1,shared,XMGQYMWWDOXHJM-SNVBAGLBSA-N,725761,True
SML0001,1,,ULDHMXUKGWMISQ-VIFPVBQESA-N,725008,True
SML0002,5,Class I only,NOOLISFMXDJSKH-AEJSXWLSSA-N,723538,True
SML0003,5,Class I only,LRHPLDYGYMQRHN-UHFFFAOYSA-N,723056,True
SML0004,1,Class I only,RWNUSVWFHDHRCJ-UHFFFAOYSA-N,724606,True
SML0005,1,shared,LQZZUXJYWNFBMV-UHFFFAOYSA-N,723054,True
SML0007,1,,FJPGAMCQJNLTJC-UHFFFAOYSA-N,721537,True
SML0008,5,,LCZUOKDVTBMCMX-UHFFFAOYSA-N,722912,True
SML0009,5,,QPRQEDXDYOZYLA-UHFFFAOYSA-N,724288,True
SML0010,1,,PFCHFHIRKBAQGU-UHFFFAOYSA-N,723944,True
SML0011,5,,AQIXEPGDORPWBJ-UHFFFAOYSA-N,720599,True
SML0012,0,,GRWFGVWFFZKLTI-UHFFFAOYSA-N,721850,True
SML0013,4,shared,LNIMMWYNSBZESE-UHFFFAOYSA-N,723011,True
SML0014,0,,WTARULDDTDQWMU-UHFFFAOYSA-N,725564,True
SML0015,2,Class I only,QTBSBXVTEAMEQO-UHFFFAOYSA-N,724332,True
SML0016,2,Class I only,FERIUCNNQQJTOY-UHFFFAOYSA-N,721482,True
SML0017,0,Class II only,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,726392,True
SML0018,0,shared,POULHZVOKOAJMA-UHFFFAOYSA-N,724032,True
SML0019,1,shared,RGXWDWUGBIJHDO-UHFFFAOYSA-N,724449,True
SML0020,1,shared,MMXKVMNBHPAILY-UHFFFAOYSA-N,723267,True
SML0021,1,Class II only,XIRNKXNNONJFQO-UHFFFAOYSA-N,725723,True
SML0022,1,Class II only,MVLVMROFTAUDAG-UHFFFAOYSA-N,723341,True
SML0023,1,shared,YYZUSRORWSJGET-UHFFFAOYSA-N,726136,True
SML0024,1,shared,MMKRHZKQPFCLLS-UHFFFAOYSA-N,723258,True
SML0025,4,Class I only,RRAFCDWBNXTKKO-UHFFFAOYSA-N,724544,True
SML0026,0,shared,CRDAMVZIKSXKFV-YFVJMOTDSA-N,721079,True
SML0027,0,shared,GLZPCOQZEFWAFX-JXMROGBWSA-N,721797,True
SML0028,5,,HJFZAYHYIWGLNL-UHFFFAOYSA-N,722016,True
SML0029,2,Class I only,GWYFCOCPABKNJV-UHFFFAOYSA-N,721900,True
SML0030,2,Class I only,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,722607,True
SML0031,0,shared,SDQFDHOLCGWZPU-UHFFFAOYSA-N,724659,True
SML0032,3,shared,CDOSHBSSFJOMGT-UHFFFAOYSA-N,720962,True
SML0033,1,shared,ORMHZBNNECIKOH-UHFFFAOYSA-N,723815,True
SML0034,4,shared,DRLFMBDRBRZALE-UHFFFAOYSA-N,721350,True
SML0035,1,shared,UQDUPQYQJKYHQI-UHFFFAOYSA-N,725041,True
SML0036,1,shared,FLIACVVOZYBSBS-UHFFFAOYSA-N,721552,True
SML0037,1,shared,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,722067,True
SML0038,1,shared,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,722449,True
SML0039,1,shared,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,726162,True
SML0040,5,,IVSZLXZYQVIEFR-UHFFFAOYSA-N,722355,True
SML0041,3,shared,GYHFUZHODSMOHU-UHFFFAOYSA-N,721916,True
SML0042,1,,ALHUZKCOMYUFRB-UHFFFAOYSA-N,720551,True
SML0043,4,shared,QIQXTHQIDYTFRH-UHFFFAOYSA-N,724220,True
SML0044,3,Class I only,NUJGJRNETVAIRJ-UHFFFAOYSA-N,723610,True
SML0045,4,shared,IPCSVZSSVZVIGE-UHFFFAOYSA-N,722299,True
SML0046,4,Class II only,ZRSNZINYAWTAHE-UHFFFAOYSA-N,726328,True
SML0047,3,,HFPZCAJZSCWRBC-UHFFFAOYSA-N,721987,True
SML0048,4,shared,WQEPLUUGTLDZJY-UHFFFAOYSA-N,725527,True
SML0049,2,Class I only,XBDQKXXYIPTUBI-UHFFFAOYSA-N,725652,True
SML0050,0,,UNYNVICDCJHOPO-UHFFFAOYSA-N,725032,True
SML0051,4,shared,TUNFSRHWOTWDNC-UHFFFAOYSA-N,724845,True
SML0052,0,Class I only,KMPQYAYAQWNLME-UHFFFAOYSA-N,722757,True
SML0053,2,,MWOOGOJBHIARFG-UHFFFAOYSA-N,723346,True
SML0055,1,Class II only,KBPLFHHGFOOTCA-UHFFFAOYSA-N,722652,True
SML0056,4,Class II only,YZEFQPIMXZVPKP-UHFFFAOYSA-N,726140,True
SML0057,4,Class I only,MNWFXJYAOYHMED-UHFFFAOYSA-N,723276,True
SML0058,2,Class I only,FUZZWVXGSFPDMH-UHFFFAOYSA-N,721641,True
SML0059,4,shared,KANZWHBYRHQMKZ-UHFFFAOYSA-N,722643,True
SML0060,1,shared,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,726052,True
SML0061,0,shared,WWZKQHOCKIZLMA-UHFFFAOYSA-N,725611,True
SML0062,4,Class I only,OXQOBQJCDNLAPO-UHFFFAOYSA-N,723870,True
SML0063,4,Class I only,WKSXRWSOSLGSTN-UHFFFAOYSA-N,725452,True
SML0064,4,shared,DBZAKQWXICEWNW-UHFFFAOYSA-N,721194,True
SML0065,3,Class II only,CAWHJQAVHZEVTJ-UHFFFAOYSA-N,720930,True
SML0066,4,Class II only,QMQDJVIJVPEQHE-UHFFFAOYSA-N,724254,True
SML0068,5,,PSINWXIDJYEXLO-UHFFFAOYSA-N,724068,True
SML0069,4,shared,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,726391,True
SML0070,3,,GZXXANJCCWGCSV-UHFFFAOYSA-N,721926,True
SML0071,4,shared,DPCILIMHENXHQX-UHFFFAOYSA-N,721330,True
SML0072,5,,YTZKOQUCBOVLHL-UHFFFAOYSA-N,726076,True
SML0073,0,shared,MYHGOWDLVRDUFA-UHFFFAOYSA-N,723365,True
SML0074,0,shared,GLZPCOQZEFWAFX-YFHOEESVSA-N,721798,True
SML0075,1,,FKUPPRZPSYCDRS-UHFFFAOYSA-N,721547,True
SML0076,1,Class II only,KHLFMZDGADSQGR-ACCUITESSA-N,722713,True
SML0077,0,shared,PGMYKACGEOXYJE-UHFFFAOYSA-N,723964,True
SML0078,5,Class II only,JHIVVAPYMSGYDF-UHFFFAOYSA-N,722456,True
SML0079,1,Class II only,CATSNJVOTSVZJV-UHFFFAOYSA-N,720929,True
SML0080,0,shared,KWOLFJPFCHCOCG-UHFFFAOYSA-N,722848,True
SML0081,2,shared,AIVVNNYXOSPRCW-UHFFFAOYSA-N,720533,True
SML0082,1,Class II only,XMWRWTSZNLOZFN-UHFFFAOYSA-N,725770,True
SML0083,1,shared,NOOLISFMXDJSKH-KXUCPTDWSA-N,723540,True
SML0084,5,,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,726374,True
SML0085,3,shared,MMFCJPPRCYDLLZ-CMDGGOBGSA-N,723255,True
SML0086,2,Class I only,KIPCKEJKGCXRGA-UHFFFAOYSA-N,722722,True
SML0087,3,,PETRWTHZSKVLRE-UHFFFAOYSA-N,723942,True
SML0088,2,Class I only,FGKJLKRYENPLQH-UHFFFAOYSA-N,721510,True
SML0089,2,shared,HFVMLYAGWXSTQI-QYXZOKGRSA-N,721991,True
SML0090,0,shared,FZJUFJKVIYFBSY-UHFFFAOYSA-N,721674,True
