,structure_coefficient
RingCount,-0.545653001670137
AliphaticRings,-0.49673074823284147
nHalogen,-0.43191059319421005
nN,-0.375854429644436
BertzCT,-0.33068152613458807
NumStereo,-0.307752034364234
QED,-0.14363302448193926
AromaticRings,-0.1331858960674271
HBD,-0.05606872214016782
nC,-0.037030816909479854
MolMR,-0.009901584867985232
HeavyAtoms,-0.00032321139937034
MolWt,0.0024208261738908805
LogP,0.003703725756303615
LabuteASA,0.004042074120853363
nHeteroatoms,0.11660487245279152
TPSA,0.15283960474658997
nS,0.15807870907921598
FracCsp3,0.23035891772941502
HBA,0.293916781084464
nO,0.3254007434833038
RotBonds,0.4044290890727711
