,chembl,coconut,coconut_aligned
AliphaticRings,-0.0918880053183405,-0.49673074823284147,-0.49673074823284147
AromaticRings,-0.6064816504413076,-0.1331858960674271,-0.1331858960674271
BertzCT,-0.4522429567191136,-0.33068152613458807,-0.33068152613458807
FracCsp3,0.481067579631339,0.23035891772941502,0.23035891772941502
HBA,0.0938757678724514,0.293916781084464,0.293916781084464
HBD,-0.1737685761311075,-0.05606872214016782,-0.05606872214016782
HeavyAtoms,-0.0618311496232465,-0.00032321139937034,-0.00032321139937034
LabuteASA,-0.0531413461148547,0.004042074120853363,0.004042074120853363
LogP,0.0505506937428637,0.003703725756303615,0.003703725756303615
MolMR,-0.051625976092697,-0.009901584867985232,-0.009901584867985232
MolWt,-0.1034035850426845,0.0024208261738908805,0.0024208261738908805
NumStereo,0.1751274148109164,-0.307752034364234,-0.307752034364234
QED,-0.3977483863031525,-0.14363302448193926,-0.14363302448193926
RingCount,-0.5485953402454364,-0.545653001670137,-0.545653001670137
RotBonds,0.3550409788159742,0.4044290890727711,0.4044290890727711
TPSA,0.0651924228813755,0.15283960474658997,0.15283960474658997
nC,0.0301727033099575,-0.037030816909479854,-0.037030816909479854
nHalogen,-0.4924652902899644,-0.43191059319421005,-0.43191059319421005
nHeteroatoms,-0.2694583654733068,0.11660487245279152,0.11660487245279152
nN,-0.7412741019597905,-0.375854429644436,-0.375854429644436
nO,0.4889176203825944,0.3254007434833038,0.3254007434833038
nS,-0.1090747441114762,0.15807870907921598,0.15807870907921598
