rank,taxid,n_odorant,n_background,pct_odorant,pct_background,odds_ratio,p,q,taxon
superkingdom,2759,1931,235145,96.79197994987469,87.92110674892503,4.14511225786217,3.9102400928284394e-45,5.86536013924266e-45,Eukaryota
superkingdom,2,537,36405,26.917293233082706,13.611890072910825,2.3375036667395777,1.0123664830647124e-54,3.0370994491941375e-54,Bacteria
superkingdom,2157,18,518,0.9022556390977443,0.19368106188072537,4.691770027126628,1.7733130494196727e-07,1.7733130494196727e-07,Archaea
kingdom,33090,1848,169191,92.63157894736842,63.260796410544025,7.30095572459528,3.4006812196262856e-204,2.7205449757010285e-203,Viridiplantae
kingdom,1783272,427,30095,21.403508771929825,11.252570573939055,2.1477605143236893,3.536199853062841e-38,7.072399706125682e-38,Bacillati
kingdom,33208,853,47790,42.75689223057644,17.868760515984295,3.4331823883606365,4.1784990265576415e-145,1.6713996106230566e-144,Metazoa
kingdom,4751,589,51522,29.523809523809526,19.264161525518787,1.7556834813152502,7.025082696277525e-28,1.124013231404404e-27,Fungi
kingdom,3379134,311,9073,15.588972431077694,3.392409796223593,5.259218838070619,4.5460383144736424e-108,1.212276883859638e-107,Pseudomonadati
kingdom,3366610,17,412,0.8521303258145363,0.15404748551131053,5.57055523378523,3.7415959322781716e-08,4.276109636889339e-08,Methanobacteriati
kingdom,3384194,15,110,0.7518796992481203,0.04112918302486446,18.411845730027547,4.4348495571685126e-14,5.91313274289135e-14,Thermotogati
kingdom,1783275,1,110,0.05012531328320802,0.04112918302486446,1.2188383331813624,0.5618012712488973,0.5618012712488973,Thermoproteati
