rank,taxid,pct_odorant,pct_background,odds_ratio,n_odorant,n_background,p,q,taxon
superkingdom,2759,96.35922330097087,89.63180880352506,3.061541030984729,397,137713,6.046464508891013e-07,1.813939352667304e-06,Eukaryota
superkingdom,2,3.6407766990291264,9.973770363765352,0.34104402833309333,15,15324,2.0997257010505725e-06,3.1495885515758587e-06,Bacteria
superkingdom,2157,0.0,0.04816360003384469,0.0,0,74,1.0,1.0,Archaea
kingdom,33090,83.49514563106796,61.3513144106793,3.1868409327194414,344,94262,1.5670851744345187e-22,1.0969596221041632e-21,Viridiplantae
kingdom,1783272,2.912621359223301,8.452711805939744,0.3249156849156849,12,12987,7.313468731638326e-06,1.7064760373822762e-05,Bacillati
kingdom,33208,10.679611650485437,15.409748572990635,0.6563411306257667,44,23676,0.0075197966335782875,0.013159644108762003,Metazoa
kingdom,4751,1.2135922330097086,10.00696419622111,0.11047961486985877,5,15375,4.1320695474019734e-13,1.4462243415906908e-12,Fungi
kingdom,3379134,0.7281553398058253,1.4898173037496014,0.4850048226823086,3,2289,0.3023507508784175,0.42329105122978455,Pseudomonadati
kingdom,3366610,0.0,0.03774984867517557,0.0,0,58,1.0,1.0,Methanobacteriati
kingdom,3384194,0.0,0.014318908118170043,0.0,0,22,1.0,1.0,Thermotogati
phylum,35493,83.49514563106796,61.051919059117566,3.2272772310135114,344,93802,5.795002517995174e-23,1.9123508309384072e-21,Streptophyta
phylum,201174,2.912621359223301,6.612732112754893,0.4236702755905512,12,10160,0.0013588483559742338,0.007473665957858286,Actinomycetota
phylum,3041,0.0,0.2993953515617373,0.0,0,460,0.6397094391294806,1.0,Chlorophyta
phylum,6040,0.4854368932038835,6.2384879233027215,0.07331475756072114,2,9585,2.25702622553345e-09,1.8620466360650962e-08,Porifera
phylum,1239,0.0,0.3950716921695098,0.0,0,607,0.4185434900112704,0.8632459481482452,Bacillota
phylum,4890,0.4854368932038835,7.296785405127471,0.061973975907808315,2,11211,2.935317803269244e-11,3.2288495835961683e-10,Ascomycota
phylum,1224,0.24271844660194175,1.013388179090489,0.23766148326293468,1,1557,0.13926033203612068,0.4157195105085057,Pseudomonadota
phylum,976,0.24271844660194175,0.06118078923218109,3.9744525547445257,1,94,0.2246829192867954,0.5296097383188749,Bacteroidota
phylum,5204,0.7281553398058253,2.58521377478961,0.2763925719646326,3,3972,0.011812529397132409,0.044468047962541925,Basidiomycota
phylum,6656,0.7281553398058253,0.43086896246493495,1.6950302484137125,3,662,0.26340711441361064,0.5794956517099433,Arthropoda
phylum,6073,0.0,4.209758986741993,0.0,0,6468,4.1674029503622145e-08,2.7504859472390617e-07,Cnidaria
phylum,7711,8.495145631067961,1.7443033525770781,5.229527099251752,35,2680,3.9100710229285316e-14,6.451617187832077e-13,Chordata
phylum,1117,0.0,1.4247313577579193,0.0,0,2189,0.005403669590347318,0.0254744423544945,Cyanobacteriota
phylum,2763,0.24271844660194175,1.3225464225509787,0.1815370136214725,1,2032,0.04971230453727321,0.16405060497300158,Rhodophyta
phylum,6447,0.4854368932038835,1.0322631034280767,0.46768062005966843,2,1586,0.4559586210947245,0.8850961468309358,Mollusca
phylum,2818505,0.24271844660194175,0.36578301647325295,0.6627399537626308,1,562,1.0,1.0,Myxococcota
phylum,7586,0.0,1.2639690711584648,0.0,0,1942,0.012127649444329617,0.044468047962541925,Echinodermata
phylum,1913637,0.0,0.09307290276810529,0.0,0,143,1.0,1.0,Mucoromycota
phylum,6231,0.4854368932038835,0.16596916227878913,2.9342515542802485,2,255,0.1511707310940021,0.4157195105085057,Nematoda
phylum,2605435,0.0,0.08200829194951934,0.0,0,126,1.0,1.0,Evosea
phylum,6157,0.0,0.018224064877670965,0.0,0,28,1.0,1.0,Platyhelminthes
phylum,544448,0.0,0.018224064877670965,0.0,0,28,1.0,1.0,Mycoplasmatota
phylum,10205,0.0,0.2167362001523011,0.0,0,333,1.0,1.0,Bryozoa
phylum,5878,0.0,0.03449555137559147,0.0,0,53,1.0,1.0,Ciliophora
phylum,4761,0.0,0.017573205417754145,0.0,0,27,1.0,1.0,Chytridiomycota
phylum,2836,0.24271844660194175,0.04360758381442695,5.577078113084214,1,67,0.16651569176232728,0.4226936790889846,Bacillariophyta
phylum,28890,0.0,0.03709898921525875,0.0,0,57,1.0,1.0,Methanobacteriota
phylum,6340,0.0,0.04100414597475967,0.0,0,63,1.0,1.0,Annelida
phylum,33682,0.0,0.016922345957837325,0.0,0,26,1.0,1.0,Euglenozoa
phylum,1297,0.0,0.013668048658253223,0.0,0,21,1.0,1.0,Deinococcota
phylum,2830,0.0,0.018224064877670965,0.0,0,28,1.0,1.0,Haptophyta
phylum,10219,0.0,0.04165500543467649,0.0,0,64,1.0,1.0,Hemichordata
phylum,74201,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Verrucomicrobiota
class,3398,81.79611650485437,57.66875158646993,3.298292477390035,337,88604,3.4063338988246983e-25,2.316307051200795e-23,Magnoliopsida
class,1760,2.912621359223301,6.608826955995392,0.4239383494189482,12,10154,0.0013570063304176442,0.015379405078066635,Actinomycetes
class,33103,0.0,0.213481902852717,0.0,0,328,1.0,1.0,Ulvophyceae
class,80999,0.24271844660194175,0.24407229746880757,0.9944395782643958,1,375,1.0,1.0,Homoscleromorpha
class,91061,0.0,0.36643387593316973,0.0,0,563,0.4129926537816595,1.0,Bacilli
class,147541,0.0,1.1494178062131044,0.0,0,1766,0.0174247520694611,0.1077166491566686,Dothideomycetes
class,28216,0.0,0.15034853524078545,0.0,0,231,1.0,1.0,Betaproteobacteria
class,768503,0.0,0.018874924337587785,0.0,0,29,1.0,1.0,Cytophagia
class,27929,0.0,0.056624773012763356,0.0,0,87,1.0,1.0,Calcarea
class,50557,0.4854368932038835,0.3423520759162474,1.4199851618288046,2,526,0.6553470817579344,1.0,Insecta
class,147547,0.0,0.2772661299245654,0.0,0,426,0.6345188333056337,1.0,Lecanoromycetes
class,2870,0.4854368932038835,1.0251036493689918,0.4709810298102981,2,1575,0.4549344607055338,1.0,Phaeophyceae
class,147545,0.4854368932038835,2.63012307752387,0.18059041169476284,2,4041,0.002820718388950128,0.027401264349801245,Eurotiomycetes
class,6042,0.24271844660194175,5.913058193344312,0.03871465357591924,1,9085,7.077274331883261e-10,1.604182181893539e-08,Demospongiae
class,147550,0.0,2.837747245237336,0.0,0,4360,1.6223016207116267e-05,0.00022063302041678122,Sordariomycetes
class,58019,1.2135922330097086,1.5496963740619487,0.7804517128330652,5,2381,0.8398945645633027,1.0,Pinopsida
class,1236,0.0,0.7120402491490012,0.0,0,1094,0.12850327206936463,0.5575370395823303,Gammaproteobacteria
class,6101,0.0,4.145974759670144,0.0,0,6370,6.533307046074836e-08,1.1106621978327221e-06,Anthozoa
class,40674,8.25242718446602,0.7536952545836777,11.844198627445605,34,1158,4.290878110198224e-24,1.4588985574673961e-22,Mammalia
class,186770,0.0,0.10543923250652487,0.0,0,162,1.0,1.0,Marchantiopsida
class,155619,0.7281553398058253,2.5272872828570128,0.28289572690689213,3,3883,0.016604695125585482,0.1077166491566686,Agaricomycetes
class,3028117,0.0,1.4182227631587512,0.0,0,2179,0.005372253792790702,0.045664157238720963,Cyanophyceae
class,1521260,0.0,0.2453740163886412,0.0,0,377,0.6311967143148245,1.0,Lycopodiopsida
class,28211,0.24271844660194175,0.15034853524078545,1.615866696158667,1,231,0.4629970910741587,1.0,Alphaproteobacteria
class,6658,0.0,0.021478362177255066,0.0,0,33,1.0,1.0,Branchiopoda
class,2806,0.0,1.313434390112143,0.0,0,2018,0.007862534332773915,0.05940581495873625,Florideophyceae
class,241806,0.4854368932038835,0.5486745247098794,0.8841825073055001,2,843,1.0,1.0,Polypodiopsida
class,7713,0.0,0.7797296329803506,0.0,0,1198,0.0838904574892479,0.44644406244723067,Ascidiacea
class,186771,0.0,0.6306828166593987,0.0,0,969,0.1945200347347565,0.7348534645535245,Jungermanniopsida
class,6448,0.4854368932038835,0.8656430816893708,0.5586392811296534,2,1330,0.593770476787538,1.0,Gastropoda
class,5257,0.0,0.013668048658253223,0.0,0,21,1.0,1.0,Ustilaginomycetes
class,186623,0.0,0.0774522757301016,0.0,0,119,1.0,1.0,Actinopteri
class,147549,0.0,0.03840070813509239,0.0,0,59,1.0,1.0,Pezizomycetes
class,32015,0.0,0.14774509740111819,0.0,0,227,1.0,1.0,Myxococcia
class,6854,0.0,0.031241254076007367,0.0,0,48,1.0,1.0,Arachnida
class,2864,0.0,0.2753135515448149,0.0,0,423,0.6341643965148236,1.0,Dinophyceae
class,3214,0.0,0.05076703787351197,0.0,0,78,1.0,1.0,Bryopsida
class,6074,0.0,0.06183164869209792,0.0,0,95,1.0,1.0,Hydrozoa
class,7618,0.0,0.03384469191567465,0.0,0,52,1.0,1.0,Ophiuroidea
class,6544,0.0,0.16011142713953777,0.0,0,246,1.0,1.0,Bivalvia
class,7705,0.0,0.43412325976451904,0.0,0,667,0.4317890087197126,1.0,Holothuroidea
class,8292,0.0,0.0872151676288539,0.0,0,134,1.0,1.0,Amphibia
class,2212703,0.0,0.07940485410985205,0.0,0,122,1.0,1.0,Mucoromycetes
class,119089,0.4854368932038835,0.16596916227878913,2.9342515542802485,2,255,0.1511707310940021,0.6046829243760083,Chromadorea
class,3372,0.0,0.10413751358669122,0.0,0,160,1.0,1.0,Gnetopsida
class,142796,0.0,0.08200829194951934,0.0,0,126,1.0,1.0,Eumycetozoa
class,147100,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Rhabditophora
class,7588,0.0,0.7263591572671713,0.0,0,1116,0.1311851857840777,0.5575370395823303,Asteroidea
class,4891,0.0,0.030590394616090547,0.0,0,47,1.0,1.0,Saccharomycetes
class,147548,0.0,0.25643862720722715,0.0,0,394,0.6317210561187782,1.0,Leotiomycetes
class,10206,0.0,0.2167362001523011,0.0,0,333,1.0,1.0,Gymnolaemata
class,35069,0.0,0.03840070813509239,0.0,0,59,1.0,1.0,Crinoidea
class,3296,0.0,0.013668048658253223,0.0,0,21,1.0,1.0,Cycadopsida
class,451435,0.0,0.017573205417754145,0.0,0,27,1.0,1.0,Chytridiomycetes
class,33849,0.0,0.019525783797504605,0.0,0,30,1.0,1.0,Bacillariophyceae
class,29811,0.0,0.10934438926602578,0.0,0,168,1.0,1.0,Ginkgoopsida
