seed,features,n_pairs,fraction_matched,worst_smd,auc,split
0,volatility_only,5939,0.9993269392562679,0.0035470693172528576,0.49441795028941177,random
0,descriptors_22,5939,0.9993269392562679,0.0035470693172528576,0.6670983817319263,random
0,molformer_768,5939,0.9993269392562679,0.0035470693172528576,0.7949530730298077,random
1,volatility_only,5939,0.9993269392562679,0.003396680846769557,0.48701086913224334,random
1,descriptors_22,5939,0.9993269392562679,0.003396680846769557,0.6672085691537423,random
1,molformer_768,5939,0.9993269392562679,0.003396680846769557,0.7946516701013824,random
2,volatility_only,5939,0.9993269392562679,0.003446382277441564,0.486547395858569,random
2,descriptors_22,5939,0.9993269392562679,0.003446382277441564,0.6665299802070901,random
2,molformer_768,5939,0.9993269392562679,0.003446382277441564,0.7934597237259843,random
3,volatility_only,5939,0.9993269392562679,0.0032661166256494224,0.49132903098207203,random
3,descriptors_22,5939,0.9993269392562679,0.0032661166256494224,0.6674116213382386,random
3,molformer_768,5939,0.9993269392562679,0.0032661166256494224,0.7933853582023968,random
4,volatility_only,5939,0.9993269392562679,0.003608080608115206,0.4943509419344749,random
4,descriptors_22,5939,0.9993269392562679,0.003608080608115206,0.6663210592984674,random
4,molformer_768,5939,0.9993269392562679,0.003608080608115206,0.7934063665336887,random
