canonical_smiles,UMAP1,UMAP2
CCCCC=COC(=O)CCCCCCCC,8.620339,5.564192
CC(=O)OCC1C=CC(C(C)C)CC1,9.295341,5.839337
CCCCCCCCC(OC(C)=O)C(=O)OC,8.727349,5.508401
CCCCC=COC(=O)C(C)CCC,8.7679,5.5131345
CCCC(S)COCC,8.674513,5.3245177
CCCCCCCC=CC(=O)OC(CCCCCCCC)C(=O)O,8.579869,5.656968
CCCCC=COC(=O)C=CCCCCC,8.654256,5.626575
CC(C)CC(C)(O)C1CCCS1,10.412272,3.5239763
CC(=S)OC1(C)OCCC1C,9.241623,7.41958
CCCCCC(OCC)OCCC,8.719523,5.3301105
CCCCC=COC(=O)c1ccco1,8.985135,5.296352
CCC=CC(=O)OC=CCCCC,8.691894,5.700322
CCCC(CS)OC=O,8.657555,5.3706408
CCCCCCCCC(=O)C(=O)OC(=C(C)C)C(O)CO,8.870697,5.609096
CCCC(CCOC)[SH]=C(O)OCC,8.859277,4.6588593
CC=CCOC(=O)C(C)CCC,8.897418,5.4952455
CC1=C(OC(=O)CO)CC(C(C)C)CC1,9.074241,5.36352
Cc1coc(C(=O)c2cccs2)c1C,10.743549,2.6509883
CCCCCCCCCCC(OC=O)C(=O)OC,8.63265,5.6441345
CCCC(=O)CCSCc1ccco1,8.874712,4.922652
CCOC(=O)C1(c2ccccc2)OC1CC,10.80279,4.449507
CCCCCCCCC=CC(OC)OC,8.626674,5.640682
SCC1CC=CS1,10.606746,4.433695
CCCOC(CC)OC(C)CCC,8.813444,5.265538
CCCCCCCC=COC(=O)CC(C)C,8.780323,5.537119
CCCCCCCCCC(=O)Oc1ccccc1C,8.70131,5.4672456
CC=CC1(C)CCOSC1(C)C,9.420405,7.449265
CCCSC(O)(CS)CCC,8.488324,4.952904
CC(C)C=C(C=O)c1ccco1,10.630719,4.5831723
CCCCC(C)C(C)(C)OC(=O)CC(C)C,8.947288,5.244667
CCCCCCCCC=CC=CC=CC=CC=O,8.609811,5.6463995
CCCC=CC(OCCCC)OCCCC,8.725095,5.425708
CCC(=O)C(C)SSc1ccco1,9.422227,4.88234
CCCCCCCCC(S)C=O,8.686497,5.3871555
CCC(=O)OC1(C)CCCCC1(C)C,9.350426,7.2867517
CC(CN)O,8.26591,4.757263
CCC(=O)C(=O)O,8.799999,5.2225065
C(C(=O)C(=O)O)S,8.209214,4.4853463
C1=CC(=CC(=C1)O)C=O,10.956701,4.6448016
C1=CC=C(C=C1)CCC(=O)O,11.038273,4.6394033
C1=CC(=CC=C1CO)O,11.029823,4.5538936
C1=CC(=CC=C1C=O)O,11.093441,4.433376
CC(C)CCC=O,9.185502,6.6302705
C1=CC(=CC=C1C(=O)O)O,11.055352,4.6353045
CC(=O)O,8.109983,5.0359154
CC=O,8.660712,5.2138515
CC(C(=O)C)O,8.87975,4.2572455
CC(=O)C,8.900812,5.292048
C(CCC(=O)O)CC(=O)O,7.356651,4.40157
CC(C(C(=O)O)N)O,8.530187,4.2438736
C1=CC=C(C=C1)C=O,11.029456,4.5194755
C1=CC=C(C=C1)C(=O)O,11.114421,4.640843
C1=CC=C(C=C1)CO,11.02214,4.7052655
CCCC=O,8.57622,5.501759
CCCCO,8.560068,5.55627
