InChIKey,SMILES,Odors
XMGQYMWWDOXHJM-SNVBAGLBSA-N,CC1=CC[C@H](CC1)C(=C)C,"herbal, orange, peppery, terpenic, pine"
ULDHMXUKGWMISQ-VIFPVBQESA-N,CC1=CC[C@@H](CC1=O)C(=C)C,"minty, bready, spicy"
NOOLISFMXDJSKH-AEJSXWLSSA-N,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,mentholic
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,"alcoholic, solvent, winey, sweet, fermented, oily, balsamic"
RWNUSVWFHDHRCJ-UHFFFAOYSA-N,CCCCOCC(C)O,
LQZZUXJYWNFBMV-UHFFFAOYSA-N,CCCCCCCCCCCCO,"citrus, fatty, floral, oily, waxy, honey, coconut, earthy, soapy"
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,"alcoholic, fermented, sweet, musty, fruity, apple, pear"
FJPGAMCQJNLTJC-UHFFFAOYSA-N,CCCCC(=O)C(=O)C,"buttery, cheesy, fatty, sweet, oily"
LCZUOKDVTBMCMX-UHFFFAOYSA-N,CC1=CN=C(C=N1)C,"chocolate, earthy, roasted, musty, medicinal, cocoa, nutty, grassy, powdery, woody"
QPRQEDXDYOZYLA-UHFFFAOYSA-N,CCC(C)CO,"alcoholic, ethereal, fermented, solvent, winey, fatty, cocoa, leathery"
PFCHFHIRKBAQGU-UHFFFAOYSA-N,CCCC(=O)CC,"ethereal, grape, winey, sweet, rummy, fruity, waxy"
AQIXEPGDORPWBJ-UHFFFAOYSA-N,CCC(CC)O,"ethereal, fermented, fruity, sweet, herbal, nutty, oily"
GRWFGVWFFZKLTI-UHFFFAOYSA-N,CC1=CCC2CC1C2(C)C,"pine, sweet, herbal, terpenic, camphoreous, cooling, fresh, woody, earthy"
LNIMMWYNSBZESE-UHFFFAOYSA-N,CCC1=NC=CN=C1C,"burnt, earthy, green, hazelnut, nutty, potato, roasted, musty, bready"
WTARULDDTDQWMU-UHFFFAOYSA-N,CC1(C2CCC(=C)C1C2)C,"dry, pine, woody, spicy, peppery, herbal, terpenic, camphoreous, cooling, fresh, green, minty, hay"
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,"pungent, sour, acidic, sharp"
FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,"buttery, cheesy, sour, fruity, dairy, sharp"
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC(=O)O2,"sweet, hay"
POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)O,"fatty, fresh, waxy, coconut"
RGXWDWUGBIJHDO-UHFFFAOYSA-N,CCCCCCCCCC(=O)OCC,"cognac, fatty, nutty, sweet, winey, grape, brandy, fruity, oily, apple, waxy"
MMXKVMNBHPAILY-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OCC,"fatty, floral, fruity, oily, waxy, sweet, clean, soapy"
XIRNKXNNONJFQO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC,"sweet, waxy, fruity, oily, creamy, balsamic, milky"
MVLVMROFTAUDAG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC,"odorless, waxy"
YYZUSRORWSJGET-UHFFFAOYSA-N,CCCCCCCC(=O)OCC,"fruity, sweet, winey, musty, banana, brandy, apricot, pineapple, pear, creamy, dairy, waxy"
MMKRHZKQPFCLLS-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OCC,"fatty, sweet, waxy, orris, violet"
RRAFCDWBNXTKKO-UHFFFAOYSA-N,COC1=C(C=CC(=C1)CC=C)O,"dry, pungent, smoky, spicy, sweet, cinnamon, savory, phenolic, woody, clove"
CRDAMVZIKSXKFV-YFVJMOTDSA-N,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,"floral, oily, sweet, muguet, lily, waxy"
GLZPCOQZEFWAFX-JXMROGBWSA-N,CC(=CCC/C(=C/CO)/C)C,"floral, rose, sweet, fruity, citrus, waxy"
HJFZAYHYIWGLNL-UHFFFAOYSA-N,CC1=CN=CC(=N1)C,"chocolate, potato, roasted, cocoa, nutty, coffee, beefy, brown, ethereal"
GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(=O)O,"cheesy, fruity, sour, pungent, ripe, fatty, acidic, tropical, dairy"
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CC(C(=O)O)O,"buttery, sour, odorless"
SDQFDHOLCGWZPU-UHFFFAOYSA-N,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,"floral, fresh, green"
CDOSHBSSFJOMGT-UHFFFAOYSA-N,CC(=CCCC(C)(C=C)O)C,"citrus, floral, woody, sweet, rose, green"
ORMHZBNNECIKOH-UHFFFAOYSA-N,CC(C)(CCCC1=CCC(CC1)C=O)O,"aldehydic, floral, woody, muguet"
DRLFMBDRBRZALE-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,
UQDUPQYQJKYHQI-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OC,"mushroom, coconut, creamy, soapy, waxy"
FLIACVVOZYBSBS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC,"sweet, waxy, orris, fatty, oily"
HPEUJPJOZXNMSJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OC,"odorless, oily, waxy"
JGHZJRVDZXSNKQ-UHFFFAOYSA-N,CCCCCCCC(=O)OC,"fruity, orange, winey, sweet, vegetable, aldehydic, herbal, green, waxy"
ZAZKJZBWRNNLDS-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC,"cognac, fatty, oily, orris, waxy"
IVSZLXZYQVIEFR-UHFFFAOYSA-N,CC1=CC(=CC=C1)C,
GYHFUZHODSMOHU-UHFFFAOYSA-N,CCCCCCCCC=O,"fatty, floral, rose, waxy, aldehydic, cucumber, fresh, green, orris, citrus"
ALHUZKCOMYUFRB-UHFFFAOYSA-N,CC1CCCCCCCCCCCCC(=O)C1,"musk, sweet, natural, animal, fatty, floral, powdery, soapy"
QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)O,odorless
NUJGJRNETVAIRJ-UHFFFAOYSA-N,CCCCCCCC=O,"fatty, fruity, aldehydic, herbal, fresh, orange, green, citrus, waxy"
IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O,"odorless, creamy, fatty, waxy"
ZRSNZINYAWTAHE-UHFFFAOYSA-N,COC1=CC=C(C=C1)C=O,"anisic, floral, fruity, hay, herbal, sweet, vanilla, powdery, hawthorn"
HFPZCAJZSCWRBC-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(C)C,"citrus, fresh, woody"
WQEPLUUGTLDZJY-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(=O)O,"fatty, waxy"
XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,"milky, pungent, sour, acidic, dairy, cheesy"
UNYNVICDCJHOPO-UHFFFAOYSA-N,CC1C(=C(C(=O)O1)O)C,"caramellic, sweet, coffee"
TUNFSRHWOTWDNC-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)O,"odorless, oily, waxy, fatty, pineapple, coconut, soapy"
KMPQYAYAQWNLME-UHFFFAOYSA-N,CCCCCCCCCCC=O,"citrus, fatty, floral, sweet, waxy, aldehydic, pineapple, orange, green, soapy"
MWOOGOJBHIARFG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=O)O,"creamy, vanilla, sweet, chocolate"
FYGHSUNMUKGBRK-UHFFFAOYSA-N,CC1=C(C(=CC=C1)C)C,
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,"orange, rose, sweet, waxy, aldehydic, mushroom, fatty, floral, coconut, green, citrus"
YZEFQPIMXZVPKP-UHFFFAOYSA-N,CC1CCC2=NC=CN=C12,
MNWFXJYAOYHMED-UHFFFAOYSA-N,CCCCCCC(=O)O,"fatty, sour, fermented, fruity, pineapple, cheesy, waxy"
