inchikey,n_organisms,n_aquatic,n_terrestrial,n_mangrove,n_host,n_unassigned,share_aquatic,any_aquatic,marine_db
ACWQBUSCFPJUPN-HWKANZROSA-N,13,0,12,0,0,1,0.0,False,False
AEMFNILZOJDQLW-QAGGRKNESA-N,48,6,30,0,2,10,0.16666666666666666,True,False
AKGGYBADQZYZPD-UHFFFAOYSA-N,21,2,18,0,0,1,0.1,True,False
ALHUZKCOMYUFRB-OAHLLOKOSA-N,1,0,0,0,1,0,,False,False
ALVPFGSHPUPROW-UHFFFAOYSA-N,41,0,36,0,2,3,0.0,False,False
ALVZNPYWJMLXKV-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
AMIMRNSIRUDHCM-UHFFFAOYSA-N,28,1,24,0,1,2,0.04,True,False
AMQJEAYHLZJPGS-UHFFFAOYSA-N,71,0,64,0,1,6,0.0,False,False
AMXYRHBJZOVHOL-DYWGDJMRSA-N,2,0,2,0,0,0,0.0,False,False
AOGQPLXWSUTHQB-UHFFFAOYSA-N,61,0,58,0,0,3,0.0,False,False
AQIXEPGDORPWBJ-UHFFFAOYSA-N,49,5,39,0,0,5,0.11363636363636363,True,False
ARJWAURHQDJJAC-GQCTYLIASA-N,1,0,1,0,0,0,0.0,False,False
AVBRYQRTMPHARE-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
AZOCECCLWFDTAP-RKDXNWHRSA-N,69,0,55,0,0,14,0.0,False,False
BBMCTIGTTCKYKF-UHFFFAOYSA-N,50,1,46,0,1,2,0.02127659574468085,True,False
BDFAOUQQXJIZDG-UHFFFAOYSA-N,2,0,1,0,1,0,0.0,False,False
BGTBFNDXYDYBEY-FNORWQNLSA-N,5,0,5,0,0,0,0.0,False,False
BGVBGAIWXAXBLP-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
BJIOGJUNALELMI-ONEGZZNKSA-N,102,1,93,0,1,7,0.010638297872340425,True,False
BMFVGAAISNGQNM-UHFFFAOYSA-N,22,3,16,0,0,3,0.15789473684210525,True,False
BSAIUMLZVGUGKX-BQYQJAHWSA-N,148,8,113,0,2,25,0.06611570247933884,True,False
BSAIUMLZVGUGKX-FPLPWBNLSA-N,50,0,43,0,0,7,0.0,False,False
BVWTXUYLKBHMOX-UHFFFAOYSA-N,132,4,108,1,0,19,0.03571428571428571,True,False
BYCHQEILESTMQU-FMIVXFBMSA-N,32,0,32,0,0,0,0.0,False,False
BYEVBITUADOIGY-UHFFFAOYSA-N,5,0,5,0,0,0,0.0,False,False
CATSNJVOTSVZJV-UHFFFAOYSA-N,87,5,68,1,1,12,0.0684931506849315,True,False
CAWHJQAVHZEVTJ-UHFFFAOYSA-N,20,2,15,0,1,2,0.11764705882352941,True,True
CBOQJANXLMLOSS-UHFFFAOYSA-N,20,1,16,1,0,2,0.058823529411764705,True,False
CCEFMUBVSUDRLG-IDKOKCKLSA-N,12,0,12,0,0,0,0.0,False,False
CCPPLLJZDQAOHD-FLIBITNWSA-N,2,0,1,0,1,0,0.0,False,False
CCRCUPLGCSFEDV-BQYQJAHWSA-N,52,1,48,0,0,3,0.02040816326530612,True,False
CETWDUZRCINIHU-SSDOTTSWSA-N,11,0,10,0,0,1,0.0,False,False
CETWDUZRCINIHU-ZETCQYMHSA-N,12,0,11,0,0,1,0.0,False,False
CFNJLPHOBMVMNS-UHFFFAOYSA-N,7,0,4,0,0,3,0.0,False,False
CHLICZRVGGXEOD-UHFFFAOYSA-N,7,0,5,0,1,1,0.0,False,False
CHWNEIVBYREQRF-UHFFFAOYSA-N,20,0,16,0,0,4,0.0,False,False
CJPNOLIZCWDHJK-UHFFFAOYSA-N,61,4,48,0,1,8,0.07692307692307693,True,True
CLGFIVUFZRGQRP-UHFFFAOYSA-N,2,0,0,0,1,1,,False,True
CRDAMVZIKSXKFV-YFVJMOTDSA-N,166,9,141,0,1,15,0.06,True,True
CWRKZMLUDFBPAO-SREVYHEPSA-N,2,0,2,0,0,0,0.0,False,False
CXBDYQVECUFKRK-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
CXENHBSYCFFKJS-VDQVFBMKSA-N,221,1,204,0,0,16,0.004878048780487805,True,False
CXMXRPHRNRROMY-UHFFFAOYSA-N,62,4,44,0,1,13,0.08333333333333333,True,False
CZCBTSFUTPZVKJ-ZJUUUORDSA-N,20,0,19,0,0,1,0.0,False,False
DBZAKQWXICEWNW-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
DEFJQIDDEAULHB-QWWZWVQMSA-N,15,0,12,0,1,2,0.0,False,False
DFJMIMVMOIFPQG-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
DHKHKXVYLBGOIT-UHFFFAOYSA-N,13,1,12,0,0,0,0.07692307692307693,True,False
DHMQDGOQFOQNFH-UHFFFAOYSA-N,402,55,309,0,6,32,0.1510989010989011,True,False
DKPFZGUDAPQIHT-UHFFFAOYSA-N,39,2,31,0,2,4,0.06060606060606061,True,True
DLHQZZUEERVIGQ-UHFFFAOYSA-N,4,0,3,0,1,0,0.0,False,False
DLRJIFUOBPOJNS-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
DPVYDTACPLLHCF-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
DRLFMBDRBRZALE-UHFFFAOYSA-N,90,0,82,0,3,5,0.0,False,False
DSSYKIVIOFKYAU-OIBJUYFYSA-N,110,1,103,0,0,6,0.009615384615384616,True,False
DSSYKIVIOFKYAU-XCBNKYQSSA-N,247,9,220,0,0,18,0.039301310043668124,True,False
DTUQWGWMVIHBKE-UHFFFAOYSA-N,173,2,149,0,2,20,0.013245033112582781,True,False
DULCUDSUACXJJC-UHFFFAOYSA-N,17,0,14,0,0,3,0.0,False,False
DUNCVNHORHNONW-UHFFFAOYSA-N,27,0,26,0,0,1,0.0,False,False
DVVATNQISMINCX-YTXTXJHMSA-N,23,3,17,0,0,3,0.15,True,False
FBUKVWPVBMHYJY-UHFFFAOYSA-N,143,4,125,0,3,11,0.031007751937984496,True,False
FERIUCNNQQJTOY-UHFFFAOYSA-N,154,9,119,0,1,25,0.0703125,True,False
FGKJLKRYENPLQH-UHFFFAOYSA-N,11,0,8,0,1,2,0.0,False,False
FHUODBDRWMIBQP-UHFFFAOYSA-N,3,0,3,0,0,0,0.0,False,False
FJPGAMCQJNLTJC-UHFFFAOYSA-N,2,0,0,0,1,1,,False,False
FKCRAVPPBFWEJD-XVFCMESISA-N,3,0,0,0,1,2,,False,False
FKUPPRZPSYCDRS-UHFFFAOYSA-N,9,0,9,0,0,0,0.0,False,False
FLIACVVOZYBSBS-UHFFFAOYSA-N,251,13,206,0,1,31,0.0593607305936073,True,False
FONIWJIDLJEJTL-UHFFFAOYSA-N,3,0,1,0,1,1,0.0,False,False
FQMZVFJYMPNUCT-YRNVUSSQSA-N,24,0,23,0,0,1,0.0,False,False
FQTLCLSUCSAZDY-SDNWHVSQSA-N,222,0,210,0,0,12,0.0,False,False
FUGYGGDSWSUORM-UHFFFAOYSA-N,31,1,25,0,0,5,0.038461538461538464,True,False
FUZZWVXGSFPDMH-UHFFFAOYSA-N,140,0,120,0,2,18,0.0,False,False
FXHGMKSSBGDXIY-UHFFFAOYSA-N,155,9,132,0,2,12,0.06382978723404255,True,False
FYTRVXSHONWYNE-UHFFFAOYSA-N,6,0,5,0,1,0,0.0,False,False
FZOZFDAMVVEZSJ-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
FZWLAAWBMGSTSO-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
GAZXPZNJTZIGBO-UHFFFAOYSA-N,6,0,5,0,0,1,0.0,False,False
GETQZCLCWQTVFV-UHFFFAOYSA-N,52,6,35,0,2,9,0.14634146341463414,True,False
GHVNFZFCNZKVNT-UHFFFAOYSA-N,275,7,239,0,5,24,0.028455284552845527,True,False
GJYXGIIWJFZCLN-UHFFFAOYSA-N,1,0,0,0,0,1,,False,False
GLZPCOQZEFWAFX-JXMROGBWSA-N,556,21,499,0,2,34,0.04038461538461539,True,True
GLZPCOQZEFWAFX-YFHOEESVSA-N,431,13,381,0,1,36,0.03299492385786802,True,True
GNKZMNRKLCTJAY-UHFFFAOYSA-N,43,3,35,0,0,5,0.07894736842105263,True,False
GRLJIIJNZJVMGP-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
GTDQGKWDWVUKTI-UHFFFAOYSA-N,6,0,2,0,1,3,0.0,False,False
GUUHFMWKWLOQMM-NTCAYCPXSA-N,5,0,4,0,1,0,0.0,False,False
GVOWHGSUZUUUDR-UHFFFAOYSA-N,60,2,52,0,0,6,0.037037037037037035,True,True
GXANMBISFKBPEX-ARJAWSKDSA-N,24,0,22,0,0,2,0.0,False,False
GYHFUZHODSMOHU-UHFFFAOYSA-N,406,13,355,0,5,33,0.035326086956521736,True,False
GZXXANJCCWGCSV-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
HABNNYNSJFKZFE-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
HEQOJEGTZCTHCF-UHFFFAOYSA-N,4,0,3,0,0,1,0.0,False,False
HFJRKMMYBMWEAD-UHFFFAOYSA-N,88,5,76,0,2,5,0.06172839506172839,True,True
HFNGYHHRRMSKEU-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
HFPZCAJZSCWRBC-UHFFFAOYSA-N,1335,26,1206,0,2,101,0.021103896103896104,True,False
HHDDCCUIIUWNGJ-UHFFFAOYSA-N,4,1,1,0,1,1,0.5,True,False
HIGQPQRQIQDZMP-DHZHZOJOSA-N,278,4,260,0,0,14,0.015151515151515152,True,False
HIGQPQRQIQDZMP-FLIBITNWSA-N,174,6,155,0,0,13,0.037267080745341616,True,False
HJFZAYHYIWGLNL-UHFFFAOYSA-N,6,0,5,0,1,0,0.0,False,False
HJWLCRVIBGQPNF-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
HMNKTRSOROOSPP-UHFFFAOYSA-N,4,0,3,0,1,0,0.0,False,False
HNJBEVLQSNELDL-UHFFFAOYSA-N,10,0,7,0,1,2,0.0,False,False
HPEUJPJOZXNMSJ-UHFFFAOYSA-N,150,11,118,1,1,19,0.08527131782945736,True,False
HQKQRXZEXPXXIG-DTWJZALFSA-N,6,0,6,0,0,0,0.0,False,False
HSDXVAOHEOSTFZ-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
HUAZGNHGCJGYNP-UHFFFAOYSA-N,9,0,8,0,1,0,0.0,False,False
HUMNYLRZRPPJDN-UHFFFAOYSA-N,392,16,329,1,2,44,0.0463768115942029,True,False
HXDOZKJGKXYMEW-UHFFFAOYSA-N,23,0,18,0,1,4,0.0,False,False
HXYVTAGFYLMHSO-UHFFFAOYSA-N,3,0,1,0,1,1,0.0,False,False
HYBBIBNJHNGZAN-UHFFFAOYSA-N,147,5,125,0,1,16,0.038461538461538464,True,False
HZYHMHHBBBSGHB-ODYTWBPASA-N,45,5,35,0,0,5,0.125,True,False
IAEGWXHKWJGQAZ-UHFFFAOYSA-N,23,2,14,0,0,7,0.125,True,True
ICMAFTSLXCXHRK-UHFFFAOYSA-N,12,0,10,0,1,1,0.0,False,False
IFNDEOYXGHGERA-UHFFFAOYSA-N,4,0,4,0,0,0,0.0,False,False
IJXHLVMUNBOGRR-UHFFFAOYSA-N,14,0,13,0,0,1,0.0,False,False
IOJUPLGTWVMSFF-UHFFFAOYSA-N,26,3,22,0,0,1,0.12,True,False
IPBVNPXQWQGGJP-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
IPCSVZSSVZVIGE-UHFFFAOYSA-N,1585,96,1295,3,6,185,0.06901509705248023,True,True
IVSZLXZYQVIEFR-UHFFFAOYSA-N,34,1,31,0,2,0,0.03125,True,False
IWDCLRJOBJJRNH-UHFFFAOYSA-N,75,0,65,0,4,6,0.0,False,False
IXQGCWUGDFDQMF-UHFFFAOYSA-N,9,0,7,0,0,2,0.0,False,False
IYTXKIXETAELAV-UHFFFAOYSA-N,15,1,14,0,0,0,0.06666666666666667,True,False
JAELLLITIZHOGQ-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
JFLIEFSWGNOPJJ-JTQLQIEISA-N,2,0,0,0,1,1,,False,False
JGHZJRVDZXSNKQ-UHFFFAOYSA-N,29,0,28,0,0,1,0.0,False,False
JHIVVAPYMSGYDF-UHFFFAOYSA-N,16,4,10,0,1,1,0.2857142857142857,True,False
JIMGVOCOYZFDKB-UHFFFAOYSA-N,18,0,14,0,0,4,0.0,False,False
JJOYCHKVKWDMEA-UHFFFAOYSA-N,1,0,0,0,1,0,,False,False
JLIDVCMBCGBIEY-UHFFFAOYSA-N,11,0,10,0,1,0,0.0,False,False
JLPUXFOGCDVKGO-TUAOUCFPSA-N,57,0,8,0,0,49,0.0,False,False
JRFITZGBELIFQM-UHFFFAOYSA-N,2,0,2,0,0,0,0.0,False,False
JUCARGIKESIVLB-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
JUJWROOIHBZHMG-UHFFFAOYSA-N,30,1,28,0,1,0,0.034482758620689655,True,False
JZBCTZLGKSYRSF-UHFFFAOYSA-N,4,0,1,0,0,3,0.0,False,True
JZQKTMZYLHNFPL-BLHCBFLLSA-N,154,9,118,0,1,26,0.07086614173228346,True,False
KANZWHBYRHQMKZ-UHFFFAOYSA-N,1,0,1,0,0,0,0.0,False,False
