,structure_coefficient
RingCount,-0.5455797853154459
AliphaticRings,-0.4970321247946688
nHalogen,-0.43162958040185295
nN,-0.37609389263600285
BertzCT,-0.3304897163671569
NumStereo,-0.30799977980877363
QED,-0.1439517634668679
AromaticRings,-0.13260749757845336
HBD,-0.056032242302858006
nC,-0.037074658454723346
MolMR,-0.009930313381105678
HeavyAtoms,-0.0003230011092349601
MolWt,0.002423705350434862
LogP,0.003699210938715446
LabuteASA,0.004015955463941797
nHeteroatoms,0.11674695236307299
TPSA,0.15287470952549845
nS,0.15797585876678943
FracCsp3,0.22961804943942904
HBA,0.29421029330481224
nO,0.3256600194490756
RotBonds,0.4041998759760011
