seed,features,n_pairs,fraction_matched,worst_smd,auc,split,n_scaffolds
0,volatility_only,5939,0.9993269392562679,0.0035465860046215354,0.4776451509128234,scaffold,6146
0,descriptors_22,5939,0.9993269392562679,0.0035465860046215354,0.659249005740321,scaffold,6146
0,molformer_768,5939,0.9993269392562679,0.0035465860046215354,0.7747527544799984,scaffold,6146
1,volatility_only,5939,0.9993269392562679,0.0033960087683320202,0.48189814724379343,scaffold,6156
1,descriptors_22,5939,0.9993269392562679,0.0033960087683320202,0.6587468187333416,scaffold,6156
1,molformer_768,5939,0.9993269392562679,0.0033960087683320202,0.7761383404002317,scaffold,6156
2,volatility_only,5939,0.9993269392562679,0.0034458989454557282,0.4749309935854845,scaffold,6151
2,descriptors_22,5939,0.9993269392562679,0.0034458989454557282,0.659009720563394,scaffold,6151
2,molformer_768,5939,0.9993269392562679,0.0034458989454557282,0.7764886493630407,scaffold,6151
3,volatility_only,5939,0.9993269392562679,0.0032656332512283363,0.4741081247495692,scaffold,6142
3,descriptors_22,5939,0.9993269392562679,0.0032656332512283363,0.6587835904009335,scaffold,6142
3,molformer_768,5939,0.9993269392562679,0.0032656332512283363,0.774446305015851,scaffold,6142
4,volatility_only,5939,0.9993269392562679,0.0036075971774590576,0.4761963698907688,scaffold,6129
4,descriptors_22,5939,0.9993269392562679,0.0036075971774590576,0.6579852312848584,scaffold,6129
4,molformer_768,5939,0.9993269392562679,0.0036075971774590576,0.7767537625963871,scaffold,6129
