column,median_odorant,median_background,cliffs_delta,p,n_odorant,q
molecular_weight,156.27,433.44,-0.9246726942482341,0.0,2973,0.0
heavy_atom_count,11.0,31.0,-0.9245320753447696,0.0,2973,0.0
total_atom_count,26.0,60.0,-0.8556784275142953,0.0,2973,0.0
van_der_walls_volume,162.84,366.175,-0.8506605736842106,0.0,1900,0.0
topological_polar_surface_area,26.3,85.59,-0.8418827817019845,0.0,2973,0.0
hydrogen_bond_acceptors_lipinski,2.0,6.0,-0.8200796737302388,0.0,2973,0.0
hydrogen_bond_acceptors,2.0,6.0,-0.8200796737302388,0.0,2973,0.0
number_of_minimal_rings,1.0,4.0,-0.7521027262024891,0.0,2973,0.0
hydrogen_bond_donors,0.0,2.0,-0.585788323242516,0.0,2973,0.0
hydrogen_bond_donors_lipinski,0.0,2.0,-0.585788323242516,0.0,2973,0.0
lipinski_rule_of_five_violations,0.0,0.0,-0.4495586915573495,0.0,2973,0.0
aromatic_rings_count,0.0,1.0,-0.3536678775647494,1.1201114900990257e-266,2973,1.6801672351485386e-266
rotatable_bond_count,3.0,5.0,-0.34726844769593,9.51818768429219e-234,2973,1.317902910132765e-233
alogp,2.32,3.3,-0.25294136226034314,1.0269639701540446e-124,2973,1.3203822473409144e-124
qed_drug_likeliness,0.52,0.41,0.2496779616548941,4.2747792377565016e-122,2973,5.129735085307802e-122
np_likeness,0.53,1.27,-0.2006588950554995,4.1739075746140343e-81,2973,4.6956460214407885e-81
fractioncsp3,0.64,0.58,0.07892609317188026,1.2271338751111302e-13,2973,1.2993182207059025e-13
formal_charge,0.0,0.0,-0.0112335149680457,1.5177185829458536e-07,2973,1.5177185829458536e-07
