check,band,n_odorant,n_other,median_odorant,median_other,cliffs_delta
papers behind the entry,1-2,459,145755,1.0,1.0,0.19152148130510294
papers behind the entry,2-3,220,53319,2.0,2.0,0.4002145747124084
papers behind the entry,3-6,319,26203,5.0,3.0,0.4312742911416134
papers behind the entry,6-11,202,6066,12.0,8.0,0.334182082896717
papers behind the entry,>=11,556,4493,76.0,30.0,0.4360716190012601
molecular weight,0-150,879,3256,5.0,1.0,0.43198275066875746
molecular weight,150-250,946,26575,6.0,2.0,0.47341681268260283
molecular weight,250-350,149,60229,6.0,1.0,0.5066390346196581
collections listing it,1-2,91,70174,1.0,1.0,0.08585863647567415
collections listing it,2-3,266,100238,1.0,1.0,0.09176824571054731
collections listing it,3-5,396,67199,2.0,2.0,-0.042951276481537404
collections listing it,>=5,1242,29839,17.0,4.0,0.4474962222111052
