set,n,MolWt,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,RingCount,FracCsp3,HeavyAtoms,frac_alcohol,frac_phenol,frac_carboxylic_acid,frac_ester,frac_ether,frac_aldehyde,frac_ketone,frac_amine,frac_aromatic,frac_benzene,frac_lactone,frac_sulfide,frac_nitrile,frac_halogen,frac_terpene_isopropyl
POOL(baseline),754,154.253,2.338,23.79,0.0,1.0,3.0,0.0,1.0,0.714,11.0,0.163,0.049,0.113,0.203,0.325,0.121,0.171,0.033,0.309,0.243,0.042,0.02,0.012,0.02,0.0
node_1,177,164.204,2.55,20.23,0.0,2.0,2.0,1.0,1.0,0.5,12.0,0.107,0.034,0.028,0.226,0.367,0.153,0.232,0.051,0.52,0.401,0.028,0.023,0.006,0.0,0.0
node_2,130,170.274,2.086,37.3,1.0,2.0,4.0,0.0,0.0,0.75,11.5,0.138,0.062,0.546,0.177,0.269,0.092,0.108,0.085,0.215,0.177,0.062,0.0,0.0,0.085,0.0
node_3,113,165.236,2.58,18.46,0.0,1.0,2.0,1.0,1.0,0.5,12.0,0.133,0.035,0.018,0.142,0.274,0.124,0.327,0.062,0.54,0.398,0.0,0.035,0.009,0.0,0.0
node_4,138,165.603,2.274,37.3,1.0,1.5,4.0,0.0,0.0,0.8,11.0,0.109,0.051,0.543,0.159,0.232,0.145,0.087,0.08,0.123,0.109,0.058,0.0,0.0,0.087,0.0
node_5,147,181.029,2.671,34.14,0.0,2.0,4.0,0.0,0.0,0.75,12.0,0.129,0.041,0.381,0.252,0.32,0.136,0.136,0.061,0.17,0.156,0.088,0.0,0.007,0.075,0.0
node_6,130,164.204,2.361,22.12,0.0,2.0,2.0,1.0,1.0,0.423,12.0,0.092,0.046,0.038,0.169,0.323,0.092,0.308,0.054,0.654,0.454,0.0,0.031,0.008,0.0,0.0
node_12,77,178.231,2.737,20.23,0.0,2.0,1.0,1.0,1.0,0.5,13.0,0.143,0.052,0.013,0.182,0.286,0.013,0.403,0.091,0.584,0.39,0.0,0.039,0.0,0.0,0.0
node_21,60,194.724,2.918,22.12,0.0,2.0,2.0,0.5,1.0,0.583,14.0,0.167,0.033,0.033,0.233,0.35,0.033,0.433,0.05,0.5,0.35,0.017,0.0,0.0,0.0,0.0
node_32,67,192.302,2.737,20.23,0.0,2.0,1.0,1.0,1.0,0.545,14.0,0.134,0.03,0.015,0.164,0.269,0.045,0.463,0.06,0.537,0.388,0.0,0.045,0.015,0.0,0.0
node_44,51,192.302,3.022,22.12,0.0,2.0,1.0,1.0,2.0,0.588,14.0,0.176,0.039,0.0,0.157,0.275,0.0,0.529,0.098,0.529,0.373,0.0,0.0,0.0,0.0,0.0
node_2_gain,89,158.241,1.817,37.3,1.0,1.0,5.0,0.0,0.0,0.8,11.0,0.079,0.045,0.764,0.124,0.191,0.09,0.034,0.079,0.124,0.101,0.034,0.0,0.0,0.124,0.0
node_4_gain,25,129.179,2.156,26.3,0.0,1.0,4.0,0.0,0.0,0.778,9.0,0.0,0.0,0.28,0.16,0.16,0.4,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.04,0.0
node_5_gain,42,186.295,3.049,20.23,0.0,1.0,4.0,0.0,1.0,0.613,13.0,0.095,0.0,0.095,0.333,0.357,0.19,0.19,0.024,0.167,0.119,0.119,0.0,0.024,0.024,0.0
node_6_gain,34,151.209,1.837,26.3,0.0,2.0,2.0,1.0,1.0,0.293,11.0,0.0,0.059,0.088,0.206,0.412,0.176,0.147,0.0,0.882,0.588,0.0,0.0,0.0,0.0,0.0
node_21_gain,3,148.161,2.322,26.3,0.0,1.0,4.0,0.0,1.0,0.625,11.0,0.0,0.0,0.333,0.333,0.333,0.333,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.0,0.0
node_32_gain,15,135.191,2.168,17.07,0.0,1.0,1.0,1.0,2.0,0.2,10.0,0.0,0.0,0.0,0.0,0.067,0.067,0.4,0.133,0.8,0.533,0.0,0.2,0.067,0.0,0.0
node_44_gain,3,135.166,0.654,50.44,1.0,3.0,2.0,1.0,1.0,0.167,10.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,0.333,0.0,0.0,0.0,0.0,0.0
node_2_loss,136,154.253,2.445,18.46,0.0,1.0,2.0,1.0,1.0,0.5,11.0,0.059,0.015,0.015,0.206,0.346,0.169,0.221,0.037,0.551,0.419,0.0,0.029,0.007,0.0,0.0
node_3_loss,64,162.21,2.509,26.3,0.0,2.0,3.0,0.0,1.0,0.551,12.0,0.062,0.031,0.047,0.375,0.531,0.203,0.062,0.031,0.484,0.406,0.078,0.0,0.0,0.0,0.0
node_4_loss,17,160.169,1.784,26.3,1.0,2.0,2.0,1.0,1.0,0.308,11.0,0.176,0.059,0.176,0.294,0.412,0.118,0.118,0.118,0.647,0.471,0.118,0.0,0.0,0.0,0.0
node_5_loss,25,146.142,1.099,48.65,2.0,1.0,3.0,0.0,0.0,0.571,10.0,0.12,0.08,0.76,0.0,0.12,0.0,0.08,0.12,0.4,0.2,0.0,0.0,0.0,0.04,0.0
node_6_loss,17,150.221,2.638,17.07,0.0,1.0,3.0,0.0,1.0,0.5,11.0,0.176,0.0,0.0,0.059,0.176,0.471,0.118,0.0,0.353,0.353,0.0,0.0,0.0,0.0,0.0
node_12_loss,53,148.205,1.929,25.78,0.0,2.0,2.0,1.0,1.0,0.3,11.0,0.019,0.038,0.075,0.151,0.377,0.208,0.17,0.0,0.755,0.547,0.0,0.019,0.019,0.0,0.0
node_21_loss,20,136.713,2.155,20.23,0.5,1.5,1.0,1.0,1.0,0.25,10.0,0.05,0.1,0.0,0.05,0.1,0.0,0.25,0.2,0.8,0.5,0.0,0.15,0.0,0.0,0.0
node_32_loss,8,162.233,2.435,26.3,0.0,2.0,3.0,1.0,1.0,0.417,11.5,0.125,0.0,0.125,0.375,0.5,0.0,0.125,0.125,0.75,0.375,0.125,0.0,0.0,0.0,0.0
node_44_loss,19,150.177,2.296,17.07,0.0,2.0,2.0,1.0,1.0,0.333,11.0,0.053,0.0,0.053,0.158,0.211,0.158,0.263,0.053,0.632,0.421,0.0,0.158,0.053,0.0,0.0
