node,kind,SML,Odors
2,gain,SML0015,"acidic, pungent, sharp, sour"
2,gain,SML0016,"cheesy, buttery, sharp, dairy, fruity, sour"
2,gain,SML0018,"fatty, coconut, fresh, waxy"
2,gain,SML0023,"apricot, musty, winey, pear, brandy, dairy, pineapple, sweet, banana, waxy, fruity, creamy"
2,gain,SML0029,"acidic, cheesy, pungent, tropical, fatty, ripe, dairy, fruity, sour"
2,gain,SML0030,"odorless, buttery, sour"
2,gain,SML0038,"herbal, winey, sweet, green, waxy, aldehydic, fruity, vegetable, orange"
2,gain,SML0041,"cucumber, fatty, orris, citrus, floral, rose, fresh, green, waxy, aldehydic"
2,gain,SML0043,odorless
2,gain,SML0045,"odorless, fatty, waxy, creamy"
2,gain,SML0048,"fatty, waxy"
2,gain,SML0049,"acidic, cheesy, pungent, milky, dairy, sour"
2,gain,SML0051,"soapy, odorless, fatty, oily, pineapple, coconut, waxy"
2,gain,SML0052,"soapy, fatty, citrus, pineapple, sweet, floral, green, waxy, aldehydic, orange"
2,gain,SML0057,"cheesy, fatty, fermented, pineapple, waxy, fruity, sour"
2,gain,SML0058,"cheesy, fatty, sour"
2,gain,SML0061,"cheesy, fatty, oily, animal, waxy, vegetable"
2,gain,SML0088,"cheesy, pungent, sour"
2,gain,SML0094,"lemon, citrus, fresh, fruity"
2,gain,SML0095,"citrus, sweet, floral, waxy, aldehydic, orange"
2,gain,SML0125,"acidic, cheesy, tobacco, milky, sharp, fruity, sour"
2,gain,SML0138,"tobacco, fatty, smoky, floral, green, waxy, vegetable, grassy"
2,gain,SML0142,"cheesy, fatty, nutty, dairy, waxy"
2,gain,SML0154,odorless
2,gain,SML0161,
2,gain,SML0162,
2,gain,SML0167,
2,gain,SML0175,
2,gain,SML0193,"cheesy, fatty, citrus, dairy, waxy, sour"
2,gain,SML0194,odorless
2,gain,SML0214,"rummy, honey, pineapple, sweet, fruity"
2,gain,SML0220,sulfurous
2,gain,SML0226,
2,gain,SML0239,"lactonic, musty, fatty, milky, dairy, waxy, creamy"
2,gain,SML0242,"fatty, buttery, oily, sweet, coconut, waxy, creamy"
2,gain,SML0243,"fatty, dairy, sweet, coconut, coumarinic, waxy, creamy"
2,gain,SML0289,"balsamic, cinnamon, fatty, sweet, floral, rose, musk"
2,gain,SML0295,fatty
2,gain,SML0325,"estery, tropical, fatty, strawberry, pear, pineapple, sweet, banana, green, waxy, fruity"
2,gain,SML0381,"powdery, honey, tobacco, chocolate, animal, sweet, floral, rose, waxy, sour"
2,gain,SML0399,"soapy, citrus, sweet, floral, green, waxy, aldehydic"
2,gain,SML0400,
2,gain,SML0401,
2,gain,SML0402,
2,gain,SML0403,
2,gain,SML0404,"cheesy, fatty, coconut, waxy, creamy"
2,gain,SML0405,
2,gain,SML0406,
2,gain,SML0408,odorless
2,gain,SML0409,
2,gain,SML0410,
2,gain,SML0411,
2,gain,SML0412,
