set,background,tag,Obs,Total,set_size,Exp,Obs_over_Exp,p,enriched
node_21_gain,pool,lactonic,1,11,3,0.044,22.848,0.04322,False
node_21_gain,pool,cucumber,1,12,3,0.048,20.944,0.04661,False
node_21_gain,pool,fresh,2,104,3,0.414,4.833,0.05109,False
node_21_gain,pool,leafy,1,13,3,0.052,19.333,0.05147,False
node_21_gain,pool,milky,1,13,3,0.052,19.333,0.05227,False
node_21_gain,pool,fatty,2,108,3,0.43,4.654,0.05482,False
node_21_gain,pool,peach,1,16,3,0.064,15.708,0.06377,False
node_21_gain,pool,coconut,1,24,3,0.095,10.472,0.09294,False
node_21_gain,pool,buttery,1,25,3,0.099,10.053,0.09693,False
node_21_gain,pool,dairy,1,26,3,0.103,9.667,0.10028,False
node_21_gain,pool,banana,1,28,3,0.111,8.976,0.10671,False
node_21_gain,pool,balsamic,1,38,3,0.151,6.614,0.14392,False
node_21_gain,pool,creamy,1,43,3,0.171,5.845,0.16295,False
node_21_gain,pool,vegetable,1,45,3,0.179,5.585,0.17196,False
node_21_gain,pool,nutty,1,51,3,0.203,4.928,0.18768,False
node_21_gain,pool,oily,1,66,3,0.263,3.808,0.24031,False
node_21_gain,pool,sweet,2,253,3,1.007,1.987,0.2612,False
node_21_gain,pool,herbal,1,90,3,0.358,2.793,0.31609,False
node_21_gain,pool,waxy,1,96,3,0.382,2.618,0.33724,False
node_21_gain,pool,green,1,173,3,0.688,1.453,0.54352,False
node_21_gain,pool,fruity,1,200,3,0.796,1.257,0.603,False
node_2_gain,pool,sour,14,18,89,2.125,6.589,1e-05,True
node_2_gain,pool,odorless,10,14,89,1.653,6.051,1e-05,True
node_2_gain,pool,waxy,25,96,89,11.332,2.206,2e-05,True
node_2_gain,pool,cheesy,14,42,89,4.958,2.824,0.00014,True
node_2_gain,pool,dairy,9,26,89,3.069,2.933,0.00157,True
node_2_gain,pool,acidic,5,9,89,1.062,4.707,0.00162,True
node_2_gain,pool,fatty,22,108,89,12.748,1.726,0.00393,True
node_2_gain,pool,coconut,7,24,89,2.833,2.471,0.01698,False
node_2_gain,pool,pineapple,8,30,89,3.541,2.259,0.01807,False
node_2_gain,pool,creamy,9,43,89,5.076,1.773,0.05605,False
node_2_gain,pool,milky,4,13,89,1.534,2.607,0.05755,False
node_2_gain,pool,tobacco,3,11,89,1.298,2.311,0.13092,False
node_2_gain,pool,sharp,4,19,89,2.243,1.784,0.17611,False
node_2_gain,pool,rummy,2,8,89,0.944,2.118,0.23991,False
node_2_gain,pool,soapy,3,16,89,1.889,1.588,0.29314,False
node_2_gain,pool,buttery,4,25,89,2.951,1.356,0.34093,False
node_2_gain,pool,winey,4,26,89,3.069,1.303,0.36686,False
node_2_gain,pool,orris,2,11,89,1.298,1.54,0.38153,False
node_2_gain,pool,radish,1,4,89,0.472,2.118,0.39904,False
node_2_gain,pool,banana,4,28,89,3.305,1.21,0.42544,False
node_2_gain,pool,aldehydic,5,37,89,4.367,1.145,0.44667,False
node_2_gain,pool,pear,3,21,89,2.479,1.21,0.45942,False
node_2_gain,pool,strawberry,2,13,89,1.534,1.303,0.4654,False
node_2_gain,pool,estery,2,13,89,1.534,1.303,0.46569,False
node_2_gain,pool,apricot,2,13,89,1.534,1.303,0.46747,False
node_2_gain,pool,honey,2,15,89,1.771,1.13,0.54511,False
node_2_gain,pool,brown,1,8,89,0.944,1.059,0.63504,False
node_2_gain,pool,brandy,1,8,89,0.944,1.059,0.63522,False
node_2_gain,pool,animal,3,28,89,3.305,0.908,0.65982,False
node_2_gain,pool,orange,3,28,89,3.305,0.908,0.66349,False
node_2_gain,pool,cabbage,1,9,89,1.062,0.941,0.67955,False
node_2_gain,pool,cinnamon,1,9,89,1.062,0.941,0.68175,False
node_2_gain,pool,almond,1,10,89,1.18,0.847,0.71667,False
node_2_gain,pool,coumarinic,1,10,89,1.18,0.847,0.71898,False
node_2_gain,pool,pungent,4,40,89,4.721,0.847,0.71956,False
node_2_gain,pool,berry,2,21,89,2.479,0.807,0.73326,False
node_2_gain,pool,cognac,1,11,89,1.298,0.77,0.75083,False
node_2_gain,pool,grassy,1,11,89,1.298,0.77,0.7513,False
node_2_gain,pool,lactonic,1,11,89,1.298,0.77,0.75207,False
node_2_gain,pool,lemon,1,12,89,1.416,0.706,0.78053,False
node_2_gain,pool,cucumber,1,12,89,1.416,0.706,0.78226,False
node_2_gain,pool,ripe,1,14,89,1.653,0.605,0.83154,False
node_2_gain,pool,peach,1,16,89,1.889,0.529,0.8694,False
node_2_gain,pool,smoky,1,16,89,1.889,0.529,0.86974,False
node_2_gain,pool,vanilla,1,17,89,2.007,0.498,0.88642,False
node_2_gain,pool,tropical,3,43,89,5.076,0.591,0.90411,False
node_2_gain,pool,citrus,6,76,89,8.971,0.669,0.91113,False
node_2_gain,pool,chocolate,1,19,89,2.243,0.446,0.91205,False
node_2_gain,pool,vegetable,3,45,89,5.312,0.565,0.91851,False
node_2_gain,pool,fermented,1,22,89,2.597,0.385,0.93923,False
