set,background,tag,Obs,Total,set_size,Exp,Obs_over_Exp,p,enriched
node_1,pool,balsamic,20,38,177,8.92,2.242,8e-05,True
node_1,pool,plum,8,11,177,2.582,3.098,0.0008,True
node_1,pool,jasmine,8,13,177,3.052,2.621,0.00356,True
node_1,pool,woody,29,81,177,19.015,1.525,0.00567,True
node_1,pool,floral,48,154,177,36.151,1.328,0.00918,True
node_1,pool,sweet,71,253,177,59.391,1.195,0.02262,False
node_1,pool,cinnamon,5,9,177,2.113,2.367,0.0372,False
node_1,pool,cherry,7,15,177,3.521,1.988,0.03962,False
node_1,pool,honey,7,15,177,3.521,1.988,0.03997,False
node_1,pool,spicy,19,56,177,13.146,1.445,0.04258,False
node_1,pool,cedar,3,4,177,0.939,3.195,0.04308,False
node_1,pool,hyacinth,4,7,177,1.643,2.434,0.05638,False
node_1,pool,pine,7,16,177,3.756,1.864,0.05823,False
node_1,pool,hay,5,10,177,2.347,2.13,0.06059,False
node_1,pool,tobacco,5,11,177,2.582,1.936,0.08857,False
node_1,pool,amber,4,8,177,1.878,2.13,0.09126,False
node_1,pool,banana,10,28,177,6.573,1.521,0.09701,False
node_1,pool,terpenic,6,15,177,3.521,1.704,0.11547,False
node_1,pool,chicken,5,12,177,2.817,1.775,0.12498,False
node_1,pool,melon,7,19,177,4.46,1.569,0.13208,False
node_1,pool,chemical,3,6,177,1.408,2.13,0.14382,False
node_1,pool,tea,3,6,177,1.408,2.13,0.14495,False
node_1,pool,camphoreous,8,24,177,5.634,1.42,0.17924,False
node_1,pool,almond,4,10,177,2.347,1.704,0.18593,False
node_1,pool,jasmin,6,17,177,3.991,1.503,0.1864,False
node_1,pool,coumarinic,4,10,177,2.347,1.704,0.18918,False
node_1,pool,cortex,1,1,177,0.235,4.26,0.23374,False
node_1,pool,powdery,14,49,177,11.503,1.217,0.23903,False
node_1,pool,cooling,4,11,177,2.582,1.549,0.24544,False
node_1,pool,musk,10,34,177,7.981,1.253,0.25807,False
node_1,pool,sharp,6,19,177,4.46,1.345,0.27244,False
node_1,pool,solvent,3,8,177,1.878,1.597,0.28441,False
node_1,pool,grape,4,12,177,2.817,1.42,0.30377,False
node_1,pool,anisic,4,12,177,2.817,1.42,0.30384,False
node_1,pool,cucumber,4,12,177,2.817,1.42,0.30615,False
node_1,pool,dry,6,20,177,4.695,1.278,0.32119,False
node_1,pool,minty,8,28,177,6.573,1.217,0.32668,False
node_1,pool,brothy,2,5,177,1.174,1.704,0.33446,False
node_1,pool,ozone,2,5,177,1.174,1.704,0.33541,False
node_1,pool,muguet,2,5,177,1.174,1.704,0.33584,False
node_1,pool,hawthorn,2,5,177,1.174,1.704,0.33585,False
node_1,pool,horseradish,2,5,177,1.174,1.704,0.33735,False
node_1,pool,violet,3,9,177,2.113,1.42,0.35441,False
node_1,pool,clove,3,9,177,2.113,1.42,0.35586,False
node_1,pool,mentholic,3,9,177,2.113,1.42,0.35747,False
node_1,pool,warm,4,13,177,3.052,1.311,0.36229,False
node_1,pool,strawberry,4,13,177,3.052,1.311,0.36267,False
node_1,pool,leafy,4,13,177,3.052,1.311,0.36299,False
node_1,pool,pear,6,21,177,4.93,1.217,0.368,False
node_1,pool,berry,6,21,177,4.93,1.217,0.36985,False
node_1,pool,rose,13,50,177,11.737,1.108,0.38595,False
node_1,pool,fresh,26,104,177,24.414,1.065,0.38673,False
node_1,pool,medicinal,6,22,177,5.164,1.162,0.41558,False
node_1,pool,orangeflower,1,2,177,0.469,2.13,0.4158,False
node_1,pool,beefy,2,6,177,1.408,1.42,0.42793,False
node_1,pool,apple,11,43,177,10.094,1.09,0.42797,False
node_1,pool,lily,3,10,177,2.347,1.278,0.4285,False
node_1,pool,tropical,11,43,177,10.094,1.09,0.42888,False
node_1,pool,anise,2,6,177,1.408,1.42,0.42917,False
node_1,pool,jammy,2,6,177,1.408,1.42,0.4317,False
node_1,pool,earthy,10,39,177,9.155,1.092,0.43298,False
node_1,pool,burnt,6,23,177,5.399,1.111,0.45996,False
node_1,pool,potato,4,15,177,3.521,1.136,0.48133,False
node_1,pool,lactonic,3,11,177,2.582,1.162,0.49688,False
node_1,pool,mint,3,11,177,2.582,1.162,0.49883,False
node_1,pool,orris,3,11,177,2.582,1.162,0.49892,False
node_1,pool,peppery,2,7,177,1.643,1.217,0.51672,False
node_1,pool,raspberry,2,7,177,1.643,1.217,0.51814,False
node_1,pool,fruity,47,200,177,46.95,1.001,0.53418,False
node_1,pool,coffee,6,25,177,5.869,1.022,0.55336,False
node_1,pool,herbal,21,90,177,21.127,0.994,0.55957,False
node_1,pool,lemon,3,12,177,2.817,1.065,0.56193,False
node_1,pool,ketonic,3,12,177,2.817,1.065,0.5635,False
node_1,pool,vegetable,10,45,177,10.564,0.947,0.64119,False
node_1,pool,malty,1,4,177,0.939,1.065,0.65625,False
node_1,pool,celery,1,4,177,0.939,1.065,0.65734,False
node_1,pool,marine,1,4,177,0.939,1.065,0.65845,False
node_1,pool,radish,1,4,177,0.939,1.065,0.66049,False
node_1,pool,natural,2,9,177,2.113,0.947,0.66186,False
node_1,pool,green,39,173,177,40.611,0.96,0.662,False
node_1,pool,cabbage,2,9,177,2.113,0.947,0.66473,False
node_1,pool,animal,6,28,177,6.573,0.913,0.67095,False
node_1,pool,aldehydic,8,37,177,8.686,0.921,0.67222,False
node_1,pool,grapefruit,2,10,177,2.347,0.852,0.7218,False
node_1,pool,meaty,8,39,177,9.155,0.874,0.73175,False
node_1,pool,popcorn,1,5,177,1.174,0.852,0.73726,False
node_1,pool,grassy,2,11,177,2.582,0.775,0.7707,False
node_1,pool,sulfurous,9,46,177,10.798,0.833,0.79389,False
node_1,pool,nutty,10,51,177,11.972,0.835,0.79639,False
node_1,pool,cooked,1,6,177,1.408,0.71,0.80068,False
node_1,pool,mushroom,3,17,177,3.991,0.752,0.80216,False
node_1,pool,vanilla,3,17,177,3.991,0.752,0.80244,False
node_1,pool,aromatic,1,6,177,1.408,0.71,0.80302,False
node_1,pool,cocoa,4,23,177,5.399,0.741,0.82745,False
node_1,pool,citrus,15,76,177,17.841,0.841,0.83133,False
node_1,pool,leathery,1,7,177,1.643,0.609,0.8462,False
node_1,pool,roasted,6,34,177,7.981,0.752,0.84738,False
node_1,pool,milky,2,13,177,3.052,0.655,0.84784,False
node_1,pool,lavender,1,7,177,1.643,0.609,0.84878,False
node_1,pool,apricot,2,13,177,3.052,0.655,0.84906,False
node_1,pool,chocolate,3,19,177,4.46,0.673,0.85972,False
node_1,pool,phenolic,7,40,177,9.39,0.745,0.86759,False
node_1,pool,onion,5,30,177,7.042,0.71,0.87311,False
node_1,pool,ripe,2,14,177,3.286,0.609,0.87681,False
node_1,pool,brown,1,8,177,1.878,0.532,0.88314,False
node_1,pool,clean,3,20,177,4.695,0.639,0.88484,False
node_1,pool,peach,2,16,177,3.756,0.532,0.92169,False
node_1,pool,alliaceous,2,16,177,3.756,0.532,0.92271,False
node_1,pool,orange,4,28,177,6.573,0.609,0.92644,False
node_1,pool,hazelnut,1,10,177,2.347,0.426,0.9314,False
node_1,pool,caramellic,3,24,177,5.634,0.532,0.94676,False
node_1,pool,coconut,3,24,177,5.634,0.532,0.94744,False
node_1,pool,geranium,1,11,177,2.582,0.387,0.94872,False
node_1,pool,bready,1,11,177,2.582,0.387,0.94904,False
node_1,pool,garlic,2,19,177,4.46,0.448,0.96038,False
node_1,pool,creamy,6,43,177,10.094,0.594,0.96247,False
node_1,pool,savory,2,20,177,4.695,0.426,0.9668,False
node_1,pool,oily,10,66,177,15.493,0.645,0.97123,False
node_1,pool,estery,1,13,177,3.052,0.328,0.97155,False
node_1,pool,pungent,5,40,177,9.39,0.532,0.97723,False
node_1,pool,pineapple,3,30,177,7.042,0.426,0.98475,False
node_1,pool,soapy,1,16,177,3.756,0.266,0.98673,False
node_1,pool,smoky,1,16,177,3.756,0.266,0.98728,False
node_1,pool,fatty,17,108,177,25.353,0.671,0.98823,False
node_1,pool,musty,6,50,177,11.737,0.511,0.98916,False
node_1,pool,dairy,2,26,177,6.103,0.328,0.99203,False
node_1,pool,metallic,2,26,177,6.103,0.328,0.99222,False
node_1,pool,waxy,14,96,177,22.536,0.621,0.99255,False
node_1,pool,fermented,1,22,177,5.164,0.194,0.99748,False
node_1,pool,ethereal,2,33,177,7.747,0.258,0.99865,False
