SML,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,RingCount,FracCsp3,HeavyAtoms,nO,nN,nS,fg_alcohol,fg_phenol,fg_carboxylic_acid,fg_ester,fg_ether,fg_aldehyde,fg_ketone,fg_amine,fg_aromatic,fg_benzene,fg_lactone,fg_sulfide,fg_nitrile,fg_halogen,fg_terpene_isopropyl
SML0000,CC1=CC[C@H](CC1)C(=C)C,136.238,3.308900000000002,0.0,0,0,1,0,1,0.6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0001,CC1=CC[C@@H](CC1=O)C(=C)C,150.22099999999998,2.4879000000000007,17.07,0,1,1,0,1,0.5,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0002,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,156.26899999999998,2.4395000000000007,20.23,1,1,1,0,1,1.0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0003,CCCCO,74.12299999999999,0.7787999999999999,20.23,1,1,2,0,0,1.0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0004,CCCCOCC(C)O,132.203,1.1839,29.46,1,2,5,0,0,1.0,9,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SML0005,CCCCCCCCCCCCO,186.33899999999997,3.8996000000000035,20.23,1,1,10,0,0,1.0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0006,CCCO,60.096,0.3887,20.23,1,1,1,0,0,1.0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0007,CCCCC(=O)C(=O)C,128.17099999999996,1.3347,34.14,0,2,4,0,0,0.7142857142857143,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0008,CC1=CN=C(C=N1)C,108.14399999999999,1.0934399999999997,25.78,0,2,0,1,1,0.3333333333333333,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SML0009,CCC(C)CO,88.14999999999999,1.0248,20.23,1,1,2,0,0,1.0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0010,CCCC(=O)CC,100.16099999999999,1.7656,17.07,0,1,3,0,0,0.8333333333333334,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0011,CCC(CC)O,88.14999999999999,1.1673,20.23,1,1,2,0,0,1.0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0012,CC1=CCC2CC1C2(C)C,136.238,2.9987000000000013,0.0,0,0,0,0,3,0.8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0013,CCC1=NC=CN=C1C,122.17099999999998,1.34742,25.78,0,2,1,1,1,0.42857142857142855,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SML0014,CC1(C2CCC(=C)C1C2)C,136.238,2.9987000000000013,0.0,0,0,0,0,3,0.8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0015,CC(=O)O,60.05200000000001,0.09089999999999993,37.3,1,1,0,0,0,0.5,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SML0016,CCCC(=O)O,88.10599999999998,0.8711,37.3,1,1,2,0,0,0.75,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
