SML,SMILES,InChIKey,Odors
SML0000,CC1=CC[C@H](CC1)C(=C)C,XMGQYMWWDOXHJM-SNVBAGLBSA-N,"terpenic, peppery, herbal, pine, orange"
SML0001,CC1=CC[C@@H](CC1=O)C(=C)C,ULDHMXUKGWMISQ-VIFPVBQESA-N,"minty, bready, spicy"
SML0002,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,NOOLISFMXDJSKH-AEJSXWLSSA-N,mentholic
SML0003,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,"balsamic, winey, oily, solvent, fermented, sweet, alcoholic"
SML0004,CCCCOCC(C)O,RWNUSVWFHDHRCJ-UHFFFAOYSA-N,
SML0005,CCCCCCCCCCCCO,LQZZUXJYWNFBMV-UHFFFAOYSA-N,"soapy, honey, fatty, oily, citrus, floral, coconut, earthy, waxy"
SML0006,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,"musty, fermented, pear, sweet, fruity, alcoholic, apple"
SML0007,CCCCC(=O)C(=O)C,FJPGAMCQJNLTJC-UHFFFAOYSA-N,"cheesy, fatty, buttery, oily, sweet"
SML0008,CC1=CN=C(C=N1)C,LCZUOKDVTBMCMX-UHFFFAOYSA-N,"powdery, musty, chocolate, nutty, earthy, roasted, woody, cocoa, medicinal, grassy"
SML0009,CCC(C)CO,QPRQEDXDYOZYLA-UHFFFAOYSA-N,"leathery, fatty, winey, solvent, fermented, ethereal, cocoa, alcoholic"
SML0010,CCCC(=O)CC,PFCHFHIRKBAQGU-UHFFFAOYSA-N,"rummy, winey, grape, sweet, waxy, fruity, ethereal"
SML0011,CCC(CC)O,AQIXEPGDORPWBJ-UHFFFAOYSA-N,"herbal, oily, fermented, nutty, sweet, fruity, ethereal"
SML0012,CC1=CCC2CC1C2(C)C,GRWFGVWFFZKLTI-UHFFFAOYSA-N,"terpenic, cooling, herbal, sweet, camphoreous, earthy, pine, fresh, woody"
SML0013,CCC1=NC=CN=C1C,LNIMMWYNSBZESE-UHFFFAOYSA-N,"bready, musty, hazelnut, potato, burnt, nutty, earthy, roasted, green"
SML0014,CC1(C2CCC(=C)C1C2)C,WTARULDDTDQWMU-UHFFFAOYSA-N,"minty, terpenic, cooling, peppery, herbal, spicy, camphoreous, dry, pine, fresh, green, woody, hay"
SML0015,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"acidic, pungent, sharp, sour"
SML0016,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"cheesy, buttery, sharp, dairy, fruity, sour"
SML0017,C1=CC=C2C(=C1)C=CC(=O)O2,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,"sweet, hay"
SML0018,CCCCCCCCCCCC(=O)O,POULHZVOKOAJMA-UHFFFAOYSA-N,"fatty, coconut, fresh, waxy"
SML0019,CCCCCCCCCC(=O)OCC,RGXWDWUGBIJHDO-UHFFFAOYSA-N,"fatty, winey, oily, grape, brandy, nutty, cognac, sweet, waxy, fruity, apple"
SML0020,CCCCCCCCCCCC(=O)OCC,MMXKVMNBHPAILY-UHFFFAOYSA-N,"clean, soapy, fatty, oily, sweet, floral, waxy, fruity"
SML0021,CCCCCCCCCCCCCCCC(=O)OCC,XIRNKXNNONJFQO-UHFFFAOYSA-N,"balsamic, milky, oily, sweet, waxy, fruity, creamy"
SML0022,CCCCCCCCCCCCCCCCCC(=O)OCC,MVLVMROFTAUDAG-UHFFFAOYSA-N,"odorless, waxy"
