SML,tag
SML0000,herbal
SML0000,orange
SML0000,peppery
SML0000,pine
SML0000,terpenic
SML0001,bready
SML0001,minty
SML0001,spicy
SML0002,mentholic
SML0003,alcoholic
SML0003,balsamic
SML0003,fermented
SML0003,oily
SML0003,solvent
SML0003,sweet
SML0003,winey
SML0005,citrus
SML0005,coconut
SML0005,earthy
SML0005,fatty
SML0005,floral
SML0005,honey
SML0005,oily
SML0005,soapy
SML0005,waxy
SML0006,alcoholic
SML0006,apple
SML0006,fermented
SML0006,fruity
SML0006,musty
SML0006,pear
SML0006,sweet
SML0007,buttery
SML0007,cheesy
SML0007,fatty
SML0007,oily
SML0007,sweet
SML0008,chocolate
SML0008,cocoa
SML0008,earthy
SML0008,grassy
SML0008,medicinal
SML0008,musty
SML0008,nutty
SML0008,powdery
SML0008,roasted
SML0008,woody
SML0009,alcoholic
SML0009,cocoa
SML0009,ethereal
SML0009,fatty
SML0009,fermented
SML0009,leathery
SML0009,solvent
SML0009,winey
SML0010,ethereal
SML0010,fruity
SML0010,grape
SML0010,rummy
SML0010,sweet
SML0010,waxy
SML0010,winey
SML0011,ethereal
SML0011,fermented
SML0011,fruity
SML0011,herbal
SML0011,nutty
SML0011,oily
SML0011,sweet
SML0012,camphoreous
SML0012,cooling
SML0012,earthy
SML0012,fresh
SML0012,herbal
SML0012,pine
SML0012,sweet
SML0012,terpenic
SML0012,woody
SML0013,bready
SML0013,burnt
SML0013,earthy
SML0013,green
SML0013,hazelnut
SML0013,musty
SML0013,nutty
SML0013,potato
SML0013,roasted
SML0014,camphoreous
SML0014,cooling
SML0014,dry
SML0014,fresh
SML0014,green
SML0014,hay
SML0014,herbal
SML0014,minty
SML0014,peppery
SML0014,pine
SML0014,spicy
SML0014,terpenic
SML0014,woody
SML0015,acidic
SML0015,pungent
SML0015,sharp
SML0015,sour
SML0016,buttery
SML0016,cheesy
SML0016,dairy
SML0016,fruity
SML0016,sharp
SML0016,sour
SML0017,hay
SML0017,sweet
SML0018,coconut
SML0018,fatty
SML0018,fresh
SML0018,waxy
SML0019,apple
SML0019,brandy
SML0019,cognac
SML0019,fatty
SML0019,fruity
SML0019,grape
SML0019,nutty
SML0019,oily
SML0019,sweet
SML0019,waxy
SML0019,winey
SML0020,clean
SML0020,fatty
SML0020,floral
SML0020,fruity
SML0020,oily
SML0020,soapy
SML0020,sweet
SML0020,waxy
SML0021,balsamic
SML0021,creamy
SML0021,fruity
SML0021,milky
SML0021,oily
SML0021,sweet
SML0021,waxy
SML0022,odorless
SML0022,waxy
SML0023,apricot
SML0023,banana
SML0023,brandy
SML0023,creamy
SML0023,dairy
SML0023,fruity
SML0023,musty
SML0023,pear
SML0023,pineapple
SML0023,sweet
SML0023,waxy
SML0023,winey
SML0024,fatty
SML0024,orris
SML0024,sweet
SML0024,violet
SML0024,waxy
SML0025,cinnamon
SML0025,clove
SML0025,dry
SML0025,phenolic
SML0025,pungent
SML0025,savory
SML0025,smoky
SML0025,spicy
SML0025,sweet
SML0025,woody
SML0026,floral
SML0026,lily
SML0026,muguet
SML0026,oily
SML0026,sweet
SML0026,waxy
SML0027,citrus
SML0027,floral
SML0027,fruity
SML0027,rose
SML0027,sweet
SML0027,waxy
SML0028,beefy
SML0028,brown
SML0028,chocolate
SML0028,cocoa
SML0028,coffee
SML0028,ethereal
SML0028,nutty
SML0028,potato
SML0028,roasted
SML0029,acidic
SML0029,cheesy
SML0029,dairy
SML0029,fatty
SML0029,fruity
SML0029,pungent
SML0029,ripe
SML0029,sour
SML0029,tropical
SML0030,buttery
SML0030,odorless
SML0030,sour
SML0031,floral
SML0031,fresh
SML0031,green
SML0032,citrus
SML0032,floral
SML0032,green
SML0032,rose
SML0032,sweet
SML0032,woody
SML0033,aldehydic
SML0033,floral
SML0033,muguet
SML0033,woody
SML0035,coconut
SML0035,creamy
SML0035,mushroom
SML0035,soapy
SML0035,waxy
SML0036,fatty
SML0036,oily
SML0036,orris
SML0036,sweet
SML0036,waxy
SML0037,odorless
SML0037,oily
SML0037,waxy
SML0038,aldehydic
SML0038,fruity
SML0038,green
SML0038,herbal
SML0038,orange
SML0038,sweet
SML0038,vegetable
SML0038,waxy
SML0038,winey
SML0039,cognac
SML0039,fatty
SML0039,oily
SML0039,orris
SML0039,waxy
SML0041,aldehydic
SML0041,citrus
SML0041,cucumber
SML0041,fatty
SML0041,floral
SML0041,fresh
SML0041,green
SML0041,orris
SML0041,rose
SML0041,waxy
SML0042,animal
SML0042,fatty
SML0042,floral
SML0042,musk
SML0042,natural
SML0042,powdery
SML0042,soapy
SML0042,sweet
SML0043,odorless
SML0044,aldehydic
SML0044,citrus
SML0044,fatty
SML0044,fresh
SML0044,fruity
SML0044,green
SML0044,herbal
SML0044,orange
SML0044,waxy
SML0045,creamy
SML0045,fatty
SML0045,odorless
SML0045,waxy
SML0046,anisic
SML0046,floral
SML0046,fruity
SML0046,hawthorn
SML0046,hay
SML0046,herbal
SML0046,powdery
SML0046,sweet
SML0046,vanilla
SML0047,citrus
SML0047,fresh
SML0047,woody
SML0048,fatty
SML0048,waxy
SML0049,acidic
SML0049,cheesy
SML0049,dairy
SML0049,milky
SML0049,pungent
SML0049,sour
SML0050,caramellic
SML0050,coffee
SML0050,sweet
SML0051,coconut
SML0051,fatty
SML0051,odorless
SML0051,oily
SML0051,pineapple
SML0051,soapy
SML0051,waxy
SML0052,aldehydic
SML0052,citrus
SML0052,fatty
SML0052,floral
SML0052,green
SML0052,orange
SML0052,pineapple
SML0052,soapy
SML0052,sweet
SML0052,waxy
SML0053,chocolate
SML0053,creamy
SML0053,sweet
SML0053,vanilla
SML0055,aldehydic
SML0055,citrus
SML0055,coconut
SML0055,fatty
SML0055,floral
SML0055,green
SML0055,mushroom
SML0055,orange
SML0055,rose
SML0055,sweet
SML0055,waxy
SML0057,cheesy
SML0057,fatty
SML0057,fermented
SML0057,fruity
SML0057,pineapple
SML0057,sour
SML0057,waxy
SML0058,cheesy
SML0058,fatty
SML0058,sour
SML0059,burnt
SML0059,green
SML0059,nutty
SML0060,cognac
SML0060,fatty
SML0060,fermented
SML0060,floral
SML0060,fruity
SML0060,oily
SML0060,winey
SML0061,animal
SML0061,cheesy
SML0061,fatty
SML0061,oily
SML0061,vegetable
SML0061,waxy
SML0062,caramellic
SML0062,cocoa
SML0062,coffee
SML0062,green
SML0062,meaty
SML0062,musty
SML0062,nutty
SML0062,potato
SML0062,powdery
SML0062,roasted
SML0063,chocolate
SML0063,cocoa
SML0063,earthy
SML0063,green
SML0063,nutty
SML0063,roasted
SML0063,sweet
SML0063,winey
SML0064,chocolate
SML0064,coffee
SML0064,hazelnut
SML0064,musty
SML0064,nutty
SML0064,popcorn
SML0064,potato
SML0064,roasted
SML0065,brown
SML0065,chocolate
SML0065,cocoa
SML0065,earthy
SML0065,fishy
SML0065,green
SML0065,musty
SML0065,nutty
SML0065,potato
SML0065,roasted
SML0066,green
SML0066,musty
SML0066,nutty
SML0066,peppery
SML0066,potato
SML0066,vegetable
SML0067,almond
SML0067,burnt
SML0067,chocolate
SML0067,cocoa
SML0067,nutty
SML0067,popcorn
SML0067,roasted
SML0068,chocolate
SML0068,earthy
SML0068,green
SML0068,hazelnut
SML0068,meaty
SML0068,musty
