A,B,A_only,B_only,shared,jaccard
1,2,136,89,41,0.1541
1,3,64,0,113,0.6384
1,4,148,109,29,0.1014
1,5,114,84,63,0.2414
1,6,55,8,122,0.6595
1,12,102,2,75,0.419
1,21,117,0,60,0.339
1,32,111,1,66,0.3708
1,44,126,0,51,0.2881
2,1,89,136,41,0.1541
2,3,103,86,27,0.125
2,4,17,25,113,0.729
2,5,25,42,105,0.6105
2,6,96,96,34,0.1504
2,12,103,50,27,0.15
2,21,103,33,27,0.1656
2,32,106,43,24,0.1387
2,44,109,30,21,0.1313
3,1,0,64,113,0.6384
3,2,86,103,27,0.125
3,4,92,117,21,0.0913
3,5,75,109,38,0.1712
3,6,17,34,96,0.6531
3,12,41,5,72,0.6102
3,21,56,3,57,0.4914
3,32,48,2,65,0.5652
3,44,63,1,50,0.4386
4,1,109,148,29,0.1014
4,2,25,17,113,0.729
4,3,117,92,21,0.0913
4,5,36,45,102,0.5574
4,6,117,109,21,0.085
4,12,119,58,19,0.0969
4,21,118,40,20,0.1124
4,32,120,49,18,0.0963
4,44,123,36,15,0.0862
5,1,84,114,63,0.2414
5,2,42,25,105,0.6105
5,3,109,75,38,0.1712
5,4,45,36,102,0.5574
5,6,102,85,45,0.194
5,12,113,43,34,0.1789
5,21,111,24,36,0.2105
5,32,114,34,33,0.1823
5,44,120,24,27,0.1579
6,1,8,55,122,0.6595
6,2,96,96,34,0.1504
6,3,34,17,96,0.6531
6,4,109,117,21,0.085
6,5,85,102,45,0.194
6,12,53,0,77,0.5923
6,21,71,1,59,0.4504
6,32,63,0,67,0.5154
6,44,79,0,51,0.3923
12,1,2,102,75,0.419
12,2,50,103,27,0.15
12,3,5,41,72,0.6102
12,4,58,119,19,0.0969
12,5,43,113,34,0.1789
12,6,0,53,77,0.5923
12,21,20,3,57,0.7125
12,32,15,5,62,0.7561
12,44,27,1,50,0.641
21,1,0,117,60,0.339
21,2,33,103,27,0.1656
21,3,3,56,57,0.4914
21,4,40,118,20,0.1124
21,5,24,111,36,0.2105
21,6,1,71,59,0.4504
21,12,3,20,57,0.7125
21,32,8,15,52,0.6933
21,44,17,8,43,0.6324
32,1,1,111,66,0.3708
32,2,43,106,24,0.1387
32,3,2,48,65,0.5652
32,4,49,120,18,0.0963
32,5,34,114,33,0.1823
32,6,0,63,67,0.5154
32,12,5,15,62,0.7561
32,21,15,8,52,0.6933
32,44,19,3,48,0.6857
44,1,0,126,51,0.2881
44,2,30,109,21,0.1313
44,3,1,63,50,0.4386
44,4,36,123,15,0.0862
44,5,24,120,27,0.1579
44,6,0,79,51,0.3923
44,12,1,27,50,0.641
44,21,8,17,43,0.6324
44,32,3,19,48,0.6857
