,1,2,3,4,5,6,12,21,32,44
1,1.0,0.1541,0.6384,0.1014,0.2414,0.6595,0.419,0.339,0.3708,0.2881
2,0.1541,1.0,0.125,0.729,0.6105,0.1504,0.15,0.1656,0.1387,0.1312
3,0.6384,0.125,1.0,0.0913,0.1712,0.6531,0.6102,0.4914,0.5652,0.4386
4,0.1014,0.729,0.0913,1.0,0.5574,0.085,0.0969,0.1124,0.0963,0.0862
5,0.2414,0.6105,0.1712,0.5574,1.0,0.194,0.1789,0.2105,0.1823,0.1579
6,0.6595,0.1504,0.6531,0.085,0.194,1.0,0.5923,0.4504,0.5154,0.3923
12,0.419,0.15,0.6102,0.0969,0.1789,0.5923,1.0,0.7125,0.7561,0.641
21,0.339,0.1656,0.4914,0.1124,0.2105,0.4504,0.7125,1.0,0.6933,0.6324
32,0.3708,0.1387,0.5652,0.0963,0.1823,0.5154,0.7561,0.6933,1.0,0.6857
44,0.2881,0.1312,0.4386,0.0862,0.1579,0.3923,0.641,0.6324,0.6857,1.0
