,1,2,3,4,5,6,12,21,32,44
1,node_1,node_1,node_1,node_1,node_1,node_1,node_1,node_1,node_1,node_1
2,node_1,node_2,node_1,node_2,node_2,node_1,node_1,node_1,node_1,node_1
3,node_1,node_1,node_3,node_1,node_1,node_3,node_3,node_3,node_3,node_3
4,node_1,node_2,node_1,node_4,node_2,node_1,node_1,node_1,node_1,node_1
5,node_1,node_2,node_1,node_2,node_5,node_1,node_1,node_1,node_1,node_1
6,node_1,node_1,node_3,node_1,node_1,node_6,node_6,node_6,node_6,node_6
12,node_1,node_1,node_3,node_1,node_1,node_6,node_12,node_12,node_12,node_12
21,node_1,node_1,node_3,node_1,node_1,node_6,node_12,node_21,node_21,node_21
32,node_1,node_1,node_3,node_1,node_1,node_6,node_12,node_21,node_32,node_32
44,node_1,node_1,node_3,node_1,node_1,node_6,node_12,node_21,node_32,node_44
