node_1,node_2,node_3,node_4,node_5,node_6,node_12,node_21,node_32,node_44
SML0012,SML0015,SML0012,SML0015,SML0016,SML0012,SML0017,SML0017,SML0017,SML0017
SML0014,SML0016,SML0017,SML0016,SML0018,SML0013,SML0056,SML0080,SML0056,SML0080
SML0017,SML0018,SML0031,SML0018,SML0023,SML0017,SML0078,SML0083,SML0078,SML0083
SML0026,SML0023,SML0056,SML0023,SML0026,SML0031,SML0080,SML0089,SML0080,SML0089
SML0027,SML0026,SML0064,SML0026,SML0027,SML0034,SML0083,SML0100,SML0083,SML0100
SML0031,SML0029,SML0077,SML0029,SML0029,SML0056,SML0089,SML0102,SML0089,SML0102
SML0034,SML0030,SML0078,SML0030,SML0030,SML0059,SML0100,SML0103,SML0100,SML0110
SML0056,SML0038,SML0080,SML0038,SML0038,SML0064,SML0102,SML0110,SML0102,SML0118
SML0064,SML0041,SML0081,SML0041,SML0041,SML0066,SML0103,SML0118,SML0103,SML0120
SML0066,SML0043,SML0083,SML0043,SML0043,SML0071,SML0110,SML0120,SML0110,SML0135
SML0073,SML0045,SML0089,SML0044,SML0044,SML0073,SML0118,SML0135,SML0118,SML0147
SML0074,SML0048,SML0100,SML0045,SML0045,SML0077,SML0120,SML0147,SML0120,SML0149
SML0077,SML0049,SML0102,SML0048,SML0048,SML0078,SML0135,SML0149,SML0135,SML0177
SML0078,SML0051,SML0103,SML0049,SML0051,SML0080,SML0147,SML0177,SML0147,SML0180
SML0080,SML0052,SML0110,SML0051,SML0052,SML0081,SML0149,SML0180,SML0149,SML0184
SML0081,SML0057,SML0118,SML0052,SML0057,SML0083,SML0177,SML0184,SML0177,SML0211
SML0083,SML0058,SML0119,SML0057,SML0058,SML0089,SML0180,SML0188,SML0180,SML0227
SML0085,SML0061,SML0120,SML0058,SML0060,SML0091,SML0184,SML0211,SML0184,SML0270
SML0089,SML0083,SML0126,SML0061,SML0061,SML0100,SML0188,SML0212,SML0211,SML0282
SML0091,SML0088,SML0135,SML0088,SML0074,SML0102,SML0211,SML0219,SML0212,SML0342
SML0099,SML0089,SML0136,SML0089,SML0083,SML0103,SML0212,SML0227,SML0219,SML0383
SML0100,SML0094,SML0147,SML0094,SML0088,SML0110,SML0219,SML0276,SML0227,SML0439
SML0102,SML0095,SML0148,SML0095,SML0089,SML0114,SML0227,SML0279,SML0249,SML0449
SML0103,SML0099,SML0149,SML0099,SML0094,SML0118,SML0270,SML0322,SML0322,SML0477
SML0107,SML0100,SML0177,SML0100,SML0095,SML0119,SML0276,SML0342,SML0341,SML0478
SML0110,SML0102,SML0180,SML0102,SML0099,SML0120,SML0279,SML0343,SML0342,SML0500
SML0114,SML0103,SML0184,SML0103,SML0100,SML0123,SML0282,SML0373,SML0344,SML0537
SML0118,SML0110,SML0187,SML0109,SML0103,SML0124,SML0322,SML0382,SML0347,SML0545
SML0119,SML0114,SML0211,SML0110,SML0107,SML0135,SML0341,SML0422,SML0373,SML0546
SML0120,SML0120,SML0212,SML0114,SML0110,SML0147,SML0342,SML0444,SML0383,SML0580
SML0123,SML0125,SML0219,SML0120,SML0114,SML0148,SML0343,SML0449,SML0391,SML0591
SML0124,SML0135,SML0222,SML0125,SML0120,SML0149,SML0344,SML0477,SML0438,SML0592
SML0126,SML0138,SML0227,SML0135,SML0125,SML0153,SML0345,SML0478,SML0439,SML0598
SML0135,SML0142,SML0249,SML0138,SML0135,SML0164,SML0347,SML0537,SML0444,SML0600
SML0136,SML0150,SML0250,SML0142,SML0138,SML0169,SML0373,SML0545,SML0449,SML0609
SML0147,SML0154,SML0263,SML0150,SML0142,SML0177,SML0383,SML0546,SML0477,SML0610
SML0148,SML0161,SML0270,SML0154,SML0147,SML0180,SML0391,SML0580,SML0478,SML0619
SML0149,SML0162,SML0276,SML0155,SML0150,SML0184,SML0421,SML0591,SML0500,SML0620
SML0150,SML0167,SML0279,SML0161,SML0152,SML0187,SML0438,SML0592,SML0534,SML0622
SML0164,SML0175,SML0282,SML0162,SML0161,SML0188,SML0439,SML0598,SML0537,SML0623
SML0169,SML0188,SML0307,SML0167,SML0162,SML0211,SML0448,SML0600,SML0545,SML0626
SML0171,SML0193,SML0314,SML0175,SML0164,SML0212,SML0449,SML0603,SML0546,SML0628
SML0177,SML0194,SML0322,SML0176,SML0167,SML0215,SML0477,SML0606,SML0580,SML0637
SML0178,SML0214,SML0324,SML0182,SML0169,SML0219,SML0478,SML0609,SML0591,SML0657
SML0180,SML0220,SML0327,SML0189,SML0177,SML0227,SML0487,SML0610,SML0592,SML0658
SML0184,SML0226,SML0341,SML0193,SML0180,SML0249,SML0537,SML0613,SML0598,SML0660
SML0186,SML0239,SML0342,SML0194,SML0184,SML0263,SML0545,SML0622,SML0600,SML0682
SML0187,SML0242,SML0343,SML0196,SML0186,SML0270,SML0546,SML0623,SML0603,SML0698
SML0188,SML0243,SML0344,SML0220,SML0188,SML0272,SML0580,SML0626,SML0609,SML0736
SML0191,SML0248,SML0347,SML0226,SML0193,SML0276,SML0587,SML0628,SML0610,SML0746
SML0211,SML0289,SML0368,SML0234,SML0194,SML0279,SML0591,SML0637,SML0613,SML0747
