SML,SMILES,Odors
SML0089,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CCC(=O)C4)C,
SML0100,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,"clove, spicy, balsamic, sweet, floral, malty, fresh, woody, fruity"
SML0110,C/C=C/C1=CC(=C(C=C1)O)OC,"spicy, phenolic, sweet, floral"
SML0120,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,"sweet, floral, musk"
SML0135,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,"citrus, sweet, grapefruit, woody, orange"
SML0478,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)OC(=O)C,
SML0537,CC1CCC2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,
SML0609,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO,
SML0610,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,
SML0622,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=CC(=O)CC[C@]34C,
SML0623,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,
SML0626,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,
SML0628,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,
SML0637,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,
