node,tree_label,immediate_parent,parent_has_predictions,root_depth,ancestors_in_set,descendants_in_set,n_bound,OR_class,n_descendant_leaves,frac_class_I_descendants
1,node_1,node_0,False,1,-,2; 3; 4; 5; 6; 12; 21; 32; 44,177,mixed(class I/II split),433,0.143
2,node_2,node_1,True,2,1,4; 5,130,Class_I,62,1.0
3,node_3,node_1,True,2,1,6; 12; 21; 32; 44,113,Class_II,371,0.0
4,node_4,node_2,True,3,1; 2,-,138,Class_I,55,1.0
5,node_5,node_2,True,3,1; 2,-,147,Class_I,7,1.0
6,node_6,node_3,True,3,1; 3,12; 21; 32; 44,130,Class_II,370,0.0
12,node_12,node_6,True,4,1; 3; 6,21; 32; 44,77,Class_II,365,0.0
21,node_21,node_12,True,5,1; 3; 6; 12,32; 44,60,Class_II,337,0.0
32,node_32,node_21,True,6,1; 3; 6; 12; 21,44,67,Class_II,328,0.0
44,node_44,node_32,True,7,1; 3; 6; 12; 21; 32,-,51,Class_II,50,0.0
