node_1,node_2,node_3,node_4,node_5,node_6,node_12,node_21,node_32,node_44,n_ligands
0,1,0,1,1,0,0,0,0,0,67
1,0,0,0,0,0,0,0,0,0,22
0,1,0,1,0,0,0,0,0,0,18
1,0,1,0,0,1,0,0,0,0,17
1,0,1,0,0,1,1,1,1,1,15
1,0,0,0,0,1,0,0,0,0,15
1,0,1,0,0,0,0,0,0,0,15
0,0,0,1,0,0,0,0,0,0,15
1,1,1,1,1,1,1,1,1,1,14
1,0,1,0,1,1,1,1,1,1,9
0,0,0,1,1,0,0,0,0,0,9
1,0,0,0,1,0,0,0,0,0,8
1,0,1,0,0,1,1,0,1,0,6
1,1,0,1,1,0,0,0,0,0,6
0,0,0,0,1,0,0,0,0,0,6
0,0,0,0,0,1,0,0,0,0,5
1,1,1,0,1,1,1,1,1,1,4
1,0,1,0,0,1,1,1,1,0,4
1,1,1,1,1,1,1,1,1,0,3
1,0,1,0,0,1,1,1,0,0,3
1,1,0,0,1,1,0,0,0,0,3
1,0,1,0,0,1,1,0,0,0,3
1,0,0,0,1,1,0,0,0,0,3
1,0,1,0,0,1,1,0,1,1,2
1,0,1,0,0,1,1,0,0,1,2
1,0,1,0,0,1,0,0,1,0,2
0,1,0,0,1,0,0,0,0,0,2
1,1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,0,0,1
