"Table 1. Reconstructed ancestral olfactory receptor repertoires at the first three duplications, and the combinatorial code they support."

Node (Fig. 3),Node ID,OR class,Human ORs descended,Ligands,Retained,Gained,Lost,Carboxylic acid,Aromatic ring
0,node_1,root (mixed),433,21,—,—,—,0%,62%
1,node_2,Class I,62,21,4,17,17,48%,33%
2,node_3,Class II,371,8,7,1,14,0%,50%
3,node_4,Class I,55,23,12,11,9,83%,9%
4,node_5,Class I,7,21,13,8,8,57%,24%
5,node_6,Class II,370,27,7,20,1,0%,70%

Stage,Receptors,Odorants encoded,By 1 receptor,By ≥2 receptors,Combinatorial
S0,1  (node 0),21,21,0,0%
S1,"2  (nodes 1, 2)",27,25,2,7.4%
S2,"3  (nodes 3, 4, 5)",53,36,17,32.1%
