functional_group,common,class1,class2,fisher_p_class1_vs_class2
carboxylic_acid,2.2598870056497176,54.61538461538461,1.7699115044247788,2.105498082517707e-22
ether,36.72316384180791,26.923076923076923,27.43362831858407,1.0
alkene,41.80790960451977,20.76923076923077,46.902654867256636,1.947122663923707e-05
aromatic_ring,48.58757062146893,20.0,49.557522123893804,1.5248089049796443e-06
ester,23.163841807909606,18.461538461538463,14.15929203539823,0.39101389471495807
alcohol,10.734463276836157,13.846153846153847,13.274336283185843,1.0
ketone,23.163841807909606,10.76923076923077,32.743362831858406,3.201093959765939e-05
aldehyde,15.254237288135593,9.230769230769232,12.389380530973451,0.5333888803051385
amine,5.084745762711865,6.923076923076923,7.079646017699115,1.0
phenol,4.519774011299435,6.153846153846154,5.3097345132743365,1.0
amide,2.824858757062147,5.384615384615385,2.6548672566371683,0.3458314816055562
nitrile,0.5649717514124294,0.0,0.8849557522123894,0.4650205761316873
