SMILES,pattern
C(C(=O)C(=O)O)O,100
C(C(=O)O)N,100
C(C(=O)O)S,100
C(C(C(=O)O)N)N,100
C(C(C=O)O)O,100
C(CC(=O)O)C(=O)C(=O)O,100
C(CC(=O)O)CBr,100
C(CC(=O)O)CC(=O)O,100
C(CCBr)CC(=O)O,100
C(CCC(=O)O)CC(=O)O,100
C(CCC(=O)O)CCBr,100
C(CCC(=O)O)CCC(=O)O,100
C(CCCC(=O)O)CCC(=O)O,100
C(CCCC(=O)O)CCCBr,100
C(CCCC(=O)O)CCCC(=O)O,100
C(CCCCC(=O)O)CCCC(=O)O,100
C(CCCCC(=O)O)CCCCBr,100
C(CCCCC(=O)O)CCCCC(=O)O,100
C(CCCCCBr)CCCCC(=O)O,100
C(CCCCCC(=O)O)CCCCC(=O)O,100
C(CCCCCC(=O)O)CCCCCBr,100
C(CCN=C(N)N)C[C@@H](C(=O)O)N,100
C(CNC(=O)N)C(=O)O,100
C([C@@H](C(=O)O)O)O,100
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O,100
C/C=C(\C)/C=O,100
C/C=C/C(=O)C1=C(C=CCC1(C)C)C,011
C/C=C/C(=O)C1=C(CCCC1(C)C)C,011
C/C=C/C(=O)C1C(=CCCC1(C)C)C,011
C/C=C/C1=CC(=C(C=C1)O)OC,111
C/C=C/C1=CC(=C(C=C1)OC)OC,111
C/C=C/C1=CC=C(C=C1)OC,011
C12=C(NC(=NC1=O)N)NC(=O)N2,111
C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)O,100
C1=C(NC=N1)C[C@@H](CO)N,111
C1=CC(=CC=C1/C=C/C(=O)O)O,110
C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O,111
C1=CC=C(C=C1)/C=C/C#N,011
C1=CC=C(C=C1)/C=C/C(=O)O,110
C1=CC=C(C=C1)/C=C/C=O,011
C1=CC=C(C=C1)/C=C/CO,011
C1=CC=C(C=C1)C(=O)CN,011
C1=CC=C(C=C1)C(=O)O,100
C1=CC=C(C=C1)C=O,110
C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O,100
C1=CC=C(C=C1)CC(=O)O,100
C1=CC=C(C=C1)CC(=O)[O-],010
C1=CC=C(C=C1)CC=O,110
C1=CC=C(C=C1)CCC(=O)O,100
C1=CC=C(C=C1)CCC=O,110
C1=CC=C(C=C1)CCCC=O,010
C1=CC=C(C=C1)CCCCC=O,010
C1=CC=C2C(=C1)C=CC(=O)O2,011
C1=CC=C2C(=C1)C=CC=N2,011
C1=CC=C2C(=C1)C=CN2,011
C1=CC=C2C(=C1)N=CS2,011
C1=COC(=C1)CSCC2=CC=CO2,011
C1=COC(=C1)CSSCC2=CC=CO2,011
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]4[C@@H]([C@H](O3)CO)OP(=O)(O4)O)N,111
C1C2CC(C1C=C2)C(=O)O,100
C1CC(=O)NC1,011
C1CC(C1)C(=O)O,100
C1CCC(=O)CC1,011
C1CCCCCC(=O)OCCOC(=O)CCCC1,110
C1CCCCCC(=O)OCCOC(=O)CCCCC1,110
C1COC2=CC=CC=C2C1=O,011
C1CSSC1CCCCC(=O)N,010
C1C[C@H](N(C1)C(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)N)C(=O)NCC(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CO)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,111
C=CCOC(=O)CC1=CC=CC=C1,100
CC(=C)C(=O)O[C@H]1C[C@]23[C@H](O2)CC/C(=C/[C@@H]4[C@@H]1C(=C)C(=O)O4)/CO[C@H]3O,111
CC(=C)[C@@H]1CCC(=CC1)C=O,011
CC(=C)[C@H]1CCC(=CC1)C=O,011
CC(=CC1=CC=CC=C1)C=O,011
CC(=CCC/C(=C/C(OC)OC)/C)C,010
CC(=CCC/C(=C/C=O)/C)C,100
CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,110
CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,010
CC(=CCC/C(=C/CCC(C)(C=C)OC(=O)C)/C)C,010
CC(=CCC/C(=C/CO)/C)C,010
CC(=CCC/C(=C/COC(=O)C)/C)C,111
CC(=CCC/C(=C/COC=O)/C)C,110
CC(=CCC/C(=C\CO)/C)C,010
CC(=CCC/C(=C\COC(=O)C)/C)C,111
CC(=CCCC(=CC=O)C)C,110
CC(=CCCC(=CCOC(=O)C)C)C,110
CC(=CCCC(=O)C)C,010
CC(=CCOC(=O)C)C,011
CC(=O)/C=C/C1=CC2=C(C=C1)OCO2,011
CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,011
CC(=O)C1=CC=C(C=C1)OC,010
CC(=O)C1=CC=CC2=CC=CC=C21,010
CC(=O)C1=CC=CC=C1,011
CC(=O)C1=CC=CC=C1N,011
CC(=O)C1=NC=CN=C1,011
CC(=O)CCC1=CC=CC=C1,011
CC(=O)NC(CC1=CC(=C(C=C1)O)OC)C(=O)O,100
CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)NC=O,111
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,010
CC(=O)NCCCC(=O)O,100
CC(=O)N[C@@H](CCC(=O)O)C(=O)O,100
CC(=O)O,100
CC(=O)OC/C=C/C1=CC=CC=C1,010
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,111
CC(=O)OC1=CC=CC=C1,010
CC(=O)OC1CC2CCC1(C2(C)C)C,010
CC(=O)OCC1=CC=C(C=C1)OC,010
CC(=O)OCC1=CC=CC=C1,010
CC(=O)OCCC1=CC=CC=C1,011
CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,010
CC(=O)O[C@H]1C[C@H]2CC[C@]1(C2(C)C)C,010
CC(C(=O)O)O,100
CC(C)C12CCC(=C)C1C2,011
CC(C)C1=CC=CC=C1,010
CC(C)C1=NC=CN=C1OC,010
CC(C)C1C(COC(O1)(C)C)(C)C,010
CC(C)CC(=O)O,100
CC(C)CC1=C(C=CC=N1)OC,011
CC(C)CC1=NC=CN=C1OC,010
CC(C)CCC(=O)O,100
CC(C)CCOC(=O)C,010
CC(C)[C@]12CCC(=C)[C@H]1C2,010
CC(C1=CC=CC=C1)S,010
CC(C1CCCC(C1)(C)C)OC(C)(C)COC(=O)C2CC2,010
CC(CC1=CC2=C(C=C1)OCO2)C=O,011
CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,011
CC(CC1=CC=C(C=C1)OC)C=O,011
CC(CC1=CC=CC=C1)C=O,011
CC(CC=O)C1=CC=CC=C1,010
CC(CCC1=CC=CC=C1)CC=O,010
CC(CCC1=CC=CC=C1)CCO,011
CC(CCC=C(C)C)CC(=O)O,100
CC(CCCC1=CC=CC=C1)CO,011
CC(CCO)C1=CC=CC=C1,011
CC(CN)C1=CC=CC=C1,010
CC/C(=C\CC1CC=C(C1(C)C)C)/CO,011
CC/C=C/CC1=C(C(=O)CC1)C,011
