pattern,tag,obs,exp,obs_exp,p
100,sweet,15,25.18,0.5956559894690654,0.9998025258105503
100,fruity,18,19.03,0.9457184325108854,0.6973105252037394
100,floral,8,16.4,0.4878706199460916,0.9994821124333849
100,green,13,15.23,0.8537735849056604,0.8373952979181848
100,fatty,22,11.42,1.926463473633285,5.363537071907232e-05
100,waxy,25,11.42,2.1891630382196423,2.726987617352221e-07
100,woody,0,8.49,0.0,1.0
100,fresh,3,8.49,0.35328562134027325,0.9981052305939005
100,herbal,2,6.73,0.2969647251845775,0.9977281786466378
100,balsamic,2,6.44,0.31046312178387653,0.9967566034585083
100,citrus,6,6.15,0.9757412398921833,0.619761417230891
100,spicy,0,5.56,0.0,1.0
100,cheesy,14,4.98,2.8124306326304107,2.808396605385038e-06
100,rose,3,4.69,0.6403301886792453,0.9004356827459418
100,powdery,2,4.69,0.42688679245283023,0.9752252705986475
100,creamy,9,4.39,2.0490566037735847,0.009748024237785072
100,tropical,3,4.1,0.7318059299191374,0.8354206006609872
100,sour,14,4.1,3.415094339622641,8.666151408360271e-09
100,banana,4,4.1,0.9757412398921832,0.6299194199347903
100,oily,3,3.81,0.7880986937590712,0.7913846333625165
100,apple,2,3.81,0.5253991291727141,0.9364442903457143
100,vegetable,3,3.81,0.7880986937590712,0.7913846333625165
100,aldehydic,5,3.81,1.3134978229317853,0.32002855667619284
100,nutty,2,3.51,0.5691823899371069,0.914127420040607
100,musk,1,3.22,0.31046312178387653,0.9806130961579059
100,dairy,9,3.22,2.7941680960548885,0.0003074595335114494
100,pineapple,8,3.22,2.4837049742710122,0.0027179897276229863
100,coconut,7,2.93,2.3905660377358493,0.007481883391875034
100,sulfurous,1,2.93,0.3415094339622642,0.9719054190084908
100,sharp,4,2.93,1.3660377358490567,0.3285348315475738
100,earthy,0,2.93,0.0,1.0
100,odorless,10,2.93,3.415094339622642,2.4149363938476802e-06
100,pear,3,2.64,1.1383647798742138,0.5205067287688943
100,pungent,4,2.64,1.5178197064989518,0.24985782448965563
100,honey,2,2.64,0.7589098532494759,0.7979787146686185
100,animal,3,2.64,1.1383647798742138,0.5205067287688943
100,plum,0,2.34,0.0,1.0
100,berry,2,2.34,0.8537735849056605,0.7363182733575686
100,tobacco,3,2.34,1.2806603773584906,0.4302904273424814
100,phenolic,1,2.34,0.42688679245283023,0.9414578184885611
100,camphoreous,0,2.34,0.0,1.0
100,musty,2,2.34,0.8537735849056605,0.7363182733575686
100,meaty,0,2.34,0.0,1.0
100,minty,0,2.34,0.0,1.0
100,jasmine,0,2.34,0.0,1.0
100,pine,0,2.05,0.0,1.0
100,burnt,1,2.05,0.4878706199460916,0.915815375347187
100,melon,0,2.05,0.0,1.0
100,cherry,0,2.05,0.0,1.0
100,orange,3,2.05,1.4636118598382748,0.3351232313255947
