node,tag,obs,exp,obs_exp,p
1,sweet,71,55.89,1.270413306451613,1.4746599010887519e-05
1,fruity,47,46.87,1.0027043269230769,0.5441687627441487
1,green,39,38.46,1.0140380859375,0.49679548466467827
1,floral,48,34.85,1.3771551724137931,1.9130787087761715e-05
1,fatty,17,31.85,0.5337558962264151,0.9999996272260661
1,waxy,14,27.04,0.5177083333333333,0.9999980732480478
1,fresh,26,22.23,1.1693412162162162,0.11302309885491345
1,woody,29,18.63,1.5567036290322582,9.738059464845099e-06
1,herbal,21,16.83,1.248046875,0.06170251268449445
1,citrus,15,15.62,0.9600360576923077,0.6872684633509079
1,oily,10,14.42,0.693359375,0.9845327149521762
1,balsamic,20,13.82,1.4470108695652173,0.003545201802242058
1,cheesy,3,13.22,0.22691761363636362,0.9999997530727918
1,creamy,6,12.62,0.4754464285714286,0.9995561980029269
1,spicy,19,12.02,1.5808593750000002,0.00032830304059124223
1,vegetable,10,11.42,0.8758223684210527,0.8270937381171842
1,rose,13,11.42,1.1385690789473684,0.3017267664089531
1,aldehydic,8,10.82,0.7395833333333334,0.9510683604923907
1,tropical,11,10.82,1.0169270833333333,0.5685937179362048
1,nutty,10,10.82,0.9244791666666666,0.7482640289926876
1,powdery,14,10.22,1.3704044117647058,0.040769879957154094
1,dairy,2,10.22,0.1957720588235294,0.9999981378877183
1,sour,0,9.62,0.0,1.0
1,apple,11,9.01,1.2203125,0.21041343299351298
1,banana,10,8.41,1.1886160714285714,0.274155881240059
1,sulfurous,9,7.81,1.1520432692307692,0.35029482002194773
1,musk,10,7.21,1.38671875,0.07835114318301509
1,pineapple,3,7.21,0.416015625,0.9978690616580066
1,pungent,5,7.21,0.693359375,0.9486215677824332
1,earthy,10,7.21,1.38671875,0.07835114318301509
1,coconut,3,7.21,0.416015625,0.9978690616580066
1,odorless,0,6.61,0.0,1.0
1,musty,6,6.61,0.9076704545454545,0.7609632747679161
1,sharp,6,6.61,0.9076704545454545,0.7609632747679161
1,orange,4,6.61,0.6051136363636364,0.9743965994688812
1,burnt,6,6.01,0.9984375000000001,0.6379499111403311
1,meaty,8,6.01,1.33125,0.16262049567782444
1,pear,6,6.01,0.9984375000000001,0.6379499111403311
1,buttery,1,6.01,0.16640625,0.9999267946630309
1,animal,6,6.01,0.9984375000000001,0.6379499111403311
1,milky,2,6.01,0.3328125,0.9986938626719729
1,phenolic,7,5.41,1.2942708333333333,0.2281461326116389
1,honey,7,5.41,1.2942708333333333,0.2281461326116389
1,roasted,6,5.41,1.109375,0.4838035357304561
1,camphoreous,8,5.41,1.4791666666666667,0.0670951695453961
1,tobacco,5,4.81,1.0400390625,0.5974290482277083
1,plum,8,4.81,1.6640625,0.015541818934244288
1,minty,8,4.81,1.6640625,0.015541818934244288
1,coffee,6,4.81,1.248046875,0.31336526698457795
1,melon,7,4.81,1.4560546875,0.1028842724490056
1,berry,6,4.81,1.248046875,0.31336526698457795
1,jasmine,8,4.81,1.6640625,0.015541818934244288
1,acidic,0,4.81,0.0,1.0
