node,parent,excess_frac_root_age,n_tips
node_100,node_77,0.0370527246276673,2
node_13,node_7,0.03388301457119841,29
node_61,node_46,0.021391846619950496,13
node_51,node_38,0.019786748607139696,2
node_81,node_62,0.016814767481683392,7
node_161,node_137,0.01617791920120219,3
node_382,node_345,0.011416488512231501,3
node_380,node_344,0.008985646888680617,17
node_367,node_334,0.0089663076085359,3
node_107,node_81,0.0071767641393852485,4
node_72,node_56,0.006196247187814886,72
node_22,node_13,0.0037699092468320332,28
node_177,node_151,0.003715813241032425,24
node_15,node_8,0.0018831390390856393,5
node_157,node_134,0.0016208370106969394,2
node_207,node_177,0.00134396858089849,17
node_232,node_204,0.0010407648816326636,36
node_79,node_61,0.0008380563505469579,10
node_356,node_318,0.0006525138298244398,2
node_228,node_201,0.0001044723839485143,3
