t,n_lineages,n_class_I,n_class_II,n_unassigned,n_detected,cum_detected,n_single,n_combinatorial,only_I,both,only_II,det_1,det_2,det_3,det_4_5,det_6_10,det_11plus
0.0,1,0,0,1,21,21,21,0,0,0,0,21,0,0,0,0,0
0.112243132474,2,1,1,0,27,39,25,2,19,2,6,25,2,0,0,0,0
0.324608980201,4,1,3,0,40,47,31,9,18,3,19,31,4,4,1,0,0
0.353979637478,4,1,3,0,40,47,31,9,18,3,19,31,4,4,1,0,0
0.371526758847,5,2,3,0,49,59,28,21,27,5,17,28,16,3,2,0,0
0.382742933756,7,2,5,0,52,61,22,30,26,6,20,22,17,3,8,2,0
0.442078035662,7,2,5,0,52,61,22,30,26,6,20,22,17,3,8,2,0
0.455719200398,8,2,6,0,52,61,22,30,26,6,20,22,17,6,5,2,0
0.465352502074,9,2,7,0,52,61,22,30,26,6,20,22,17,6,5,2,0
0.467911289357,11,2,9,0,52,61,22,30,26,6,20,22,14,8,6,2,0
0.480539950689,13,2,11,0,52,61,22,30,26,6,20,22,14,8,6,0,2
0.48733525493,14,2,12,0,52,61,22,30,26,6,20,22,14,7,6,1,2
0.50164296653,15,2,13,0,60,66,30,30,26,6,28,30,14,4,7,3,2
0.505067014461,16,2,14,0,66,70,30,36,26,6,34,30,18,5,6,5,2
0.512865627498,16,2,14,0,66,70,30,36,26,6,34,30,18,5,6,5,2
0.514023734194,17,2,15,0,66,70,30,36,26,6,34,30,18,5,6,5,2
0.520771993787,18,2,16,0,74,75,33,41,24,8,42,33,21,5,7,6,2
0.527413458209,20,2,18,0,75,78,34,41,24,8,43,34,19,4,9,7,2
0.527471777666,20,2,18,0,75,78,34,41,24,8,43,34,19,4,9,7,2
0.533840645914,21,3,18,0,75,80,26,49,24,10,41,26,16,15,9,7,2
0.537617597433,25,6,19,0,94,98,37,57,25,10,59,37,14,13,17,11,2
0.551604970731,25,6,19,0,94,98,37,57,25,10,59,37,14,13,17,11,2
0.557651078044,26,6,20,0,94,98,38,56,25,10,59,38,13,14,16,11,2
0.560208081102,28,6,22,0,95,99,37,58,25,10,60,37,13,14,15,12,4
0.575929894622,28,6,22,0,95,99,37,58,25,10,60,37,13,14,15,12,4
0.581677290087,29,6,23,0,95,99,37,58,25,10,60,37,13,14,15,12,4
0.58169749567,31,6,25,0,95,99,37,58,25,10,60,37,13,14,15,9,7
0.582443193186,32,6,26,0,98,100,35,63,25,10,63,35,11,20,14,10,8
0.583250607619,33,7,26,0,108,110,41,67,35,11,62,41,14,16,19,10,8
0.587019843465,33,7,26,0,108,110,41,67,35,11,62,41,14,16,19,10,8
0.596529478213,35,7,28,0,108,110,41,67,35,11,62,41,14,16,19,10,8
0.598224553511,35,7,28,0,108,110,41,67,35,11,62,41,14,16,19,10,8
0.598434844583,37,7,30,0,138,140,56,82,35,11,92,56,25,15,25,9,8
0.60608061882,37,7,30,0,138,140,56,82,35,11,92,56,25,15,25,9,8
0.61232490251,38,7,31,0,140,142,53,87,33,13,94,53,28,11,29,10,9
0.614068039103,40,7,33,0,140,142,53,87,33,13,94,53,27,11,29,12,8
0.614795391106,42,7,35,0,138,142,54,84,35,11,92,54,27,14,24,11,8
0.617874688504,43,7,36,0,138,142,54,84,35,11,92,54,27,14,23,12,8
0.623056265292,44,7,37,0,138,142,53,85,35,11,92,53,26,15,24,10,10
0.6241586178,45,7,38,0,138,142,53,85,35,11,92,53,26,14,23,12,10
0.626485895094,46,7,39,0,137,142,52,85,36,10,91,52,26,10,25,12,12
0.626861678217,48,7,41,0,137,142,52,85,36,10,91,52,24,9,26,14,12
0.627451980062,48,7,41,0,137,142,52,85,36,10,91,52,24,9,26,14,12
0.629741776319,50,7,43,0,137,142,52,85,35,11,91,52,24,9,26,14,12
0.630682133337,52,9,43,0,142,146,59,83,40,22,80,59,18,15,20,17,13
0.63563972024,52,9,43,0,142,146,59,83,40,22,80,59,18,15,20,17,13
0.639932163107,54,10,44,0,143,147,52,91,41,22,80,52,24,14,21,18,14
0.64014512342,54,10,44,0,143,147,52,91,41,22,80,52,24,14,21,18,14
0.640416565069,57,13,44,0,143,147,52,91,41,22,80,52,24,13,21,19,14
0.641369476063,59,14,45,0,146,148,57,89,44,23,79,57,19,15,21,20,14
0.643498235578,59,14,45,0,146,148,57,89,44,23,79,57,19,15,21,20,14
0.643679724542,62,14,48,0,157,159,67,90,44,23,90,67,20,14,20,22,14
0.643762188502,62,14,48,0,157,159,67,90,44,23,90,67,20,14,20,22,14
0.647480804583,63,14,49,0,157,159,67,90,44,23,90,67,21,11,22,22,14
0.648503392929,63,14,49,0,157,159,67,90,44,23,90,67,21,11,22,22,14
0.648960565307,66,14,52,0,157,159,64,93,44,23,90,64,24,9,24,22,14
0.649462453516,66,14,52,0,157,159,64,93,44,23,90,64,24,9,24,22,14
0.651456972333,67,14,53,0,157,167,65,92,44,23,90,65,23,9,24,22,14
0.655951862746,69,14,55,0,157,167,65,92,44,23,90,65,25,7,25,21,14
0.657508874056,70,14,56,0,157,167,65,92,44,23,90,65,25,7,25,21,14
0.657633049991,71,14,57,0,157,167,65,92,44,23,90,65,25,7,25,21,14
0.658002531504,71,14,57,0,157,167,65,92,44,23,90,65,25,7,25,21,14
0.658305836039,73,14,59,0,157,167,65,92,44,23,90,65,25,9,25,17,16
0.658945200131,73,14,59,0,157,167,65,92,44,23,90,65,25,9,25,17,16
0.663550245196,75,14,61,0,159,169,62,97,44,23,92,62,26,11,24,20,16
0.664938990844,76,14,62,0,159,169,62,97,44,23,92,62,26,11,24,20,16
0.666401227199,77,14,63,0,159,169,62,97,44,23,92,62,26,11,24,20,16
0.667411387131,78,14,64,0,159,169,62,97,44,23,92,62,26,11,24,20,16
0.667911196354,78,14,64,0,159,169,62,97,44,23,92,62,26,11,24,20,16
0.669472147018,80,15,65,0,181,191,74,107,40,28,113,74,27,16,25,21,18
0.671366502831,80,15,65,0,181,191,74,107,40,28,113,74,27,16,25,21,18
0.672090878155,81,16,65,0,191,200,77,114,50,44,97,77,25,17,24,30,18
0.676056160105,83,16,67,0,191,200,78,113,50,44,97,78,24,16,24,31,18
0.681266338202,83,16,67,0,191,200,78,113,50,44,97,78,24,16,24,31,18
0.684093062246,85,16,69,0,191,200,78,113,50,44,97,78,24,13,25,33,18
0.685231304425,86,17,69,0,191,200,77,114,50,44,97,77,24,12,25,35,18
0.687072661193,87,17,70,0,191,200,77,114,50,44,97,77,24,12,25,35,18
0.690369246927,88,18,70,0,190,200,74,116,49,44,97,74,25,9,29,34,19
0.690410411138,89,18,71,0,190,200,74,116,48,45,97,74,24,13,26,32,21
0.695579089173,91,18,73,0,191,201,75,116,48,45,98,75,23,14,25,33,21
0.696428450077,91,18,73,0,191,201,75,116,48,45,98,75,23,14,25,33,21
0.698583324242,93,18,75,0,191,201,75,116,48,45,98,75,23,14,25,33,21
0.703743965351,96,21,75,0,191,201,71,120,48,51,92,71,25,13,25,35,22
0.704184446236,97,21,76,0,191,201,71,120,48,51,92,71,25,13,25,35,22
0.704491840811,97,21,76,0,191,201,71,120,48,51,92,71,25,13,25,35,22
0.705919498786,98,21,77,0,193,203,65,128,48,51,94,65,31,16,21,37,23
0.706154036091,99,21,78,0,193,203,65,128,48,51,94,65,31,16,21,37,23
0.706417362633,99,21,78,0,193,203,65,128,48,51,94,65,31,16,21,37,23
0.707889160751,100,21,79,0,197,207,65,132,48,51,98,65,35,15,22,36,24
0.708035059998,101,21,80,0,197,207,64,133,48,51,98,64,35,11,24,36,27
0.711714694113,103,21,82,0,197,207,64,133,48,51,98,64,35,11,24,35,28
0.714880278885,103,21,82,0,197,207,64,133,49,50,98,64,35,12,24,36,26
0.716906755809,104,21,83,0,197,207,64,133,49,50,98,64,34,13,24,36,26
0.72073895885,105,21,84,0,197,207,64,133,49,50,98,64,34,13,24,36,26
0.721698249444,105,21,84,0,197,207,64,133,49,50,98,64,34,13,24,36,26
0.725159132849,106,21,85,0,197,207,64,133,49,50,98,64,34,13,24,36,26
0.725382698383,108,21,87,0,197,207,64,133,49,50,98,64,34,13,24,36,26
0.727359982839,109,21,88,0,197,207,64,133,49,50,98,64,34,13,24,36,26
0.729382774409,109,21,88,0,197,207,64,133,49,50,98,64,34,13,24,36,26
0.729852445606,110,21,89,0,197,207,63,134,49,50,98,63,35,13,24,36,26
0.73020213681,111,21,90,0,197,207,63,134,49,50,98,63,35,13,24,36,26
0.731061779289,112,21,91,0,197,207,62,135,49,50,98,62,35,13,23,35,29
0.732008763077,113,22,91,0,213,222,71,142,46,53,114,71,30,22,20,41,29
0.73209981799,114,22,92,0,213,222,71,142,46,53,114,71,30,22,20,41,29
0.732820352295,114,22,92,0,213,222,71,142,46,53,114,71,30,22,20,41,29
0.735370042176,115,22,93,0,213,222,71,142,46,53,114,71,30,22,20,41,29
0.735830336454,117,23,94,0,213,222,71,142,46,53,114,71,30,21,22,39,30
0.736106027159,117,23,94,0,213,222,71,142,46,53,114,71,30,21,22,39,30
0.737179028421,119,23,96,0,237,241,89,148,45,54,138,89,34,22,21,40,31
0.737787315532,119,23,96,0,237,241,89,148,45,54,138,89,34,22,21,40,31
0.738349693737,120,23,97,0,237,241,89,148,45,54,138,89,34,22,21,40,31
0.739079741021,121,23,98,0,237,241,89,148,45,54,138,89,34,22,21,40,31
0.740333022785,122,24,98,0,237,241,89,148,45,54,138,89,34,22,21,40,31
0.740501976678,124,24,100,0,237,241,89,148,45,54,138,89,34,22,23,39,30
0.741317693823,124,24,100,0,237,241,89,148,45,54,138,89,34,22,23,39,30
0.741379215559,126,24,102,0,237,241,89,148,40,59,138,89,34,22,22,38,32
0.742017270511,127,24,103,0,237,241,89,148,40,59,138,89,34,22,22,38,32
0.742055928044,128,24,104,0,237,241,88,149,39,60,138,88,35,21,19,41,33
0.742549145897,128,24,104,0,237,241,88,149,39,60,138,88,35,21,19,41,33
0.744664468384,129,24,105,0,237,241,89,148,40,59,138,89,34,21,19,43,31
0.746240585916,131,24,107,0,237,241,86,151,40,59,138,86,35,20,21,38,37
0.747723892628,132,24,108,0,237,241,86,151,40,59,138,86,35,20,21,38,37
0.748148434756,133,25,108,0,235,241,84,151,38,59,138,84,33,22,20,38,38
0.750454900043,134,25,109,0,235,241,84,151,38,59,138,84,33,22,20,38,38
0.750630964702,134,25,109,0,235,241,84,151,38,59,138,84,33,22,20,38,38
0.752457189101,135,25,110,0,235,241,84,151,38,59,138,84,33,22,20,38,38
0.753003121506,136,26,110,0,235,241,83,152,38,59,138,83,34,21,19,40,38
0.753811808515,136,26,110,0,235,241,82,153,38,59,138,82,36,20,19,43,35
0.75388083404,138,27,111,0,231,245,71,160,40,56,135,71,48,14,22,43,33
0.754467147418,138,27,111,0,231,245,71,160,40,56,135,71,48,14,22,43,33
0.754833365451,139,27,112,0,231,245,71,160,40,56,135,71,48,14,22,43,33
0.754940978614,141,27,114,0,231,245,70,161,40,56,135,70,48,15,22,42,34
0.755607237011,141,27,114,0,231,245,70,161,40,56,135,70,48,15,22,42,34
0.756266185369,143,28,115,0,231,245,70,161,40,56,135,70,48,15,22,42,34
0.758695113687,144,28,116,0,225,247,73,152,42,54,129,73,39,20,18,42,33
0.761362710115,145,28,117,0,225,247,73,152,41,55,129,73,39,20,17,41,35
0.762563781585,146,28,118,0,225,247,73,152,41,55,129,73,39,20,17,41,35
0.762905732628,146,28,118,0,225,247,73,152,41,55,129,73,39,20,17,41,35
0.763326811763,148,28,120,0,225,247,73,152,41,55,129,73,39,20,17,41,35
0.764689095978,148,28,120,0,225,247,73,152,41,55,129,73,39,20,17,41,35
0.766731845325,150,28,122,0,225,247,73,152,41,55,129,73,39,20,17,41,35
0.769125046973,151,28,123,0,225,247,68,157,41,55,129,68,43,21,15,41,37
0.769598889327,151,28,123,0,225,247,68,157,41,55,129,68,43,21,15,41,37
0.771047203442,152,29,123,0,225,247,68,157,41,55,129,68,43,21,14,42,37
0.771271464794,153,29,124,0,225,247,68,157,41,55,129,68,42,22,14,42,37
0.771786249324,154,30,124,0,227,248,69,158,43,55,129,69,42,22,15,42,37
0.772424574553,155,30,125,0,227,248,69,158,43,55,129,69,42,22,15,42,37
0.7732371021,157,30,127,0,231,250,73,158,43,55,133,73,41,21,15,39,42
0.773261605287,158,30,128,0,231,250,71,160,43,55,133,71,43,20,16,39,42
0.774255809785,159,31,128,0,251,267,85,166,63,57,131,85,45,23,16,38,44
0.774294778482,159,31,128,0,251,267,85,166,63,57,131,85,45,23,16,38,44
0.775540059486,161,31,130,0,251,267,85,166,63,57,131,85,45,23,16,38,44
0.776219084474,161,31,130,0,251,267,85,166,63,57,131,85,45,23,16,38,44
0.776845522974,163,31,132,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.777179817978,163,31,132,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.777976986846,163,31,132,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.778481377437,164,31,133,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.780839949154,165,31,134,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.782618550238,167,31,136,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.784583210391,167,31,136,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.786609777405,168,31,137,0,251,267,85,166,63,57,131,85,45,24,15,38,44
0.786708863525,169,32,137,0,251,267,85,166,63,57,131,85,45,23,16,37,45
0.788219717705,171,32,139,0,251,267,85,166,63,57,131,85,45,23,16,37,45
0.789452327799,172,32,140,0,255,270,85,170,62,58,135,85,46,23,18,37,46
0.791031681146,173,32,141,0,256,271,86,170,62,58,136,86,46,23,18,37,46
0.792962482079,173,32,141,0,256,271,86,170,62,58,136,86,46,23,18,37,46
0.79358373784,175,32,143,0,249,271,95,154,63,57,129,95,34,20,17,37,46
0.795269743564,175,32,143,0,249,271,95,154,63,57,129,95,34,20,17,37,46
0.795458566194,177,32,145,0,249,271,95,154,63,57,129,95,33,21,17,37,46
0.795849264399,178,32,146,0,249,271,95,154,63,57,129,95,33,21,17,37,46
0.796460170236,179,33,146,0,263,284,95,168,77,63,123,95,41,22,19,38,48
0.796499083343,180,33,147,0,262,284,94,168,77,63,122,94,41,22,18,39,48
0.796821245854,180,33,147,0,262,284,94,168,77,63,122,94,41,22,18,39,48
0.800198640565,181,34,147,0,262,284,94,168,77,63,122,94,41,22,18,39,48
0.800747506467,183,34,149,0,262,284,94,168,77,63,122,94,41,21,19,39,48
0.801354251788,183,34,149,0,262,284,94,168,77,63,122,94,41,21,19,39,48
0.801621608527,184,34,150,0,318,340,142,176,77,63,178,142,42,24,23,39,48
0.803600066068,186,34,152,0,318,340,142,176,77,63,178,142,42,24,23,39,48
0.805810446972,187,34,153,0,318,340,140,178,75,65,178,140,38,26,26,40,48
0.806102705366,188,34,154,0,318,340,140,178,75,65,178,140,38,26,26,40,48
0.807492700036,189,34,155,0,318,340,140,178,75,65,178,140,37,26,27,37,51
0.80799249717,189,34,155,0,318,340,140,178,75,65,178,140,37,26,27,37,51
0.808492619774,190,34,156,0,318,340,140,178,75,65,178,140,37,26,27,35,53
0.809290696484,191,34,157,0,318,340,140,178,75,65,178,140,37,26,27,35,53
0.810188659716,192,34,158,0,318,340,140,178,75,65,178,140,37,26,27,35,53
0.810371521376,193,34,159,0,318,340,140,178,75,65,178,140,37,26,27,35,53
0.810732865181,194,34,160,0,318,340,140,178,75,65,178,140,37,27,26,36,52
0.811532392183,196,34,162,0,318,340,141,177,75,65,178,141,35,28,26,35,53
0.812995897344,197,34,163,0,318,340,142,176,75,65,178,142,33,28,27,34,54
0.813276730139,198,34,164,0,318,340,142,176,75,65,178,142,33,28,27,34,54
0.814566677179,198,34,164,0,318,340,142,176,75,65,178,142,33,28,27,34,54
0.814850226016,200,34,166,0,318,340,142,176,75,65,178,142,33,28,27,33,55
0.815138393261,201,34,167,0,318,340,142,176,75,65,178,142,35,26,27,33,55
0.817232270577,202,34,168,0,318,340,142,176,75,65,178,142,35,26,27,33,55
