t,n_lineages,n_class_I,n_class_II,n_unassigned,n_detected,cum_detected,n_single,n_combinatorial,only_I,both,only_II,det_1,det_2,det_3,det_4_5,det_6_10,det_11plus
0.0,1,0,0,1,21,21,21,0,0,0,0,21,0,0,0,0,0
0.109620511203,2,1,1,0,27,39,25,2,19,2,6,25,2,0,0,0,0
0.149523867986,3,1,2,0,43,49,36,7,16,5,22,36,5,2,0,0,0
0.277525756066,5,2,3,0,49,63,28,21,27,5,17,28,16,3,2,0,0
0.294665185323,6,3,3,0,51,65,22,29,29,5,17,22,15,11,3,0,0
0.310309921878,6,3,3,0,51,65,22,29,29,5,17,22,15,11,3,0,0
0.313028587852,7,4,3,0,51,65,19,32,29,5,17,19,14,5,13,0,0
0.317305807603,9,5,4,0,56,69,17,39,30,7,19,17,16,7,14,2,0
0.320576709312,10,6,4,0,58,71,22,36,32,7,19,22,14,7,12,3,0
0.330490359108,11,7,4,0,66,75,30,36,40,10,16,30,10,9,13,4,0
0.333284725914,11,7,4,0,66,75,30,36,40,10,16,30,10,9,13,4,0
0.33382030624,13,8,5,0,69,76,26,43,43,10,16,26,12,8,16,7,0
0.335882509804,13,8,5,0,69,76,26,43,43,10,16,26,12,8,16,7,0
0.351743797365,15,9,6,0,72,79,21,51,38,13,21,21,14,14,13,9,1
0.359976385634,15,9,6,0,72,79,21,51,38,13,21,21,14,14,13,9,1
0.364274708372,16,10,6,0,76,85,19,57,42,13,21,19,16,15,13,11,2
0.364420067468,18,11,7,0,90,100,31,59,37,18,35,31,17,16,16,8,2
0.366382093188,19,12,7,0,96,104,35,61,43,18,35,35,17,16,14,11,3
0.372076219046,19,12,7,0,96,104,35,61,43,18,35,35,17,16,14,11,3
0.372560606223,20,13,7,0,112,121,38,74,59,21,32,38,19,19,13,18,5
0.373168452012,22,13,9,0,111,122,35,76,56,24,31,35,17,19,15,20,5
0.374312951679,23,13,10,0,113,124,34,79,56,24,33,34,19,19,16,20,5
0.375824269117,23,13,10,0,113,124,34,79,56,24,33,34,19,19,16,20,5
0.383092683974,24,14,10,0,113,124,33,80,56,24,33,33,19,18,18,20,5
0.391186201102,25,14,11,0,113,124,33,80,56,24,33,33,19,19,17,20,5
0.392608106901,26,14,12,0,124,133,38,86,52,28,44,38,19,19,19,23,6
0.397996484825,26,14,12,0,124,133,38,86,52,28,44,38,19,19,19,23,6
0.400370754951,27,14,13,0,145,154,44,101,46,34,65,44,26,22,24,22,7
0.403094205905,29,14,15,0,147,155,46,101,45,35,67,46,23,21,27,20,10
0.407399215345,30,14,16,0,147,155,46,101,45,35,67,46,23,21,27,20,10
0.407676468112,31,15,16,0,147,155,46,101,45,35,67,46,24,20,23,22,12
0.409775172483,31,15,16,0,147,155,46,101,45,35,67,46,24,20,23,22,12
0.410997121341,33,16,17,0,157,161,54,103,55,35,67,54,25,16,27,23,12
0.412133400658,34,16,18,0,157,161,54,103,55,35,67,54,25,17,28,22,11
0.412569723327,34,16,18,0,157,161,54,103,55,35,67,54,25,17,28,22,11
0.415776395886,36,17,19,0,269,272,134,135,167,89,13,134,47,25,27,25,11
0.424691886645,37,17,20,0,269,272,134,135,167,89,13,134,47,25,27,24,12
0.42711621502,38,17,21,0,269,272,134,135,167,89,13,134,47,25,27,24,12
0.429906901073,39,17,22,0,269,272,134,135,167,89,13,134,47,25,26,25,12
0.444029799369,39,17,22,0,269,272,134,135,167,89,13,134,47,25,26,25,12
0.44756988686,40,17,23,0,269,272,134,135,167,89,13,134,47,25,26,25,12
0.447574579821,41,17,24,0,269,272,134,135,167,89,13,134,47,25,26,24,13
0.448539428038,42,17,25,0,269,272,134,135,167,89,13,134,47,25,25,25,13
0.449489890643,43,17,26,0,269,272,134,135,167,89,13,134,47,25,24,26,13
0.450803643631,45,17,28,0,269,272,134,135,167,89,13,134,47,25,24,26,13
0.453523628541,45,17,28,0,269,272,134,135,167,89,13,134,47,25,24,26,13
0.455920504629,46,18,28,0,269,272,134,135,167,89,13,134,46,26,23,27,13
0.460025127708,48,19,29,0,291,292,151,140,189,90,12,151,47,23,26,29,15
0.46160039824,48,19,29,0,291,292,151,140,189,90,12,151,47,23,26,29,15
0.468060519601,49,19,30,0,291,292,151,140,189,90,12,151,47,23,26,29,15
0.470328569312,50,20,30,0,291,292,151,140,189,90,12,151,47,23,25,30,15
0.471307251029,52,20,32,0,292,293,147,145,186,93,13,147,42,22,33,30,18
0.471310563707,53,21,32,0,292,293,147,145,186,93,13,147,42,22,33,29,19
0.474261362542,53,21,32,0,292,293,147,145,186,93,13,147,42,22,33,29,19
0.474532940814,54,21,33,0,293,293,148,145,186,93,14,148,42,22,33,29,19
0.476155263647,55,22,33,0,293,293,148,145,186,93,14,148,42,22,32,30,19
0.478365617545,56,22,34,0,293,293,148,145,186,93,14,148,42,22,32,30,19
0.478617871861,58,22,36,0,293,293,147,146,182,97,14,147,42,19,35,31,19
0.480369665203,59,22,37,0,293,293,147,146,182,97,14,147,42,19,35,31,19
0.481202497056,59,22,37,0,293,293,147,146,182,97,14,147,42,19,35,31,19
0.481369511252,60,22,38,0,293,293,147,146,182,97,14,147,42,18,32,35,19
0.483054192187,62,23,39,0,296,296,149,147,181,98,17,149,34,19,33,42,19
0.483437757387,62,23,39,0,296,296,149,147,181,98,17,149,34,19,33,42,19
0.483574159982,63,24,39,0,296,296,149,147,181,98,17,149,34,19,33,43,18
0.484392084783,64,24,40,0,296,296,149,147,181,98,17,149,34,19,32,43,19
0.484873005918,66,25,41,0,296,296,149,147,181,98,17,149,34,19,32,43,19
0.486292304516,67,26,41,0,296,296,149,147,181,98,17,149,34,19,32,43,19
0.488801965029,67,26,41,0,296,296,149,147,181,98,17,149,34,19,32,43,19
0.488978303801,69,27,42,0,306,306,126,180,191,98,17,126,52,26,27,53,22
0.489343373215,70,27,43,0,306,306,126,180,191,98,17,126,52,26,27,53,22
0.490963456923,71,27,44,0,306,306,126,180,191,98,17,126,52,26,27,53,22
0.491031428173,71,27,44,0,306,306,126,180,191,98,17,126,52,26,27,53,22
0.492655376673,72,27,45,0,306,306,126,180,191,98,17,126,52,26,25,53,24
0.493216568909,73,28,45,0,306,306,126,180,191,98,17,126,52,26,25,52,25
0.49381413926,74,29,45,0,310,310,112,198,195,98,17,112,66,23,27,54,28
0.497257238893,75,30,45,0,310,310,112,198,195,98,17,112,66,23,27,54,28
0.497388825835,75,30,45,0,310,310,112,198,195,98,17,112,66,23,27,54,28
0.499047312073,77,32,45,0,310,310,111,199,195,98,17,111,67,22,27,46,37
0.499823889742,77,32,45,0,310,310,111,199,195,98,17,111,67,22,27,46,37
0.501020103997,77,32,45,0,310,310,111,199,195,98,17,111,67,22,27,46,37
0.503425108416,78,33,45,0,310,310,110,200,195,98,17,110,66,23,28,46,37
0.505714598517,80,33,47,0,310,310,110,200,195,98,17,110,66,23,28,46,37
0.506872993029,81,34,47,0,310,310,110,200,195,98,17,110,66,23,28,46,37
0.50836955678,81,34,47,0,310,310,110,200,195,98,17,110,66,23,28,46,37
0.511340047648,81,34,47,0,310,310,110,200,195,98,17,110,66,23,28,46,37
0.512028900689,82,35,47,0,310,310,110,200,195,98,17,110,66,23,28,46,37
0.514093803472,82,35,47,0,310,310,110,200,195,98,17,110,66,23,28,46,37
0.514215820455,83,35,48,0,310,310,110,200,195,98,17,110,66,23,30,45,36
0.515226187325,84,36,48,0,312,312,110,202,197,98,17,110,66,25,30,44,37
0.515630518111,85,36,49,0,312,312,110,202,197,98,17,110,66,25,30,44,37
0.51563165301,86,37,49,0,312,312,105,207,197,99,16,105,65,31,29,44,38
0.516271644047,88,37,51,0,460,460,199,261,133,163,164,199,100,37,38,44,42
0.516283974571,88,37,51,0,460,460,199,261,133,163,164,199,100,37,38,44,42
0.516615733165,89,37,52,0,460,460,199,261,133,163,164,199,100,37,38,44,42
0.517037946279,90,38,52,0,460,460,199,261,133,163,164,199,99,38,37,45,42
0.5173939365,90,38,52,0,460,460,199,261,133,163,164,199,99,38,37,45,42
0.520473377675,92,39,53,0,460,460,199,261,133,163,164,199,99,37,34,48,43
0.522692289325,92,39,53,0,460,460,199,261,133,163,164,199,99,37,34,48,43
0.525617721634,94,40,54,0,460,460,196,264,138,158,164,196,106,39,31,42,46
0.52606223398,95,41,54,0,460,460,195,265,138,159,163,195,107,39,31,42,46
