t,n_lineages,n_class_I,n_class_II,n_unassigned,n_detected,cum_detected,n_single,n_combinatorial,only_I,both,only_II,det_1,det_2,det_3,det_4_5,det_6_10,det_11plus
0.0,1,0,0,1,21,21,21,0,0,0,0,21,0,0,0,0,0
0.112243132474,2,1,1,0,27,39,25,2,19,2,6,25,2,0,0,0,0
0.324608980201,4,1,3,0,40,47,31,9,18,3,19,31,4,3,2,0,0
0.353979637478,4,1,3,0,40,47,31,9,18,3,19,31,4,3,2,0,0
0.371526758847,5,2,3,0,49,59,28,21,27,5,17,28,16,2,3,0,0
0.382742933756,7,2,5,0,52,61,22,30,26,6,20,22,17,3,8,2,0
0.442078035662,7,2,5,0,52,61,22,30,26,6,20,22,17,3,8,2,0
0.455719200398,8,2,6,0,52,61,22,30,26,6,20,22,17,6,5,2,0
0.465352502074,9,2,7,0,52,61,22,30,26,6,20,22,17,6,5,2,0
0.467911289357,11,2,9,0,55,64,25,30,26,6,23,25,14,8,6,2,0
0.480539950689,13,2,11,0,55,64,25,30,26,6,23,25,14,8,6,0,2
0.48733525493,14,2,12,0,55,64,25,30,26,6,23,25,14,7,6,1,2
0.50164296653,15,2,13,0,63,69,33,30,26,6,31,33,14,4,6,4,2
0.505067014461,16,2,14,0,68,72,31,37,26,6,36,31,19,5,5,6,2
0.512865627498,16,2,14,0,68,72,31,37,26,6,36,31,19,5,5,6,2
0.514023734194,17,2,15,0,68,72,31,37,26,6,36,31,19,5,5,6,2
0.520771993787,18,2,16,0,76,77,34,42,24,8,44,34,22,5,7,6,2
0.527413458209,20,2,18,0,80,83,38,42,24,8,48,38,19,4,10,7,2
0.527471777666,20,2,18,0,80,83,38,42,24,8,48,38,19,4,10,7,2
0.533840645914,21,3,18,0,80,85,30,50,24,10,46,30,16,15,10,7,2
0.537617597433,25,6,19,0,102,106,44,58,25,10,67,44,14,13,18,10,3
0.551604970731,25,6,19,0,102,106,44,58,25,10,67,44,14,13,18,10,3
0.557651078044,26,6,20,0,102,106,45,57,25,10,67,45,13,13,18,10,3
0.560208081102,28,6,22,0,103,107,44,59,25,10,68,44,13,13,17,11,5
0.575929894622,28,6,22,0,103,107,44,59,25,10,68,44,13,13,17,11,5
0.581677290087,29,6,23,0,103,107,44,59,25,10,68,44,13,13,17,11,5
0.58169749567,31,6,25,0,103,107,44,59,25,10,68,44,13,13,17,9,7
0.582443193186,32,6,26,0,106,108,43,63,25,10,71,43,10,18,17,10,8
0.583250607619,33,7,26,0,116,118,49,67,35,11,70,49,13,14,22,10,8
0.587019843465,33,7,26,0,116,118,49,67,35,11,70,49,13,14,22,10,8
0.596529478213,35,7,28,0,116,118,49,67,35,11,70,49,13,14,22,10,8
0.598224553511,35,7,28,0,116,118,49,67,35,11,70,49,13,14,22,10,8
0.598434844583,37,7,30,0,148,150,60,88,35,11,102,60,30,15,24,11,8
0.60608061882,37,7,30,0,148,150,60,88,35,11,102,60,30,15,24,11,8
0.61232490251,38,7,31,0,150,152,58,92,33,13,104,58,31,12,28,12,9
0.614068039103,40,7,33,0,150,152,58,92,33,13,104,58,30,12,28,14,8
0.614795391106,42,7,35,0,148,152,59,89,34,12,102,59,30,15,24,12,8
0.617874688504,43,7,36,0,148,152,59,89,34,12,102,59,29,16,23,13,8
0.623056265292,44,7,37,0,148,152,58,90,34,12,102,58,30,14,25,11,10
0.6241586178,45,7,38,0,148,152,58,90,34,12,102,58,30,13,24,13,10
0.626485895094,46,7,39,0,147,152,57,90,35,11,101,57,30,10,23,14,13
0.626861678217,48,7,41,0,147,152,57,90,35,11,101,57,28,10,22,17,13
0.627451980062,48,7,41,0,147,152,57,90,35,11,101,57,28,10,22,17,13
0.629741776319,50,7,43,0,147,152,57,90,35,11,101,57,28,10,21,18,13
0.630682133337,52,9,43,0,153,157,65,88,41,22,90,65,23,14,17,21,13
0.63563972024,52,9,43,0,153,157,65,88,41,22,90,65,23,14,17,21,13
0.639932163107,54,10,44,0,154,158,58,96,42,22,90,58,29,13,17,23,14
0.64014512342,54,10,44,0,154,158,58,96,42,22,90,58,29,13,17,23,14
0.640416565069,57,13,44,0,154,158,58,96,42,22,90,58,29,12,18,23,14
0.641369476063,59,14,45,0,157,159,62,95,45,23,89,62,25,14,18,24,14
0.643498235578,59,14,45,0,157,159,62,95,45,23,89,62,25,14,18,24,14
0.643679724542,62,14,48,0,168,170,72,96,45,23,100,72,26,13,18,25,14
0.643762188502,62,14,48,0,168,170,72,96,45,23,100,72,26,13,18,25,14
0.647480804583,64,14,50,0,380,382,255,125,40,28,312,255,40,24,19,25,17
0.648503392929,64,14,50,0,380,382,255,125,40,28,312,255,40,24,19,25,17
0.648960565307,67,14,53,0,380,382,253,127,40,28,312,253,42,22,20,26,17
0.649462453516,67,14,53,0,380,382,253,127,40,28,312,253,42,22,20,26,17
0.651456972333,68,14,54,0,373,383,240,133,40,28,305,240,48,22,20,27,16
0.655951862746,70,14,56,0,373,383,239,134,40,28,305,239,50,22,19,28,15
0.657508874056,71,14,57,0,373,383,239,134,40,28,305,239,50,22,19,28,15
0.657633049991,72,14,58,0,373,383,239,134,40,28,305,239,50,22,19,28,15
0.658002531504,72,14,58,0,373,383,239,134,40,28,305,239,50,22,19,28,15
0.658305836039,74,14,60,0,373,383,239,134,40,28,305,239,50,22,21,24,17
0.658945200131,74,14,60,0,373,383,239,134,40,28,305,239,50,22,21,24,17
0.663550245196,76,14,62,0,373,383,235,138,40,28,305,235,52,18,25,25,18
0.664938990844,77,14,63,0,373,383,235,138,40,28,305,235,52,18,25,25,18
0.666401227199,78,14,64,0,373,383,233,140,40,28,305,233,54,18,25,25,18
0.667411387131,79,14,65,0,373,383,233,140,40,28,305,233,54,18,25,25,18
0.667911196354,79,14,65,0,373,383,233,140,40,28,305,233,54,18,25,25,18
0.669472147018,81,15,66,0,374,384,211,163,39,30,305,211,68,20,31,24,20
0.671366502831,81,15,66,0,374,384,211,163,39,30,305,211,68,20,31,24,20
0.672090878155,82,16,66,0,382,391,214,168,47,48,287,214,64,22,27,35,20
0.676056160105,84,16,68,0,382,391,215,167,47,48,287,215,63,22,27,35,20
0.681266338202,84,16,68,0,382,391,215,167,47,48,287,215,63,22,27,35,20
0.684093062246,87,16,71,0,476,483,158,318,33,62,381,158,165,56,27,44,26
0.685231304425,88,17,71,0,476,483,157,319,33,62,381,157,165,56,28,41,29
0.687072661193,89,17,72,0,476,483,157,319,33,62,381,157,165,56,28,41,29
0.690369246927,90,18,72,0,475,483,154,321,32,62,381,154,167,54,29,40,31
0.690410411138,91,18,73,0,475,483,154,321,32,62,381,154,167,54,31,37,32
0.695579089173,93,18,75,0,475,483,153,322,32,62,381,153,168,53,32,37,32
0.696428450077,93,18,75,0,475,483,153,322,32,62,381,153,168,53,32,37,32
0.698583324242,95,18,77,0,475,483,153,322,32,62,381,153,168,51,34,37,32
0.703743965351,98,21,77,0,478,486,154,324,35,68,375,154,170,48,37,35,34
0.704184446236,99,21,78,0,478,486,154,324,35,68,375,154,170,48,36,35,35
0.704491840811,99,21,78,0,478,486,154,324,35,68,375,154,170,48,36,35,35
0.705919498786,101,22,79,0,494,500,119,375,51,211,232,119,169,68,56,44,38
0.706154036091,102,22,80,0,494,500,119,375,51,211,232,119,169,68,56,44,38
0.706417362633,102,22,80,0,494,500,119,375,51,211,232,119,169,68,56,44,38
0.707889160751,103,22,81,0,495,501,120,375,51,211,233,120,165,70,57,44,39
0.708035059998,104,22,82,0,495,501,121,374,51,211,233,121,164,70,55,46,39
0.711714694113,106,22,84,0,495,501,121,374,51,211,233,121,164,70,55,46,39
0.714880278885,107,22,85,0,526,531,104,422,38,224,264,104,88,134,93,61,46
0.716906755809,108,22,86,0,527,532,105,422,38,224,265,105,88,133,94,60,47
0.72073895885,109,22,87,0,527,532,105,422,38,224,265,105,88,133,94,60,47
0.721698249444,109,22,87,0,527,532,105,422,38,224,265,105,88,133,94,60,47
0.725159132849,110,22,88,0,527,532,105,422,38,224,265,105,88,133,94,60,47
0.725382698383,112,22,90,0,527,532,105,422,38,224,265,105,88,133,94,59,48
0.727359982839,113,22,91,0,527,532,105,422,38,224,265,105,88,133,94,59,48
0.729382774409,113,22,91,0,527,532,105,422,38,224,265,105,88,133,94,59,48
0.729852445606,114,22,92,0,527,532,105,422,38,224,265,105,87,134,94,59,48
0.73020213681,115,22,93,0,527,532,105,422,38,224,265,105,87,134,94,59,48
0.731061779289,116,22,94,0,527,532,105,422,38,224,265,105,87,134,92,61,48
0.732008763077,118,23,95,0,533,538,96,437,28,234,271,96,89,125,97,71,55
0.73209981799,119,23,96,0,533,538,96,437,28,234,271,96,89,124,98,71,55
0.732820352295,119,23,96,0,533,538,96,437,28,234,271,96,89,124,98,71,55
0.735370042176,120,23,97,0,533,538,96,437,28,234,271,96,89,124,98,71,55
0.735830336454,122,24,98,0,533,538,96,437,28,234,271,96,89,123,99,71,55
0.736106027159,122,24,98,0,533,538,96,437,28,234,271,96,89,123,99,71,55
0.737179028421,124,24,100,0,549,549,109,440,28,234,287,109,88,126,98,73,55
0.737787315532,124,24,100,0,549,549,109,440,28,234,287,109,88,126,98,73,55
0.738349693737,125,24,101,0,549,549,109,440,28,234,287,109,88,126,98,73,55
0.739079741021,126,24,102,0,549,549,109,440,28,234,287,109,88,126,98,73,55
0.740333022785,127,25,102,0,549,549,109,440,28,234,287,109,88,126,97,74,55
0.740501976678,129,25,104,0,549,549,109,440,28,234,287,109,88,126,97,73,56
0.741317693823,129,25,104,0,549,549,109,440,28,234,287,109,88,126,97,73,56
0.741379215559,131,25,106,0,549,549,109,440,28,234,287,109,88,126,97,73,56
0.742017270511,132,25,107,0,549,549,109,440,28,234,287,109,88,126,97,73,56
0.742055928044,133,25,108,0,549,549,109,440,28,234,287,109,88,126,96,72,58
0.742549145897,133,25,108,0,549,549,109,440,28,234,287,109,88,126,96,72,58
0.744664468384,134,25,109,0,549,549,109,440,28,234,287,109,89,125,96,72,58
0.746240585916,136,25,111,0,549,549,109,440,28,234,287,109,89,124,96,69,62
0.747723892628,137,25,112,0,549,549,109,440,28,234,287,109,89,124,96,69,62
0.748148434756,138,26,112,0,549,550,109,440,28,233,288,109,89,126,94,69,62
0.750454900043,139,26,113,0,549,550,109,440,28,233,288,109,89,126,94,69,62
0.750630964702,139,26,113,0,549,550,109,440,28,233,288,109,89,126,94,69,62
0.752457189101,140,26,114,0,549,550,109,440,28,233,288,109,89,126,94,69,62
0.753003121506,141,27,114,0,549,550,108,441,28,233,288,108,90,125,95,69,62
0.753811808515,142,27,115,0,549,550,105,444,28,233,288,105,85,92,111,89,67
0.75388083404,144,28,116,0,548,550,100,448,27,233,288,100,89,91,109,94,65
0.754467147418,144,28,116,0,548,550,100,448,27,233,288,100,89,91,109,94,65
0.754833365451,145,28,117,0,548,550,100,448,27,233,288,100,89,91,109,94,65
0.754940978614,147,28,119,0,548,550,100,448,27,233,288,100,89,91,109,94,65
0.755607237011,147,28,119,0,548,550,100,448,27,233,288,100,89,91,109,94,65
0.756266185369,149,29,120,0,549,551,101,448,28,233,288,101,89,91,109,94,65
0.758695113687,150,29,121,0,549,551,101,448,28,233,288,101,89,91,114,92,62
0.761362710115,151,29,122,0,549,551,101,448,28,233,288,101,89,91,114,92,62
0.762563781585,152,29,123,0,549,551,101,448,28,233,288,101,88,92,114,91,63
0.762905732628,152,29,123,0,549,551,101,448,28,233,288,101,88,92,114,91,63
0.763326811763,154,29,125,0,549,551,101,448,28,233,288,101,88,92,114,91,63
0.764689095978,154,29,125,0,549,551,101,448,28,233,288,101,88,92,114,91,63
0.766731845325,156,29,127,0,549,551,101,448,28,233,288,101,88,92,114,91,63
0.769125046973,157,29,128,0,549,551,101,448,28,233,288,101,88,91,113,89,67
0.769598889327,157,29,128,0,549,551,101,448,28,233,288,101,88,91,113,89,67
0.771047203442,158,30,128,0,549,551,100,449,28,233,288,100,89,91,113,85,71
0.771271464794,159,30,129,0,549,551,100,449,28,233,288,100,89,91,113,85,71
0.771786249324,160,31,129,0,551,552,101,450,30,234,287,101,89,90,115,85,71
0.772424574553,161,31,130,0,551,552,101,450,30,234,287,101,89,90,115,85,71
0.7732371021,163,31,132,0,553,554,103,450,30,234,289,103,88,91,114,83,74
0.773261605287,164,31,133,0,554,555,104,450,30,234,290,104,88,91,114,83,74
0.774255809785,165,32,133,0,566,568,113,453,42,237,287,113,87,96,111,84,75
0.774294778482,165,32,133,0,566,568,113,453,42,237,287,113,87,96,111,84,75
0.775540059486,167,32,135,0,566,568,113,453,42,237,287,113,87,96,111,84,75
0.776219084474,167,32,135,0,566,568,113,453,42,237,287,113,87,96,111,84,75
0.776845522974,169,32,137,0,566,568,113,453,42,237,287,113,87,96,111,84,75
0.777179817978,169,32,137,0,566,568,113,453,42,237,287,113,87,96,111,84,75
0.777976986846,170,32,138,0,580,582,105,475,31,248,301,105,71,75,140,110,79
0.778481377437,171,32,139,0,580,582,105,475,31,248,301,105,71,75,140,110,79
0.780839949154,172,32,140,0,580,582,105,475,31,248,301,105,71,75,140,110,79
0.782618550238,174,32,142,0,580,582,105,475,31,248,301,105,71,75,140,110,79
0.784583210391,174,32,142,0,580,582,105,475,31,248,301,105,71,75,140,110,79
0.786609777405,175,32,143,0,580,582,105,475,31,248,301,105,71,75,140,110,79
0.786708863525,176,33,143,0,583,584,108,475,34,249,300,108,69,76,139,112,79
0.788219717705,178,33,145,0,583,584,108,475,34,249,300,108,69,76,139,112,79
0.789452327799,179,33,146,0,583,584,108,475,34,249,300,108,69,76,135,112,83
0.791031681146,180,33,147,0,583,584,108,475,34,249,300,108,69,76,135,112,83
0.792962482079,180,33,147,0,583,584,108,475,34,249,300,108,69,76,135,112,83
0.79358373784,182,33,149,0,584,585,114,470,34,249,301,114,66,78,135,110,81
0.795269743564,182,33,149,0,584,585,114,470,34,249,301,114,66,78,135,110,81
0.795458566194,184,33,151,0,584,585,114,470,34,249,301,114,66,78,134,111,81
0.795849264399,185,33,152,0,584,585,114,470,34,249,301,114,66,78,134,111,81
0.796460170236,186,34,152,0,593,593,115,478,43,256,294,115,69,80,134,112,83
0.796499083343,187,34,153,0,593,593,115,478,43,256,294,115,70,79,134,112,83
0.796821245854,187,34,153,0,593,593,115,478,43,256,294,115,70,79,134,112,83
0.800198640565,188,35,153,0,593,593,115,478,43,256,294,115,70,79,134,112,83
0.800747506467,190,35,155,0,593,593,114,479,42,257,294,114,70,79,135,111,84
0.801354251788,190,35,155,0,593,593,114,479,42,257,294,114,70,79,135,111,84
0.801621608527,191,35,156,0,599,599,104,495,42,257,300,104,82,78,131,120,84
0.803600066068,193,35,158,0,599,599,104,495,42,257,300,104,82,78,131,120,84
0.805810446972,194,35,159,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.806102705366,195,35,160,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.807492700036,196,35,161,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.80799249717,196,35,161,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.808492619774,197,35,162,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.809290696484,198,35,163,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.810188659716,199,35,164,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.810371521376,200,35,165,0,599,599,104,495,42,257,300,104,81,79,130,116,89
0.810732865181,202,35,167,0,646,646,102,544,35,264,347,102,76,74,140,156,98
0.811532392183,204,35,169,0,646,646,102,544,35,264,347,102,76,74,140,156,98
0.812995897344,205,35,170,0,646,646,102,544,35,264,347,102,75,75,140,154,100
0.813276730139,206,35,171,0,646,646,102,544,35,264,347,102,75,75,140,154,100
0.814566677179,206,35,171,0,646,646,102,544,35,264,347,102,75,75,140,154,100
0.814850226016,208,35,173,0,646,646,102,544,35,264,347,102,75,75,140,154,100
0.815138393261,209,35,174,0,646,646,102,544,35,264,347,102,75,75,140,154,100
0.817232270577,210,35,175,0,646,646,102,544,35,264,347,102,75,75,140,154,100
