sml,pref,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0000,I,136.238,3.308900000000002,0.0,0,0,0,1,1,0.6,0,0,0,0,0,0,0,0,0,0
SML0001,II,150.22099999999998,2.4879000000000007,17.07,0,1,0,1,1,0.5,1,0,0,0,1,0,0,0,0,0
SML0002,I,156.26899999999998,2.4395000000000007,20.23,1,1,0,1,1,1.0,1,0,0,0,0,1,0,0,0,0
SML0003,I,74.12299999999999,0.7787999999999999,20.23,1,1,0,2,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0004,I,132.203,1.1839,29.46,1,2,0,5,0,1.0,2,0,0,0,0,1,1,0,0,0
SML0005,II,186.33899999999997,3.8996000000000035,20.23,1,1,0,10,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0006,I,60.096,0.3887,20.23,1,1,0,1,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0007,II,128.17099999999996,1.3347,34.14,0,2,0,4,0,0.7142857142857143,2,0,0,0,1,0,0,0,0,0
SML0008,II,108.14399999999999,1.0934399999999997,25.78,0,2,1,0,1,0.3333333333333333,2,0,0,0,0,0,0,0,0,0
SML0009,I,88.14999999999999,1.0248,20.23,1,1,0,2,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0010,II,100.16099999999999,1.7656,17.07,0,1,0,3,0,0.8333333333333334,1,0,0,0,1,0,0,0,0,0
SML0011,I,88.14999999999999,1.1673,20.23,1,1,0,2,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0012,II,136.238,2.9987000000000013,0.0,0,0,0,0,3,0.8,0,0,0,0,0,0,0,0,0,0
SML0013,II,122.17099999999998,1.34742,25.78,0,2,1,1,1,0.42857142857142855,2,0,0,0,0,0,0,0,0,0
SML0014,II,136.238,2.9987000000000013,0.0,0,0,0,0,3,0.8,0,0,0,0,0,0,0,0,0,0
SML0015,I,60.05200000000001,0.09089999999999993,37.3,1,1,0,0,0,0.5,2,1,0,0,0,0,0,0,0,0
SML0016,I,88.10599999999998,0.8711,37.3,1,1,0,2,0,0.75,2,1,0,0,0,0,0,0,0,0
SML0017,II,146.14499999999995,1.7929999999999997,30.21,0,2,2,0,2,0.0,2,0,0,0,0,0,0,1,0,0
SML0018,I,200.32199999999997,3.991900000000002,37.3,1,1,0,10,0,0.9166666666666666,2,1,0,0,0,0,0,0,0,0
SML0019,I,200.32199999999997,3.6902000000000026,26.3,0,2,0,9,0,0.9166666666666666,2,0,1,0,0,0,1,0,0,0
SML0020,I,228.37599999999995,4.470400000000004,26.3,0,2,0,11,0,0.9285714285714286,2,0,1,0,0,0,1,0,0,0
SML0021,I,284.484,6.030800000000006,26.3,0,2,0,15,0,0.9444444444444444,2,0,1,0,0,0,1,0,0,0
SML0022,I,312.538,6.811000000000008,26.3,0,2,0,17,0,0.95,2,0,1,0,0,0,1,0,0,0
SML0023,I,172.26799999999997,2.910000000000001,26.3,0,2,0,7,0,0.9,2,0,1,0,0,0,1,0,0,0
SML0024,I,256.4299999999999,5.250600000000005,26.3,0,2,0,13,0,0.9375,2,0,1,0,0,0,1,0,0,0
SML0025,I,164.20399999999998,2.1293,29.46,1,2,1,3,1,0.2,2,0,0,0,0,1,1,1,0,0
SML0026,I,222.37199999999999,4.3979000000000035,20.23,1,1,0,7,0,0.6,1,0,0,0,0,1,0,0,0,0
SML0027,I,154.253,2.671400000000001,20.23,1,1,0,4,0,0.6,1,0,0,0,0,1,0,0,0,0
SML0028,II,108.14399999999999,1.0934399999999997,25.78,0,2,1,0,1,0.3333333333333333,2,0,0,0,0,0,0,0,0,0
SML0029,I,102.13299999999998,1.1171,37.3,1,1,0,2,0,0.8,2,1,0,0,0,0,0,0,0,0
SML0030,I,90.07799999999999,-0.5482,57.53,2,2,0,1,0,0.6666666666666666,3,1,0,0,0,1,0,0,0,0
SML0031,II,204.31299999999996,3.361600000000002,17.07,0,1,1,3,1,0.5,1,0,0,1,0,0,0,1,0,0
SML0032,I,154.25300000000001,2.6698000000000013,20.23,1,1,0,4,0,0.6,1,0,0,0,0,1,0,0,0,0
SML0033,I,210.31699999999998,2.853000000000002,37.3,1,2,0,5,1,0.7692307692307693,2,0,0,1,0,1,0,0,0,0
SML0034,II,232.283,1.8551,54.120000000000005,2,2,2,4,2,0.3076923076923077,4,0,0,0,0,0,1,1,0,0
SML0035,I,214.34899999999996,4.080300000000003,26.3,0,2,0,10,0,0.9230769230769231,2,0,1,0,0,0,1,0,0,0
SML0036,I,270.45699999999994,5.640700000000005,26.3,0,2,0,14,0,0.9411764705882353,2,0,1,0,0,0,1,0,0,0
SML0037,I,298.51099999999997,6.420900000000007,26.3,0,2,0,16,0,0.9473684210526315,2,0,1,0,0,0,1,0,0,0
SML0038,I,158.24099999999999,2.5199000000000007,26.3,0,2,0,6,0,0.8888888888888888,2,0,1,0,0,0,1,0,0,0
SML0039,I,242.40299999999993,4.8605000000000045,26.3,0,2,0,12,0,0.9333333333333333,2,0,1,0,0,0,1,0,0,0
SML0040,II,106.16799999999998,2.30344,0.0,0,0,1,0,1,0.25,0,0,0,0,0,0,0,1,0,0
SML0041,I,142.242,2.935900000000001,17.07,0,1,0,7,0,0.8888888888888888,1,0,0,1,0,0,0,0,0,0
SML0042,II,238.41499999999994,5.276500000000005,17.07,0,1,0,0,1,0.9375,1,0,0,0,1,0,0,0,0,0
SML0043,I,284.4839999999999,6.332500000000007,37.3,1,1,0,16,0,0.9444444444444444,2,1,0,0,0,0,0,0,0,0
SML0044,I,128.215,2.5458000000000007,17.07,0,1,0,6,0,0.875,1,0,0,1,0,0,0,0,0,0
SML0045,I,256.4299999999999,5.552300000000005,37.3,1,1,0,14,0,0.9375,2,1,0,0,0,0,0,0,0,0
SML0046,I,136.14999999999998,1.5076999999999998,26.3,0,2,1,2,1,0.125,2,0,0,1,0,0,1,1,0,0
SML0047,II,134.22199999999998,3.118420000000002,0.0,0,0,1,1,1,0.4,0,0,0,0,0,0,0,1,0,0
SML0048,I,242.40299999999993,5.162200000000004,37.3,1,1,0,13,0,0.9333333333333333,2,1,0,0,0,0,0,0,0,0
SML0049,I,74.079,0.481,37.3,1,1,0,1,0,0.6666666666666666,2,1,0,0,0,0,0,0,0,0
SML0051,I,228.37599999999995,4.772100000000004,37.3,1,1,0,12,0,0.9285714285714286,2,1,0,0,0,0,0,0,0,0
SML0052,I,170.296,3.7161000000000026,17.07,0,1,0,9,0,0.9090909090909091,1,0,0,1,0,0,0,0,0,0
SML0053,I,152.14899999999997,1.2133,46.53,1,3,1,2,1,0.125,3,0,0,1,0,1,1,1,0,0
SML0054,II,120.19499999999996,2.611860000000001,0.0,0,0,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,1,0,0
SML0055,II,130.23100000000002,2.3392000000000013,20.23,1,1,0,6,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0056,II,134.182,1.5263,25.78,0,2,1,0,2,0.5,2,0,0,0,0,0,0,0,0,0
SML0057,I,130.187,2.0414,37.3,1,1,0,5,0,0.8571428571428571,2,1,0,0,0,0,0,0,0,0
SML0058,I,116.15999999999998,1.6513,37.3,1,1,0,4,0,0.8333333333333334,2,1,0,0,0,0,0,0,0,0
SML0059,I,106.12799999999997,1.1196,25.78,0,2,1,1,1,0.0,2,0,0,0,0,0,0,0,0,0
SML0060,I,186.295,3.3001000000000023,26.3,0,2,0,8,0,0.9090909090909091,2,0,1,0,0,0,1,0,0,0
SML0061,I,144.214,2.4314999999999998,37.3,1,1,0,6,0,0.875,2,1,0,0,0,0,0,0,0,0
SML0062,II,108.14399999999999,1.09344,25.78,0,2,1,0,1,0.3333333333333333,2,0,0,0,0,0,0,0,0,0
SML0063,I,110.11599999999999,0.48519999999999985,35.010000000000005,0,3,1,1,1,0.2,3,0,0,0,0,0,1,0,0,0
SML0064,II,122.12699999999998,0.6791999999999999,42.85,0,3,1,1,1,0.16666666666666666,3,0,0,0,1,0,0,0,0,0
SML0065,I,94.11699999999999,0.7850199999999999,25.78,0,2,1,0,1,0.2,2,0,0,0,0,0,0,0,0,0
SML0066,II,166.224,1.9987,35.010000000000005,0,3,1,3,1,0.5555555555555556,3,0,0,0,0,0,1,0,0,0
SML0067,II,136.19799999999998,1.65584,25.78,0,2,1,1,1,0.5,2,0,0,0,0,0,0,0,0,0
SML0068,II,150.225,1.90982,25.78,0,2,1,2,1,0.5555555555555556,2,0,0,0,0,0,0,0,0,0
SML0069,II,178.23099999999997,2.4323000000000006,18.46,0,2,1,4,1,0.2727272727272727,2,0,0,0,0,0,1,1,0,0
SML0070,II,136.19799999999998,1.6014,25.78,0,2,1,2,1,0.5,2,0,0,0,0,0,0,0,0,0
SML0071,II,138.17,1.0475999999999999,35.010000000000005,0,3,1,2,1,0.42857142857142855,3,0,0,0,0,0,1,0,0,0
SML0072,II,134.22199999999998,2.9841000000000015,0.0,0,0,1,0,1,0.4,0,0,0,0,0,0,0,1,0,0
SML0073,I,148.20499999999998,2.3791,17.07,0,1,1,3,1,0.3,1,0,0,1,0,0,0,1,0,0
SML0074,I,154.253,2.671400000000001,20.23,1,1,0,4,0,0.6,1,0,0,0,0,1,0,0,0,0
SML0075,II,240.38699999999992,4.614500000000005,26.3,0,2,0,0,1,0.9333333333333333,2,0,1,0,0,0,1,0,0,0
SML0076,II,238.37099999999995,4.390500000000004,26.3,0,2,0,0,1,0.8,2,0,1,0,0,0,1,0,0,0
SML0077,II,130.18699999999998,1.7397,26.3,0,2,0,4,0,0.8571428571428571,2,0,1,0,0,0,1,0,0,0
SML0078,II,98.145,1.5196,17.07,0,1,0,0,1,0.8333333333333334,1,0,0,0,1,0,0,0,0,0
SML0079,II,114.18799999999999,2.1557000000000004,17.07,0,1,0,4,0,0.8571428571428571,1,0,0,0,1,0,0,0,0,0
SML0080,II,120.15099999999995,1.8892,17.07,0,1,1,1,1,0.125,1,0,0,0,1,0,0,1,0,0
SML0081,II,129.22799999999998,1.9286,12.36,0,2,0,0,1,0.8333333333333334,2,0,0,0,0,0,0,0,0,1
SML0082,II,297.267,3.325540000000003,129.42000000000002,0,6,1,3,1,0.5,9,0,0,0,0,0,0,1,1,0
SML0083,II,156.26899999999998,2.4395000000000007,20.23,1,1,0,1,1,1.0,1,0,0,0,0,1,0,0,0,0
SML0084,I,72.107,0.9854,17.07,0,1,0,1,0,0.75,1,0,0,0,1,0,0,0,0,0
SML0085,II,154.253,3.102000000000002,17.07,0,1,0,7,0,0.7,1,0,0,1,0,0,0,0,0,0
SML0086,II,182.307,2.9737000000000022,20.23,1,1,0,1,2,1.0,1,0,0,0,0,1,0,0,0,0
SML0087,I,138.16599999999997,1.7092199999999997,29.46,1,2,1,1,1,0.25,2,0,0,0,0,1,1,1,0,0
SML0088,I,116.15999999999998,1.5072,37.3,1,1,0,3,0,0.8333333333333334,2,1,0,0,0,0,0,0,0,0
SML0089,I,272.43199999999996,4.764300000000004,17.07,0,1,0,0,4,0.8421052631578947,1,0,0,0,1,0,0,0,0,0
SML0090,I,190.28599999999994,3.1156000000000015,17.07,0,1,1,3,1,0.46153846153846156,1,0,0,1,0,0,0,1,0,0
SML0091,II,116.15999999999998,1.3496000000000001,26.3,0,2,0,3,0,0.8333333333333334,2,0,1,0,0,0,1,0,0,0
SML0092,I,154.25300000000001,2.7441000000000013,9.23,0,1,0,0,3,1.0,1,0,0,0,0,0,1,0,0,0
SML0093,I,100.161,1.335,20.23,1,1,0,3,0,0.6666666666666666,1,0,0,0,0,1,0,0,0,0
SML0094,I,152.237,2.878000000000001,17.07,0,1,0,4,0,0.5,1,0,0,1,0,0,0,0,0,0
SML0095,I,156.269,3.3260000000000023,17.07,0,1,0,8,0,0.9,1,0,0,1,0,0,0,0,0,0
SML0096,I,86.08999999999999,0.1644,34.14,0,2,0,1,0,0.5,2,0,0,0,1,0,0,0,0,0
SML0097,I,114.21299999999998,2.0916,0.0,0,1,0,4,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,1
SML0098,II,170.21099999999998,3.478900000000001,9.23,0,1,2,2,2,0.0,1,0,0,0,0,0,1,1,0,0
