sml,SMILES,cluster,MolWt,LogP,TPSA,HBD,HBA,OxygenAtoms,RotBonds,FracCSP3,AromaticRings,RingCount,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur,cluster_name
SML0000,CC1=CC[C@H](CC1)C(=C)C,1,136.238,3.308900000000002,0.0,0,0,0,1,0.6,0,1,0,0,0,0,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0001,CC1=CC[C@@H](CC1=O)C(=C)C,1,150.22099999999998,2.4879000000000007,17.07,0,1,1,1,0.5,0,1,0,0,0,1,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0002,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,5,156.26899999999998,2.4395000000000007,20.23,1,1,1,1,1.0,0,1,0,0,0,0,1,0,0,0,0,Fermented / Solvent
SML0003,CCCCO,5,74.12299999999999,0.7787999999999999,20.23,1,1,1,2,1.0,0,0,0,0,0,0,1,0,0,0,0,Fermented / Solvent
SML0004,CCCCOCC(C)O,1,132.203,1.1839,29.46,1,2,2,5,1.0,0,0,0,0,0,0,1,1,0,0,0,Fruity / Fatty / Aldehydic
SML0005,CCCCCCCCCCCCO,1,186.33899999999997,3.8996000000000035,20.23,1,1,1,10,1.0,0,0,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0007,CCCCC(=O)C(=O)C,1,128.17099999999996,1.3347,34.14,0,2,2,4,0.7142857142857143,0,0,0,0,0,1,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0008,CC1=CN=C(C=N1)C,5,108.14399999999999,1.0934399999999997,25.78,0,2,0,0,0.3333333333333333,1,1,0,0,0,0,0,0,1,0,0,Fermented / Solvent
SML0009,CCC(C)CO,5,88.14999999999999,1.0248,20.23,1,1,1,2,1.0,0,0,0,0,0,0,1,0,0,0,0,Fermented / Solvent
SML0010,CCCC(=O)CC,1,100.16099999999999,1.7656,17.07,0,1,1,3,0.8333333333333334,0,0,0,0,0,1,0,0,0,0,0,Fruity / Fatty / Aldehydic
SML0011,CCC(CC)O,5,88.14999999999999,1.1673,20.23,1,1,1,2,1.0,0,0,0,0,0,0,1,0,0,0,0,Fermented / Solvent
SML0012,CC1=CCC2CC1C2(C)C,0,136.238,2.9987000000000013,0.0,0,0,0,0,0.8,0,3,0,0,0,0,0,0,0,0,0,Floral / Balsamic
SML0013,CCC1=NC=CN=C1C,4,122.17099999999998,1.34742,25.78,0,2,0,1,0.42857142857142855,1,1,0,0,0,0,0,0,1,0,0,Roasted / Phenolic / Spice
SML0014,CC1(C2CCC(=C)C1C2)C,0,136.238,2.9987000000000013,0.0,0,0,0,0,0.8,0,3,0,0,0,0,0,0,0,0,0,Floral / Balsamic
SML0015,CC(=O)O,2,60.05200000000001,0.09089999999999993,37.3,1,1,2,0,0.5,0,0,1,0,0,0,0,0,0,0,0,Acid / Dairy / Cheese
