sml,group,rate_I,rate_II,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0000,Class II only,0.0,0.0215633423180593,136.238,3.308900000000002,0.0,0,0,0,1,1,0.6,0,0,0,0,0,0,0,0,0,0
SML0002,Class I only,0.016129032258064516,0.005390835579514825,156.26899999999998,2.4395000000000007,20.23,1,1,0,1,1,1.0,1,0,0,0,0,1,0,0,0,0
SML0003,Class I only,0.016129032258064516,0.005390835579514825,74.12299999999999,0.7787999999999999,20.23,1,1,0,2,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0005,shared,0.03225806451612903,0.03234501347708895,186.33899999999997,3.8996000000000035,20.23,1,1,0,10,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0013,shared,0.016129032258064516,0.018867924528301886,122.17099999999998,1.34742,25.78,0,2,1,1,1,0.42857142857142855,2,0,0,0,0,0,0,0,0,0
SML0015,Class I only,0.016129032258064516,0.0,60.05200000000001,0.09089999999999993,37.3,1,1,0,0,0,0.5,2,1,0,0,0,0,0,0,0,0
SML0016,Class I only,0.0967741935483871,0.008086253369272238,88.10599999999998,0.8711,37.3,1,1,0,2,0,0.75,2,1,0,0,0,0,0,0,0,0
SML0017,Class II only,0.0,0.1752021563342318,146.14499999999995,1.7929999999999997,30.21,0,2,2,0,2,0.0,2,0,0,0,0,0,0,1,0,0
SML0018,shared,0.16129032258064516,0.016172506738544475,200.32199999999997,3.991900000000002,37.3,1,1,0,10,0,0.9166666666666666,2,1,0,0,0,0,0,0,0,0
SML0019,shared,0.03225806451612903,0.016172506738544475,200.32199999999997,3.6902000000000026,26.3,0,2,0,9,0,0.9166666666666666,2,0,1,0,0,0,1,0,0,0
SML0020,shared,0.03225806451612903,0.018867924528301886,228.37599999999995,4.470400000000004,26.3,0,2,0,11,0,0.9285714285714286,2,0,1,0,0,0,1,0,0,0
SML0021,Class II only,0.0,0.018867924528301886,284.484,6.030800000000006,26.3,0,2,0,15,0,0.9444444444444444,2,0,1,0,0,0,1,0,0,0
SML0022,Class II only,0.0,0.016172506738544475,312.538,6.811000000000008,26.3,0,2,0,17,0,0.95,2,0,1,0,0,0,1,0,0,0
SML0023,shared,0.016129032258064516,0.018867924528301886,172.26799999999997,2.910000000000001,26.3,0,2,0,7,0,0.9,2,0,1,0,0,0,1,0,0,0
SML0024,Class II only,0.0,0.018867924528301886,256.4299999999999,5.250600000000005,26.3,0,2,0,13,0,0.9375,2,0,1,0,0,0,1,0,0,0
SML0026,shared,0.3064516129032258,0.03773584905660377,222.37199999999999,4.3979000000000035,20.23,1,1,0,7,0,0.6,1,0,0,0,0,1,0,0,0,0
