property,fold_change_I_over_II,ci_lo,ci_hi,class_I,class_II,summary,perm_p,perm_q,cliffs_delta
WaterAff,12.864709980291062,5.328439020412006,30.315082188032598,0.016428578981372722,0.0012770267659777455,antilog,0.0001999600079984003,0.0008398320335932814,0.51496138996139
TPSA,1.843796342066238,1.6875926841324764,2.185120093731693,37.3,20.23,median,0.0001999600079984003,0.0008398320335932814,0.6583011583011583
HBD,4.695772695772695,3.2050874403815586,7.264864864864866,1.09009009009009,0.23214285714285715,mean,0.0001999600079984003,0.0008398320335932814,0.4888996138996139
HBA,1.3283156574295814,1.117915635599607,1.5877290237744464,1.8738738738738738,1.4107142857142858,mean,0.0007998400319936012,0.0027994401119776045,0.2775900900900901
OxygenAtoms,1.736936936936937,1.4378085917081862,2.1141333299271055,2.171171171171171,1.25,mean,0.0001999600079984003,0.0008398320335932814,0.5127091377091377
MolWt,0.9364563919512272,0.8239703348937889,1.0383785080355001,148.227,158.285,median,0.08298340331933614,0.13405011305431222,-0.18203024453024452
Tb,0.9684619937431304,0.9237333820640505,1.0309447380488628,515.4300000000001,532.2149999999999,median,0.23615276944611077,0.29517625886587384,-0.08116151866151866
VP,1.8146280475456869,0.5594398239413426,4.271362650416899,0.00044670663880092844,0.0002461698084106582,antilog,0.23895220955808838,0.29517625886587384,0.08116151866151866
RotBonds,1.2709346514656248,1.0045047406965222,1.621264314153202,3.8468468468468466,3.0267857142857144,mean,0.04979004199160168,0.08713257348530294,0.18186936936936937
AromaticRings,0.42042042042042044,0.2201474201474202,0.7007007007007007,0.18018018018018017,0.42857142857142855,mean,0.002599480103979204,0.007798440311937612,-0.1714929214929215
RingCount,0.5994112924805994,0.3928760542625865,0.8591654341216177,0.5405405405405406,0.9017857142857143,mean,0.004199160167966407,0.011022795440911818,-0.31692406692406694
FracCSP3,1.0821616324435335,0.970680143094344,1.2160491092584886,0.6886793985478193,0.6363923631193368,mean,0.15856828634273146,0.23459308138372326,0.09628378378378379
carboxylic acid,inf,,,0.46846846846846846,0.0,mean,0.0001999600079984003,0.0008398320335932814,0.46846846846846846
alcohol,0.9651390520955739,0.5605605605605606,1.6619713186370355,0.1981981981981982,0.20535714285714285,mean,1.0,1.0,-0.007158944658944659
ester,1.2252252252252251,0.6054054054054054,2.522522522522523,0.15315315315315314,0.125,mean,0.5766846630673865,0.6373883118113219,0.028153153153153154
aldehyde,0.5045045045045045,0.16816816816816815,1.136476665736666,0.06306306306306306,0.125,mean,0.16756648670265947,0.23459308138372326,-0.061936936936936936
ketone,0.48710779745262495,0.2520965811277826,0.8310130128226668,0.12612612612612611,0.25892857142857145,mean,0.020195960807838434,0.038555925178600646,-0.1328024453024453
ether,0.8744744744744745,0.5549142108300277,1.3972577315793757,0.23423423423423423,0.26785714285714285,mean,0.6484703059388123,0.6808938212357529,-0.03362290862290862
aromatic ring,0.5045045045045045,0.2774774774774775,0.8012718600953896,0.16216216216216217,0.32142857142857145,mean,0.006998600279944011,0.01633006731986936,-0.15926640926640925
amine,2.0180180180180183,0.5045045045045046,8.072072072072073,0.05405405405405406,0.026785714285714284,mean,0.32693461307738453,0.3814237152569486,0.02726833976833977
sulfur,9.081081081081082,1.6816816816816818,14.126126126126126,0.08108108108108109,0.008928571428571428,mean,0.009998000399920015,0.020995800839832032,0.07215250965250965
