cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,138,ethereal,21,33,7.962,2.638,7.217505004470817e-07,6.543871204053541e-05
0,138,alcoholic,12,14,3.378,3.553,1.5252475442731905e-06,0.00010407549471118977
0,138,garlic,12,19,4.584,2.618,0.00026375543046223884,0.009357583967703777
0,138,fermented,13,22,5.308,2.449,0.0003672974708294887,0.011988589447874511
0,138,fruity,63,198,47.769,1.319,0.0013834366932541809,0.03420861641501247
0,138,green,56,173,41.738,1.342,0.001957349286689244,0.04203150047206377
0,138,fresh,37,104,25.091,1.475,0.002472491112414895,0.051732121736680875
0,138,winey,13,26,6.273,2.072,0.0030264627982837574,0.06173984108498866
0,138,onion,14,30,7.238,1.934,0.004699470451873651,0.08715381565292953
0,138,cognac,7,11,2.654,2.638,0.00565736444394175,0.10258687525014375
0,138,pungent,17,40,9.65,1.762,0.006111935890944103,0.1084204279784867
0,138,ripe,8,14,3.378,2.369,0.007494738503324355,0.12741055455651404
0,138,violet,6,9,2.171,2.763,0.00782404724739692,0.12906622724233102
0,138,metallic,12,26,6.273,1.913,0.009956604129628342,0.15329413150522128
0,138,lavender,5,7,1.689,2.961,0.010521796298906892,0.1561051959983277
0,138,melon,9,19,4.584,1.963,0.021077372698138534,0.28195305117509906
0,138,solvent,5,8,1.93,2.591,0.02263589235823514,0.29318870102095035
0,138,vegetable,17,45,10.857,1.566,0.023624944386954925,0.30121804093367527
0,138,pineapple,12,29,6.997,1.715,0.026756403308520776,0.3358957707654301
0,138,apple,16,43,10.374,1.542,0.03249680107560323,0.3403588471122718
0,138,clean,9,20,4.825,1.865,0.03055156162708305,0.3403588471122718
0,138,mushroom,8,17,4.101,1.951,0.03086042827572273,0.3403588471122718
0,138,cooked,4,6,1.448,2.763,0.032412406981808146,0.3403588471122718
0,138,oily,22,66,15.923,1.382,0.04704444883765292,0.457003217280057
0,138,fatty,33,108,26.056,1.267,0.05581381734842985,0.5234951144404455
0,138,herbal,28,90,21.713,1.29,0.06249944313240868,0.5730286022027583
0,138,alliaceous,7,16,3.86,1.813,0.06462778456714402,0.5795194747998849
0,138,lily,5,10,2.413,2.072,0.06660444678361416,0.5907524845155343
0,138,citrus,24,76,18.336,1.309,0.07099465940229777,0.6063253267103532
0,138,bergamot,3,5,1.206,2.487,0.09359801511278153,0.7071850030743493
0,138,tomato,3,5,1.206,2.487,0.09359801511278153,0.7071850030743493
0,138,weedy,3,5,1.206,2.487,0.09359801511278153,0.7071850030743493
0,138,brandy,4,8,1.93,2.072,0.10056388342645119,0.7288368337560965
0,138,banana,10,28,6.755,1.48,0.10946223288405248,0.7311475760821003
0,138,rummy,5,12,2.895,1.727,0.13781148262685325,0.8336383434714236
0,138,ketonic,5,12,2.895,1.727,0.13781148262685325,0.8336383434714236
0,138,peach,6,16,3.86,1.554,0.16419032296578925,0.9435162221132678
0,138,apricot,5,13,3.136,1.594,0.1822160994690974,0.9821196564706154
0,138,estery,5,13,3.136,1.594,0.1822160994690974,0.9821196564706154
0,138,leafy,5,13,3.136,1.594,0.1822160994690974,0.9821196564706154
0,138,orange,6,28,6.755,0.888,0.7061933164778871,1.0
0,138,peppery,2,7,1.689,1.184,0.5340277226335077,1.0
0,138,terpenic,2,15,3.619,0.553,0.9111825215164759,1.0
0,138,pine,4,16,3.86,1.036,0.5650346423316863,1.0
0,138,minty,3,31,7.479,0.401,0.9904317860721655,1.0
0,138,bready,3,11,2.654,1.13,0.518576776411757,1.0
0,138,spicy,7,56,13.51,0.518,0.9927521837221538,1.0
0,138,mentholic,2,9,2.171,0.921,0.680230200776756,1.0
0,138,sweet,62,250,60.315,1.028,0.40691845744540783,1.0
0,138,balsamic,5,38,9.168,0.545,0.9731712209725919,1.0
0,138,floral,28,154,37.154,0.754,0.9847786115825085,1.0
0,138,waxy,27,96,23.161,1.166,0.19029204520157705,1.0
0,138,honey,1,15,3.619,0.276,0.9850187385690441,1.0
0,138,coconut,4,24,5.79,0.691,0.8707513979175868,1.0
0,138,earthy,12,39,9.409,1.275,0.20590726737434256,1.0
0,138,soapy,4,16,3.86,1.036,0.5650346423316863,1.0
0,138,musty,12,50,12.063,0.995,0.5676238812050708,1.0
0,138,pear,7,21,5.066,1.382,0.22262507253835787,1.0
0,138,buttery,8,25,6.031,1.326,0.23553073132794483,1.0
0,138,cheesy,11,42,10.133,1.086,0.4346122317382201,1.0
0,138,chocolate,2,19,4.584,0.436,0.9650916133691899,1.0
0,138,roasted,2,33,7.962,0.251,0.9989985334308696,1.0
0,138,medicinal,2,22,5.308,0.377,0.9831592603157292,1.0
0,138,cocoa,6,23,5.549,1.081,0.493507674004124,1.0
0,138,nutty,11,50,12.063,0.912,0.6992480743730913,1.0
0,138,grassy,4,11,2.654,1.507,0.2615258380082301,1.0
0,138,powdery,2,49,11.822,0.169,0.9999877488617859,1.0
0,138,woody,13,81,19.542,0.665,0.9791950584595761,1.0
0,138,leathery,2,7,1.689,1.184,0.5340277226335077,1.0
0,138,grape,3,12,2.895,1.036,0.583641363316037,1.0
0,138,camphoreous,6,24,5.79,1.036,0.5406045496992424,1.0
0,138,cooling,2,11,2.654,0.754,0.7869681973919106,1.0
0,138,burnt,4,22,5.308,0.754,0.8191179985996948,1.0
0,138,hazelnut,0,10,2.413,0.0,1.0,1.0
0,138,potato,1,15,3.619,0.276,0.9850187385690441,1.0
0,138,dry,5,20,4.825,1.036,0.5513784057830273,1.0
0,138,hay,1,10,2.413,0.414,0.9383502198425612,1.0
0,138,sour,0,18,4.343,0.0,1.0,1.0
0,138,acidic,0,9,2.171,0.0,1.0,1.0
0,138,sharp,3,19,4.584,0.654,0.8760072015647573,1.0
0,138,dairy,3,26,6.273,0.478,0.9706361196613966,1.0
0,138,creamy,8,43,10.374,0.771,0.8577850369947094,1.0
0,138,milky,3,13,3.136,0.957,0.642896612103863,1.0
0,138,odorless,2,14,3.378,0.592,0.8887568897972636,1.0
0,138,orris,3,11,2.654,1.13,0.518576776411757,1.0
0,138,smoky,0,16,3.86,0.0,1.0,1.0
0,138,cinnamon,0,9,2.171,0.0,1.0,1.0
0,138,savory,6,19,4.584,1.309,0.29748196492442514,1.0
0,138,phenolic,2,40,9.65,0.207,0.9998486091523247,1.0
0,138,clove,0,9,2.171,0.0,1.0,1.0
0,138,muguet,1,5,1.206,0.829,0.7499427195523114,1.0
0,138,rose,12,50,12.063,0.995,0.5676238812050708,1.0
0,138,coffee,3,24,5.79,0.518,0.9549068010185926,1.0
0,138,beefy,2,6,1.448,1.382,0.4456402089545953,1.0
0,138,brown,0,7,1.689,0.0,1.0,1.0
0,138,tropical,12,43,10.374,1.157,0.3302343380621198,1.0
