cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,96,potato,12,14,2.439,4.92,2.8749986953731224e-08,7.877496425322356e-06
0,96,nutty,23,48,8.363,2.75,2.621483721561252e-07,2.7823544849249788e-05
0,96,roasted,18,32,5.575,3.229,3.0287841508379394e-07,2.7823544849249788e-05
0,96,phenolic,18,37,6.446,2.792,5.296015016380374e-06,0.00036277702862205557
0,96,coffee,13,23,4.007,3.244,1.627751194625863e-05,0.0008920076546549729
0,96,popcorn,5,5,0.871,5.74,0.00014707503154692513,0.005756936949122497
0,96,burnt,11,21,3.659,3.006,0.00020269846802047615,0.006527059096502035
0,96,bready,7,10,1.742,4.018,0.00030574662009650027,0.0086663352317008
0,96,spicy,19,55,9.583,1.983,0.0009268426903924712,0.023808271609456602
0,96,clove,6,9,1.568,3.826,0.001303851902638077,0.030621893256242837
0,96,warm,7,12,2.091,3.348,0.0014835785008036808,0.032959500747584476
0,96,cocoa,10,22,3.833,2.609,0.001709685691533269,0.036983201011588085
0,96,musty,16,47,8.189,1.954,0.0030103258532063887,0.053793214159470686
0,96,hazelnut,6,10,1.742,3.444,0.002801009826450443,0.053793214159470686
0,96,caramellic,9,20,3.485,2.583,0.003246834655315968,0.05678506567382395
0,96,gasoline,4,5,0.871,4.592,0.0037839847790388237,0.06480073934103986
0,96,vanilla,8,17,2.962,2.701,0.003985987453648806,0.0668669732020269
0,96,earthy,13,36,6.272,2.073,0.004304542460654945,0.0680448827434301
0,96,smoky,7,14,2.439,2.87,0.004731065547312086,0.07070792508891881
0,96,powdery,16,49,8.537,1.874,0.004901581041577967,0.07113208512137907
0,96,chocolate,8,18,3.136,2.551,0.006148527418816277,0.08423482563778299
0,96,peppery,4,6,1.045,3.826,0.009832179011131578,0.11979550254011624
0,96,jammy,4,6,1.045,3.826,0.009832179011131578,0.11979550254011624
0,96,brown,4,7,1.22,3.28,0.01988660832172981,0.1969493016923121
0,96,terpenic,5,12,2.091,2.391,0.04136790569490675,0.33013998525449845
0,96,hawthorn,3,5,0.871,3.444,0.03929273801261563,0.33013998525449845
0,96,anisic,5,12,2.091,2.391,0.04136790569490675,0.33013998525449845
0,96,meaty,11,37,6.446,1.706,0.040329916088411515,0.33013998525449845
0,96,horseradish,3,5,0.871,3.444,0.03929273801261563,0.33013998525449845
0,96,sharp,6,16,2.788,2.152,0.043378137015228836,0.33638517572186893
0,96,minty,8,26,4.53,1.766,0.06441612658686832,0.45621759736420076
0,96,chemical,3,6,1.045,2.87,0.0687532970140997,0.46658380092962887
0,96,anise,3,6,1.045,2.87,0.0687532970140997,0.46658380092962887
0,96,cooling,4,10,1.742,2.296,0.07812994208626622,0.4954778038896831
0,96,almond,4,10,1.742,2.296,0.07812994208626622,0.4954778038896831
