cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,111,floral,48,154,30.689,1.564,5.3848283647551997e-05,0.0021970099728201215
0,111,balsamic,17,38,7.573,2.245,0.0002753526379776923,0.008641836638069113
0,111,plum,7,11,2.192,3.193,0.0017142245680716903,0.03886489230970843
0,111,hyacinth,5,7,1.395,3.584,0.004330830097360772,0.07057280482499673
0,111,jasmine,7,13,2.591,2.702,0.006228354311045335,0.09411735403357395
0,111,sweet,60,248,49.422,1.214,0.01592465752247606,0.17986711068602992
0,111,honey,7,15,2.989,2.342,0.016348887884333845,0.17986711068602992
0,111,cherry,7,15,2.989,2.342,0.016348887884333845,0.17986711068602992
0,111,cinnamon,5,9,1.794,2.788,0.018406332454590116,0.19012110484741185
0,111,woody,22,77,15.345,1.434,0.032523155070462675,0.2953711263734862
0,111,tobacco,5,11,2.192,2.281,0.04797696669298249,0.3800893671987739
0,111,hay,4,8,1.594,2.509,0.05430548663817992,0.4180497839316492
0,111,amber,4,8,1.594,2.509,0.05430548663817992,0.4180497839316492
0,111,dry,7,19,3.786,1.849,0.06312776950854228,0.45586070724752653
0,111,spicy,16,56,11.16,1.434,0.06673211953791158,0.4671762407677954
0,111,anisic,5,12,2.391,2.091,0.06944610591562428,0.47620186913570933
0,111,almond,4,9,1.794,2.23,0.08302480998505177,0.5376844837127163
0,111,tea,3,6,1.196,2.509,0.09688980436479226,0.6035273310051181
0,111,fresh,24,99,19.729,1.216,0.14793667019100923,0.7889955743520491
0,111,powdery,13,49,9.765,1.331,0.15281938145091728,0.8097442549607046
0,111,rose,13,50,9.964,1.305,0.17219780145073144,0.8893253543278281
0,111,lemon,4,12,2.391,1.673,0.20157160290730286,0.9732688045701725
0,111,terpenic,2,13,2.591,0.772,0.7678254664730286,1.0
0,111,peppery,1,7,1.395,0.717,0.7909517391515977,1.0
0,111,herbal,12,88,17.537,0.684,0.9646493964600577,1.0
0,111,pine,2,13,2.591,0.772,0.7678254664730286,1.0
0,111,orange,4,28,5.58,0.717,0.8443936113571195,1.0
0,111,minty,4,28,5.58,0.717,0.8443936113571195,1.0
0,111,bready,0,10,1.993,0.0,1.0,1.0
0,111,mentholic,1,9,1.794,0.558,0.8668779013331596,1.0
0,111,winey,1,24,4.783,0.209,0.9957518787807508,1.0
0,111,oily,8,65,12.953,0.618,0.969700317701751,1.0
0,111,solvent,0,8,1.594,0.0,1.0,1.0
0,111,fermented,1,18,3.587,0.279,0.9829303090230063,1.0
0,111,alcoholic,0,10,1.993,0.0,1.0,1.0
0,111,soapy,2,16,3.189,0.627,0.861574532455672,1.0
0,111,fatty,17,107,21.323,0.797,0.9052558364119119,1.0
0,111,citrus,14,76,15.145,0.924,0.6882603998192686,1.0
0,111,coconut,5,24,4.783,1.045,0.5392366880243826,1.0
0,111,earthy,7,37,7.373,0.949,0.6323657773675446,1.0
0,111,waxy,20,96,19.131,1.045,0.45149373532065934,1.0
0,111,musty,6,47,9.366,0.641,0.9363654032051352,1.0
0,111,pear,2,21,4.185,0.478,0.9447682578138068,1.0
0,111,fruity,40,196,39.059,1.024,0.45842380439177244,1.0
0,111,apple,6,43,8.569,0.7,0.8927950060247686,1.0
0,111,cheesy,5,41,8.171,0.612,0.939272293303516,1.0
0,111,buttery,1,25,4.982,0.201,0.9966365719427333,1.0
0,111,chocolate,1,17,3.388,0.295,0.9785136756932946,1.0
0,111,nutty,7,47,9.366,0.747,0.8648775188829275,1.0
0,111,roasted,4,32,6.377,0.627,0.9118104436022973,1.0
0,111,cocoa,5,20,3.986,1.255,0.3663458367697219,1.0
0,111,medicinal,5,21,4.185,1.195,0.4106248629556602,1.0
0,111,grassy,0,11,2.192,0.0,1.0,1.0
0,111,leathery,1,7,1.395,0.717,0.7909517391515977,1.0
0,111,ethereal,1,29,5.779,0.173,0.9986848777101018,1.0
0,111,rummy,0,8,1.594,0.0,1.0,1.0
0,111,grape,3,11,2.192,1.369,0.38018570069234986,1.0
0,111,cooling,2,11,2.192,0.912,0.6784220841499511,1.0
0,111,camphoreous,2,22,4.384,0.456,0.9543517136399278,1.0
0,111,hazelnut,0,10,1.993,0.0,1.0,1.0
0,111,potato,1,14,2.79,0.358,0.9572703795466644,1.0
0,111,burnt,5,21,4.185,1.195,0.4106248629556602,1.0
0,111,green,32,169,33.679,0.95,0.689899417595595,1.0
0,111,acidic,0,8,1.594,0.0,1.0,1.0
0,111,pungent,4,36,7.174,0.558,0.9521142873577411,1.0
0,111,sharp,3,17,3.388,0.886,0.6917058529424533,1.0
0,111,sour,1,18,3.587,0.279,0.9829303090230063,1.0
0,111,dairy,3,26,5.181,0.579,0.9196416595371156,1.0
