cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,130,musk,19,34,7.7,2.467,1.447305639347753e-05,0.0009218223610614919
0,130,clean,10,20,4.53,2.208,0.005840843758373944,0.12726891136667434
0,130,animal,12,28,6.341,1.892,0.011765465071377818,0.21177837128480073
0,130,soapy,8,16,3.624,2.208,0.01385545410140001,0.23212554998587662
0,130,citrus,25,76,17.213,1.452,0.01843612396639494,0.2631915628306036
0,130,metallic,11,26,5.889,1.868,0.01768464924975888,0.2631915628306036
0,130,dry,9,20,4.53,1.987,0.020357943249419013,0.28005082628665895
0,130,violet,5,9,2.038,2.453,0.031701028601215306,0.37497788116866104
0,130,fresh,31,104,23.554,1.316,0.03836471856477118,0.4043724678184488
0,130,lavender,4,7,1.585,2.523,0.04978768972137804,0.4849906716388355
0,130,lily,5,10,2.265,2.208,0.05204829297755574,0.4914604618088411
0,130,grapefruit,5,10,2.265,2.208,0.05204829297755574,0.4914604618088411
0,130,waxy,28,96,21.742,1.288,0.06428741106590381,0.5464121817979042
0,130,fruity,53,200,45.296,1.17,0.06662825773617072,0.5464121817979042
0,130,sulfurous,15,46,10.418,1.44,0.0705760174790656,0.5464121817979042
0,130,tomato,3,5,1.132,2.649,0.07939831216910707,0.5817858626196518
0,130,herbal,26,90,20.383,1.276,0.08238034102826702,0.5922163109281238
0,130,fermented,8,22,4.983,1.606,0.0992229127433323,0.6625529979957995
0,130,melon,7,19,4.303,1.627,0.11328929204751678,0.7106328319344235
0,130,oily,19,66,14.948,1.271,0.13420653952379843,0.7858250781661077
0,130,peach,6,16,3.624,1.656,0.12953122249346183,0.7858250781661077
0,130,savory,7,20,4.53,1.545,0.14252155904345462,0.8082729512875372
0,130,sweet,63,253,57.3,1.099,0.14815327409157938,0.8232947043478371
0,130,tropical,13,43,9.739,1.335,0.1480192172630519,0.8232947043478371
0,130,caramellic,8,24,5.436,1.472,0.15171200097705814,0.8319042172781731
0,130,raspberry,3,7,1.585,1.892,0.19534181630758746,0.9922884902005056
0,130,terpenic,1,15,3.397,0.294,0.97989304091229,1.0
0,130,peppery,1,7,1.585,0.631,0.8360902630916471,1.0
0,130,pine,3,16,3.624,0.828,0.741415154058056,1.0
0,130,orange,6,28,6.341,0.946,0.6386121557934581,1.0
0,130,minty,7,28,6.341,1.104,0.4554854596139253,1.0
0,130,bready,1,11,2.491,0.401,0.9423466398326508,1.0
0,130,spicy,4,56,12.683,0.315,0.9997100279044161,1.0
0,130,mentholic,2,9,2.038,0.981,0.6415469822059752,1.0
0,130,balsamic,5,38,8.606,0.581,0.9574706965371121,1.0
0,130,winey,8,26,5.889,1.359,0.21506480321385224,1.0
0,130,solvent,2,8,1.812,1.104,0.573025253238735,1.0
0,130,alcoholic,4,14,3.171,1.262,0.39483146015596526,1.0
0,130,honey,2,15,3.397,0.589,0.888710319468024,1.0
0,130,fatty,28,108,24.46,1.145,0.21728827392694358,1.0
0,130,floral,36,154,34.878,1.032,0.4406708814456026,1.0
