cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,33,sour,11,16,1.025,10.729,4.5296985044201293e-11,3.641877597553784e-08
0,33,acidic,6,8,0.513,11.705,1.12273943141389e-06,0.0001805365005713535
0,33,cheesy,9,36,2.307,3.902,0.00016728439802847324,0.008966443734326167
0,33,caramellic,5,22,1.41,3.547,0.009510057006248481,0.18648989836643365
0,33,sharp,4,16,1.025,3.902,0.014742142236048323,0.25218473101665645
0,33,odorless,3,9,0.577,5.202,0.015480666442703375,0.2540093024476227
0,33,animal,5,27,1.73,2.89,0.023057619221854706,0.30897209757285304
0,33,tobacco,3,11,0.705,4.256,0.027822196219440515,0.3485583806917693
0,33,buttery,4,23,1.474,2.714,0.051969067210534375,0.528900380218603
0,33,burnt,3,19,1.217,2.464,0.11492367333936955,0.8668327826617637
0,33,terpenic,2,10,0.641,3.121,0.12979641285977112,0.8852797810628045
0,33,cooling,2,10,0.641,3.121,0.12979641285977112,0.8852797810628045
0,33,camphoreous,3,20,1.282,2.341,0.1294448277412906,0.8852797810628045
0,33,coffee,3,21,1.346,2.229,0.14460158822814426,0.8993398765335434
0,33,pine,2,11,0.705,2.837,0.1524573498909557,0.9160355928508701
0,33,musk,4,34,2.179,1.836,0.16487217387905903,0.96055962173017
0,33,peppery,1,7,0.449,2.229,0.372728492474333,1.0
0,33,herbal,3,84,5.383,0.557,0.9294261676673194,1.0
0,33,orange,0,28,1.794,0.0,1.0,1.0
0,33,minty,2,26,1.666,1.2,0.5081708646483173,1.0
0,33,bready,0,8,0.513,0.0,1.0,1.0
0,33,spicy,1,54,3.46,0.289,0.977202344693638,1.0
0,33,mentholic,0,8,0.513,0.0,1.0,1.0
0,33,balsamic,2,38,2.435,0.821,0.7206184675237706,1.0
0,33,winey,1,21,1.346,0.743,0.7581377315112249,1.0
0,33,oily,1,61,3.909,0.256,0.9864932870212708,1.0
0,33,solvent,1,7,0.449,2.229,0.372728492474333,1.0
0,33,fermented,0,15,0.961,0.0,1.0,1.0
0,33,sweet,9,234,14.994,0.6,0.9917161397854514,1.0
0,33,alcoholic,0,7,0.449,0.0,1.0,1.0
0,33,soapy,1,16,1.025,0.975,0.6589944418472174,1.0
0,33,honey,1,15,0.961,1.04,0.6348976893439159,1.0
0,33,fatty,4,103,6.6,0.606,0.9259363579198568,1.0
0,33,citrus,0,75,4.806,0.0,1.0,1.0
0,33,floral,3,153,9.804,0.306,0.9992772232679172,1.0
0,33,coconut,0,23,1.474,0.0,1.0,1.0
0,33,earthy,3,36,2.307,1.301,0.4107766640529548,1.0
0,33,waxy,3,95,6.087,0.493,0.9622072475653429,1.0
0,33,powdery,2,48,3.076,0.65,0.8353470365460696,1.0
0,33,musty,4,44,2.819,1.419,0.30823844146084234,1.0
0,33,chocolate,1,14,0.897,1.115,0.6091532956438073,1.0
0,33,nutty,2,45,2.883,0.694,0.8061405242695561,1.0
0,33,roasted,3,28,1.794,1.672,0.26368143046429227,1.0
0,33,woody,3,71,4.55,0.659,0.8606981777891409,1.0
0,33,cocoa,2,18,1.153,1.734,0.32280546267213395,1.0
0,33,medicinal,0,16,1.025,0.0,1.0,1.0
0,33,grassy,0,10,0.641,0.0,1.0,1.0
0,33,leathery,0,5,0.32,0.0,1.0,1.0
0,33,ethereal,0,21,1.346,0.0,1.0,1.0
0,33,rummy,0,8,0.513,0.0,1.0,1.0
0,33,grape,0,11,0.705,0.0,1.0,1.0
0,33,fruity,10,181,11.598,0.862,0.7833980337737549,1.0
0,33,fresh,3,97,6.216,0.483,0.9664177535607473,1.0
0,33,hazelnut,1,10,0.641,1.561,0.48741432538315277,1.0
0,33,potato,2,14,0.897,2.229,0.22414012418845317,1.0
0,33,green,5,159,10.188,0.491,0.9905055403116935,1.0
0,33,dry,2,18,1.153,1.734,0.32280546267213395,1.0
0,33,hay,1,8,0.513,1.951,0.41347644473485856,1.0
0,33,pungent,2,27,1.73,1.156,0.5291707491650476,1.0
0,33,dairy,3,24,1.538,1.951,0.19330921710280047,1.0
0,33,brandy,1,7,0.449,2.229,0.372728492474333,1.0
0,33,cognac,0,9,0.577,0.0,1.0,1.0
0,33,apple,0,38,2.435,0.0,1.0,1.0
0,33,clean,0,19,1.217,0.0,1.0,1.0
0,33,milky,2,13,0.833,2.401,0.1997988659323093,1.0
0,33,creamy,1,39,2.499,0.4,0.9318871710370344,1.0
0,33,apricot,0,10,0.641,0.0,1.0,1.0
0,33,pear,0,20,1.282,0.0,1.0,1.0
0,33,pineapple,1,28,1.794,0.557,0.8513885547676746,1.0
0,33,banana,0,25,1.602,0.0,1.0,1.0
0,33,orris,0,11,0.705,0.0,1.0,1.0
0,33,violet,0,9,0.577,0.0,1.0,1.0
0,33,clove,0,9,0.577,0.0,1.0,1.0
0,33,phenolic,0,33,2.115,0.0,1.0,1.0
0,33,cinnamon,1,9,0.577,1.734,0.45165253413081463,1.0
0,33,smoky,0,13,0.833,0.0,1.0,1.0
0,33,savory,2,16,1.025,1.951,0.27344640179439234,1.0
0,33,muguet,0,5,0.32,0.0,1.0,1.0
0,33,lily,0,10,0.641,0.0,1.0,1.0
0,33,rose,2,50,3.204,0.624,0.8526335261854068,1.0
0,33,brown,1,8,0.513,1.951,0.41347644473485856,1.0
0,33,beefy,0,5,0.32,0.0,1.0,1.0
0,33,tropical,0,39,2.499,0.0,1.0,1.0
0,33,ripe,0,9,0.577,0.0,1.0,1.0
0,33,aldehydic,0,34,2.179,0.0,1.0,1.0
0,33,mushroom,1,15,0.961,1.04,0.6348976893439159,1.0
0,33,vegetable,1,37,2.371,0.422,0.9213982504275234,1.0
0,33,cucumber,0,12,0.769,0.0,1.0,1.0
0,33,natural,0,9,0.577,0.0,1.0,1.0
0,33,hawthorn,0,5,0.32,0.0,1.0,1.0
0,33,anisic,0,12,0.769,0.0,1.0,1.0
0,33,vanilla,0,16,1.025,0.0,1.0,1.0
0,33,meaty,1,30,1.922,0.52,0.8708658577780715,1.0
0,33,fishy,0,6,0.384,0.0,1.0,1.0
0,33,tea,0,6,0.384,0.0,1.0,1.0
0,33,warm,0,12,0.769,0.0,1.0,1.0
0,33,hyacinth,0,7,0.449,0.0,1.0,1.0
0,33,coumarinic,0,9,0.577,0.0,1.0,1.0
0,33,ketonic,1,12,0.769,1.301,0.5522790095260863,1.0
0,33,mint,1,11,0.705,1.419,0.5209100229323725,1.0
0,33,chemical,0,5,0.32,0.0,1.0,1.0
0,33,almond,0,9,0.577,0.0,1.0,1.0
0,33,cherry,0,15,0.961,0.0,1.0,1.0
0,33,chicken,1,12,0.769,1.301,0.5522790095260863,1.0
0,33,lemon,0,12,0.769,0.0,1.0,1.0
0,33,metallic,0,24,1.538,0.0,1.0,1.0
0,33,onion,1,21,1.346,0.743,0.7581377315112249,1.0
0,33,garlic,0,15,0.961,0.0,1.0,1.0
0,33,sulfurous,2,36,2.307,0.867,0.6912243095277505,1.0
0,33,geranium,0,11,0.705,0.0,1.0,1.0
0,33,lavender,0,7,0.449,0.0,1.0,1.0
0,33,estery,0,10,0.641,0.0,1.0,1.0
0,33,alliaceous,0,14,0.897,0.0,1.0,1.0
0,33,cabbage,1,7,0.449,2.229,0.372728492474333,1.0
0,33,aromatic,0,5,0.32,0.0,1.0,1.0
0,33,jasmine,0,13,0.833,0.0,1.0,1.0
0,33,peach,0,15,0.961,0.0,1.0,1.0
0,33,bergamot,0,5,0.32,0.0,1.0,1.0
0,33,melon,0,19,1.217,0.0,1.0,1.0
0,33,strawberry,1,13,0.833,1.2,0.5816523548255674,1.0
0,33,grapefruit,0,9,0.577,0.0,1.0,1.0
0,33,ozone,0,5,0.32,0.0,1.0,1.0
0,33,anise,0,6,0.384,0.0,1.0,1.0
0,33,amber,0,8,0.513,0.0,1.0,1.0
0,33,leafy,0,12,0.769,0.0,1.0,1.0
0,33,jammy,0,6,0.384,0.0,1.0,1.0
0,33,raspberry,0,7,0.449,0.0,1.0,1.0
0,33,berry,0,18,1.153,0.0,1.0,1.0
0,33,gasoline,1,5,0.32,3.121,0.2828364839834581,1.0
0,33,plum,0,11,0.705,0.0,1.0,1.0
0,33,rum,0,6,0.384,0.0,1.0,1.0
0,33,jasmin,0,17,1.089,0.0,1.0,1.0
0,33,lactonic,0,10,0.641,0.0,1.0,1.0
0,33,weedy,0,5,0.32,0.0,1.0,1.0
1,70,smoky,11,13,1.767,6.225,8.843988192240251e-09,3.5552832532805807e-06
1,70,phenolic,16,33,4.485,3.567,4.925145660450693e-07,0.00013199390370007856
1,70,chocolate,10,14,1.903,5.255,7.585249215744571e-07,0.00015246350923646588
1,70,medicinal,9,16,2.175,4.138,5.080335530441829e-05,0.004538433073861366
1,70,earthy,14,36,4.893,2.861,7.082860965267953e-05,0.0047455168467295285
1,70,camphoreous,10,20,2.718,3.679,7.027705809380822e-05,0.0047455168467295285
1,70,potato,8,14,1.903,4.204,0.00012227499932544443,0.007562238419819794
1,70,nutty,15,45,6.117,2.452,0.0002997589791359585,0.012684537853963718
1,70,roasted,11,28,3.806,2.89,0.0004372741540973295,0.017578420994712646
1,70,vanilla,7,16,2.175,3.219,0.0026693467615167984,0.08254441524075024
1,70,clove,5,9,1.223,4.087,0.0032913509457877244,0.09450879144333323
1,70,cocoa,7,18,2.447,2.861,0.005907714050471765,0.1539331116667196
1,70,woody,17,71,9.65,1.762,0.0077524888221854734,0.17808574322963203
1,70,savory,6,16,2.175,2.759,0.01341391415601347,0.2344518909007572
1,70,ethereal,7,21,2.854,2.452,0.01532968760656103,0.2540093024476227
1,70,spicy,12,54,7.34,1.635,0.04614942125681039,0.5014072255469669
1,70,pine,4,11,1.495,2.675,0.04908753565188106,0.5089482356573708
1,70,vegetable,9,37,5.029,1.79,0.04905100977292335,0.5089482356573708
1,70,peppery,3,7,0.951,3.153,0.056215206952030645,0.5429088195584209
1,70,balsamic,9,38,5.165,1.742,0.057295052873860844,0.5429088195584209
1,70,rummy,3,8,1.087,2.759,0.08133133331255966,0.7031224944440643
1,70,brown,3,8,1.087,2.759,0.08133133331255966,0.7031224944440643
1,70,alliaceous,4,14,1.903,2.102,0.10847140244246527,0.8445963864518984
1,70,almond,3,9,1.223,2.452,0.11039404363112053,0.8453029626611515
1,70,musty,9,44,5.981,1.505,0.12529173756429376,0.8852797810628045
1,70,garlic,4,15,2.039,1.962,0.13323240486144197,0.8852797810628045
1,70,winey,5,21,2.854,1.752,0.14253541109521997,0.8993398765335434
1,70,grassy,3,10,1.359,2.207,0.14281266826935707,0.8993398765335434
1,70,pungent,6,27,3.67,1.635,0.14558011985076175,0.8993398765335434
1,70,onion,5,21,2.854,1.752,0.14253541109521997,0.8993398765335434
1,70,terpenic,2,10,1.359,1.471,0.4038302710551589,1.0
1,70,herbal,12,84,11.417,1.051,0.47708830995109447,1.0
1,70,orange,1,28,3.806,0.263,0.9851638047096133,1.0
1,70,minty,2,26,3.534,0.566,0.8921898511444637,1.0
1,70,bready,1,8,1.087,0.92,0.6919163659817107,1.0
1,70,mentholic,2,8,1.087,1.839,0.29801948230535913,1.0
1,70,oily,4,61,8.291,0.482,0.9797268884044628,1.0
1,70,solvent,2,7,0.951,2.102,0.2438474450571591,1.0
1,70,fermented,2,15,2.039,0.981,0.6283343506006156,1.0
1,70,sweet,29,234,31.806,0.912,0.8030799869010758,1.0
1,70,alcoholic,2,7,0.951,2.102,0.2438474450571591,1.0
1,70,soapy,1,16,2.175,0.46,0.9069806957418124,1.0
1,70,honey,0,15,2.039,0.0,1.0,1.0
1,70,fatty,7,103,14.0,0.5,0.9949228243705266,1.0
1,70,citrus,3,75,10.194,0.294,0.9992411200380212,1.0
1,70,floral,11,153,20.796,0.529,0.998835475907687,1.0
1,70,coconut,0,23,3.126,0.0,1.0,1.0
1,70,waxy,5,95,12.913,0.387,0.9988786784280962,1.0
1,70,cheesy,3,36,4.893,0.613,0.892993447215213,1.0
1,70,buttery,2,23,3.126,0.64,0.8458807926495658,1.0
1,70,powdery,6,48,6.524,0.92,0.6612426588590317,1.0
1,70,leathery,1,5,0.68,1.471,0.5197924411938251,1.0
1,70,grape,1,11,1.495,0.669,0.8029048410408615,1.0
1,70,fruity,17,181,24.602,0.691,0.9871415155834491,1.0
1,70,cooling,2,10,1.359,1.471,0.4038302710551589,1.0
1,70,fresh,8,97,13.184,0.607,0.9744773870229404,1.0
