cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,45,musk,18,34,2.675,6.729,3.433748795112023e-13,2.863746495123427e-10
0,45,animal,10,28,2.203,4.54,1.5205764585724971e-05,0.0009755082818842019
0,45,grapefruit,5,10,0.787,6.356,0.00045365117695284806,0.015764378399111472
0,45,powdery,9,49,3.855,2.335,0.009612435256718697,0.1541686731558345
0,45,dry,5,20,1.573,3.178,0.01526830744268815,0.20538336140648256
0,45,natural,3,9,0.708,4.237,0.027359294162440553,0.29633313417500545
0,45,soapy,4,16,1.259,3.178,0.03024717208525272,0.3193182470772249
0,45,sulfurous,7,46,3.619,1.934,0.058578144970869606,0.4973907086064438
0,45,rummy,2,8,0.629,3.178,0.12508874307434847,0.7843910655940348
0,45,metallic,4,26,2.045,1.956,0.13919518943531012,0.8175266759792158
0,45,minty,4,28,2.203,1.816,0.17004140527592157,0.9208735844163545
0,45,terpenic,0,15,1.18,0.0,1.0,1.0
0,45,peppery,0,7,0.551,0.0,1.0,1.0
0,45,herbal,4,90,7.08,0.565,0.9456562175886634,1.0
0,45,pine,0,16,1.259,0.0,1.0,1.0
0,45,orange,2,28,2.203,0.908,0.6651938290711179,1.0
0,45,bready,0,11,0.865,0.0,1.0,1.0
0,45,spicy,0,56,4.406,0.0,1.0,1.0
0,45,mentholic,1,9,0.708,1.412,0.5242564272664917,1.0
0,45,balsamic,1,38,2.99,0.335,0.9601904244472517,1.0
0,45,winey,1,26,2.045,0.489,0.887012030163188,1.0
0,45,oily,2,66,5.192,0.385,0.9765016982085046,1.0
0,45,solvent,0,8,0.629,0.0,1.0,1.0
0,45,fermented,1,22,1.731,0.578,0.8408738675806733,1.0
0,45,sweet,17,250,19.668,0.864,0.839325244050342,1.0
0,45,alcoholic,1,14,1.101,0.908,0.6868114503387766,1.0
0,45,honey,1,15,1.18,0.847,0.7120685914404881,1.0
0,45,fatty,7,108,8.497,0.824,0.7818817256391867,1.0
0,45,citrus,5,76,5.979,0.836,0.7418222043684407,1.0
0,45,floral,13,154,12.115,1.073,0.4376441209997399,1.0
0,45,coconut,0,24,1.888,0.0,1.0,1.0
0,45,earthy,1,39,3.068,0.326,0.9635451639601238,1.0
0,45,waxy,7,96,7.552,0.927,0.6568864563002293,1.0
0,45,musty,3,50,3.934,0.763,0.7769580134864064,1.0
0,45,pear,2,21,1.652,1.211,0.5037491697486293,1.0
0,45,fruity,11,198,15.577,0.706,0.9544618842152923,1.0
0,45,apple,2,43,3.383,0.591,0.8723131022036499,1.0
0,45,cheesy,1,42,3.304,0.303,0.9720355141189811,1.0
0,45,buttery,0,25,1.967,0.0,1.0,1.0
0,45,chocolate,0,19,1.495,0.0,1.0,1.0
0,45,nutty,1,50,3.934,0.254,0.9863169243022301,1.0
0,45,roasted,1,33,2.596,0.385,0.9383355443122824,1.0
0,45,woody,4,81,6.372,0.628,0.9065255315395351,1.0
0,45,cocoa,0,23,1.809,0.0,1.0,1.0
0,45,medicinal,0,22,1.731,0.0,1.0,1.0
0,45,grassy,0,11,0.865,0.0,1.0,1.0
0,45,leathery,0,7,0.551,0.0,1.0,1.0
0,45,ethereal,2,33,2.596,0.77,0.7533421772491298,1.0
0,45,grape,1,12,0.944,1.059,0.6296303744250336,1.0
0,45,cooling,0,11,0.865,0.0,1.0,1.0
0,45,camphoreous,1,24,1.888,0.53,0.8658692392006391,1.0
0,45,fresh,6,104,8.182,0.733,0.8618549390756814,1.0
0,45,hazelnut,1,10,0.787,1.271,0.5622821124760972,1.0
0,45,potato,0,15,1.18,0.0,1.0,1.0
0,45,burnt,1,22,1.731,0.578,0.8408738675806733,1.0
0,45,green,7,173,13.61,0.514,0.9944037567349507,1.0
0,45,hay,1,10,0.787,1.271,0.5622821124760972,1.0
0,45,acidic,0,9,0.708,0.0,1.0,1.0
0,45,pungent,1,40,3.147,0.318,0.9666229643762484,1.0
0,45,sharp,0,19,1.495,0.0,1.0,1.0
0,45,sour,0,18,1.416,0.0,1.0,1.0
0,45,dairy,0,26,2.045,0.0,1.0,1.0
0,45,brandy,0,8,0.629,0.0,1.0,1.0
0,45,cognac,0,11,0.865,0.0,1.0,1.0
0,45,clean,2,20,1.573,1.271,0.47710721393699507,1.0
0,45,milky,0,13,1.023,0.0,1.0,1.0
0,45,creamy,0,43,3.383,0.0,1.0,1.0
0,45,odorless,0,14,1.101,0.0,1.0,1.0
0,45,apricot,1,13,1.023,0.978,0.6593922193373076,1.0
0,45,pineapple,1,29,2.281,0.438,0.9127526114986255,1.0
0,45,banana,0,28,2.203,0.0,1.0,1.0
0,45,orris,0,11,0.865,0.0,1.0,1.0
0,45,violet,0,9,0.708,0.0,1.0,1.0
0,45,clove,0,9,0.708,0.0,1.0,1.0
0,45,phenolic,1,40,3.147,0.318,0.9666229643762484,1.0
0,45,cinnamon,0,9,0.708,0.0,1.0,1.0
0,45,smoky,0,16,1.259,0.0,1.0,1.0
0,45,savory,2,19,1.495,1.338,0.4496591950222192,1.0
0,45,muguet,0,5,0.393,0.0,1.0,1.0
0,45,lily,0,10,0.787,0.0,1.0,1.0
0,45,rose,1,50,3.934,0.254,0.9863169243022301,1.0
0,45,brown,1,7,0.551,1.816,0.43826720436023503,1.0
0,45,coffee,0,24,1.888,0.0,1.0,1.0
0,45,beefy,0,6,0.472,0.0,1.0,1.0
0,45,tropical,4,43,3.383,1.182,0.4439693287154299,1.0
0,45,ripe,1,14,1.101,0.908,0.6868114503387766,1.0
0,45,aldehydic,2,37,2.911,0.687,0.8091410573295938,1.0
0,45,mushroom,0,17,1.337,0.0,1.0,1.0
0,45,vegetable,1,45,3.54,0.282,0.9785821631413731,1.0
0,45,cucumber,2,12,0.944,2.119,0.24203425463727754,1.0
0,45,hawthorn,0,5,0.393,0.0,1.0,1.0
0,45,anisic,1,12,0.944,1.059,0.6296303744250336,1.0
0,45,vanilla,0,17,1.337,0.0,1.0,1.0
0,45,meaty,4,39,3.068,1.304,0.36838793692653615,1.0
0,45,caramellic,1,21,1.652,0.605,0.8267223340651205,1.0
0,45,popcorn,0,5,0.393,0.0,1.0,1.0
0,45,fishy,1,12,0.944,1.059,0.6296303744250336,1.0
0,45,almond,0,10,0.787,0.0,1.0,1.0
0,45,tea,0,6,0.472,0.0,1.0,1.0
0,45,warm,2,13,1.023,1.956,0.27248823547774426,1.0
0,45,hyacinth,0,7,0.551,0.0,1.0,1.0
0,45,tobacco,2,11,0.865,2.311,0.2117962594765308,1.0
0,45,coumarinic,1,10,0.787,1.271,0.5622821124760972,1.0
0,45,ketonic,0,12,0.944,0.0,1.0,1.0
0,45,mint,2,11,0.865,2.311,0.2117962594765308,1.0
0,45,chemical,0,6,0.472,0.0,1.0,1.0
0,45,cherry,1,15,1.18,0.847,0.7120685914404881,1.0
0,45,chicken,1,12,0.944,1.059,0.6296303744250336,1.0
0,45,lemon,1,12,0.944,1.059,0.6296303744250336,1.0
0,45,onion,3,30,2.36,1.271,0.42573349454875326,1.0
0,45,garlic,0,19,1.495,0.0,1.0,1.0
0,45,horseradish,0,5,0.393,0.0,1.0,1.0
0,45,geranium,1,11,0.865,1.156,0.5973306977760537,1.0
0,45,lavender,0,7,0.551,0.0,1.0,1.0
0,45,estery,1,13,1.023,0.978,0.6593922193373076,1.0
0,45,alliaceous,1,16,1.259,0.794,0.7353305544300357,1.0
0,45,cabbage,0,9,0.708,0.0,1.0,1.0
0,45,aromatic,1,6,0.472,2.119,0.3897490166370307,1.0
0,45,jasmine,0,13,1.023,0.0,1.0,1.0
0,45,peach,2,16,1.259,1.589,0.3631391465972735,1.0
0,45,bergamot,0,5,0.393,0.0,1.0,1.0
0,45,melon,1,19,1.495,0.669,0.7946308872920158,1.0
0,45,brothy,0,5,0.393,0.0,1.0,1.0
0,45,tomato,0,5,0.393,0.0,1.0,1.0
0,45,ozone,0,5,0.393,0.0,1.0,1.0
0,45,anise,0,6,0.472,0.0,1.0,1.0
0,45,cooked,0,6,0.472,0.0,1.0,1.0
0,45,amber,1,8,0.629,1.589,0.48300698454393326,1.0
0,45,leafy,0,13,1.023,0.0,1.0,1.0
0,45,jammy,0,6,0.472,0.0,1.0,1.0
0,45,raspberry,1,7,0.551,1.816,0.43826720436023503,1.0
0,45,berry,0,21,1.652,0.0,1.0,1.0
0,45,gasoline,1,5,0.393,2.542,0.33714117324367127,1.0
0,45,plum,0,11,0.865,0.0,1.0,1.0
0,45,rum,1,7,0.551,1.816,0.43826720436023503,1.0
0,45,jasmin,0,17,1.337,0.0,1.0,1.0
0,45,lactonic,0,11,0.865,0.0,1.0,1.0
0,45,weedy,0,5,0.393,0.0,1.0,1.0
0,45,strawberry,0,12,0.944,0.0,1.0,1.0
1,137,jasmine,9,13,3.114,2.891,0.0006055968536716506,0.01942568369085218
1,137,floral,52,154,36.885,1.41,0.0007796938500066007,0.02297496395122583
1,137,plum,8,11,2.635,3.036,0.0007716812009832531,0.02297496395122583
1,137,balsamic,18,38,9.101,1.978,0.0009333825425046191,0.025111001304801688
1,137,sweet,73,250,59.878,1.219,0.00644821600123101,0.11950693655614805
1,137,cinnamon,6,9,2.156,2.783,0.007525957557130374,0.12809486944177004
1,137,coconut,11,24,5.748,1.914,0.013672374154054227,0.19326711939798685
1,137,honey,7,15,3.593,1.948,0.04365289034020347,0.4334108398063059
1,137,cherry,7,15,3.593,1.948,0.04365289034020347,0.4334108398063059
1,137,woody,26,81,19.4,1.34,0.04591948890848915,0.43396209477354114
1,137,melon,8,19,4.551,1.758,0.05904278195688002,0.4973907086064438
1,137,hyacinth,4,7,1.677,2.386,0.0601193634983305,0.5013954915760763
1,137,coumarinic,5,10,2.395,2.088,0.06475997228819161,0.5304754809894974
1,137,jasmin,7,17,4.072,1.719,0.0853531112184729,0.6355758460375572
1,137,spicy,18,56,13.413,1.342,0.09138179349660541,0.6570035842773182
1,137,powdery,16,49,11.736,1.363,0.09630298479373264,0.6756555981024415
1,137,cooling,5,11,2.635,1.898,0.09640649421365773,0.6756555981024415
1,137,tobacco,5,11,2.635,1.898,0.09640649421365773,0.6756555981024415
1,137,amber,4,8,1.916,2.088,0.0983051010766478,0.6832204524827022
1,137,berry,8,21,5.03,1.591,0.10242424396284526,0.7001788480738766
1,137,grape,5,12,2.874,1.74,0.13443550795602452,0.8008515259666031
1,137,cucumber,5,12,2.874,1.74,0.13443550795602452,0.8008515259666031
1,137,chicken,5,12,2.874,1.74,0.13443550795602452,0.8008515259666031
1,137,tea,3,6,1.437,2.088,0.15212337941197338,0.857235800199904
1,137,jammy,3,6,1.437,2.088,0.15212337941197338,0.857235800199904
1,137,dry,7,20,4.79,1.461,0.17861775456792633,0.9428304260104466
1,137,leafy,5,13,3.114,1.606,0.17803305585352375,0.9428304260104466
1,137,rose,15,50,11.976,1.253,0.1889460776841164,0.9727223999293401
1,137,terpenic,4,15,3.593,1.113,0.5015871690036601,1.0
1,137,peppery,1,7,1.677,0.596,0.8545925820269555,1.0
1,137,herbal,22,90,21.556,1.021,0.49956197637960664,1.0
1,137,pine,3,16,3.832,0.783,0.7792956151231613,1.0
1,137,orange,6,28,6.706,0.895,0.698606341993022,1.0
1,137,minty,9,28,6.706,1.342,0.20420337325465832,1.0
1,137,bready,1,11,2.635,0.38,0.9522817537927297,1.0
1,137,mentholic,3,9,2.156,1.392,0.36973144184477413,1.0
1,137,winey,1,26,6.227,0.161,0.9993271360621453,1.0
1,137,oily,15,66,15.808,0.949,0.6491587188697923,1.0
1,137,solvent,2,8,1.916,1.044,0.6077860088656286,1.0
1,137,fermented,1,22,5.269,0.19,0.9978759867316156,1.0
1,137,alcoholic,0,14,3.353,0.0,1.0,1.0
1,137,soapy,1,16,3.832,0.261,0.988300092060205,1.0
1,137,fatty,29,108,25.867,1.121,0.2525258395130695,1.0
1,137,citrus,16,76,18.203,0.879,0.7800961213333996,1.0
1,137,earthy,8,39,9.341,0.856,0.7580620490939158,1.0
1,137,waxy,21,96,22.993,0.913,0.7403539324775403,1.0
1,137,musty,7,50,11.976,0.585,0.9765503070259954,1.0
1,137,pear,4,21,5.03,0.795,0.7821430893023368,1.0
1,137,fruity,51,198,47.423,1.075,0.26213203301918286,1.0
1,137,apple,10,43,10.299,0.971,0.6066844839941099,1.0
1,137,cheesy,5,42,10.059,0.497,0.9869404335678624,1.0
1,137,buttery,5,25,5.988,0.835,0.7555278524922048,1.0
1,137,chocolate,2,19,4.551,0.439,0.9638005349372416,1.0
1,137,nutty,8,50,11.976,0.668,0.9449382820970398,1.0
1,137,roasted,6,33,7.904,0.759,0.8442032029285284,1.0
1,137,cocoa,5,23,5.509,0.908,0.6808713316607902,1.0
1,137,medicinal,5,22,5.269,0.949,0.6383819191487218,1.0
1,137,grassy,2,11,2.635,0.759,0.7830784666530679,1.0
1,137,leathery,1,7,1.677,0.596,0.8545925820269555,1.0
1,137,ethereal,2,33,7.904,0.253,0.9989259922538772,1.0
1,137,rummy,0,8,1.916,0.0,1.0,1.0
1,137,camphoreous,4,24,5.748,0.696,0.8665754445500984,1.0
1,137,fresh,26,104,24.909,1.044,0.43495578627375353,1.0
1,137,hazelnut,1,10,2.395,0.418,0.9368996367800332,1.0
1,137,potato,2,15,3.593,0.557,0.9087449528513442,1.0
1,137,burnt,6,22,5.269,1.139,0.4371162809336609,1.0
1,137,green,40,173,41.435,0.965,0.6578142542082719,1.0
1,137,hay,4,10,2.395,1.67,0.19848437320632673,1.0
1,137,acidic,0,9,2.156,0.0,1.0,1.0
1,137,pungent,6,40,9.58,0.626,0.9477605348455015,1.0
1,137,sharp,6,19,4.551,1.318,0.2909886419641224,1.0
1,137,sour,0,18,4.311,0.0,1.0,1.0
1,137,dairy,6,26,6.227,0.964,0.6205248383816027,1.0
1,137,brandy,0,8,1.916,0.0,1.0,1.0
1,137,cognac,0,11,2.635,0.0,1.0,1.0
1,137,clean,4,20,4.79,0.835,0.7460472110819487,1.0
1,137,milky,3,13,3.114,0.964,0.6373145959137054,1.0
1,137,creamy,13,43,10.299,1.262,0.20410891056536581,1.0
1,137,odorless,0,14,3.353,0.0,1.0,1.0
1,137,apricot,3,13,3.114,0.964,0.6373145959137054,1.0
1,137,pineapple,3,29,6.946,0.432,0.9841017279390055,1.0
1,137,banana,8,28,6.706,1.193,0.3479675455612171,1.0
1,137,orris,4,11,2.635,1.518,0.25681458977356597,1.0
1,137,violet,3,9,2.156,1.392,0.36973144184477413,1.0
1,137,clove,3,9,2.156,1.392,0.36973144184477413,1.0
1,137,phenolic,6,40,9.58,0.626,0.9477605348455015,1.0
1,137,smoky,1,16,3.832,0.261,0.988300092060205,1.0
1,137,savory,2,19,4.551,0.439,0.9638005349372416,1.0
1,137,muguet,2,5,1.198,1.67,0.3449910572161287,1.0
1,137,lily,3,10,2.395,1.253,0.4431230426898233,1.0
1,137,brown,1,7,1.677,0.596,0.8545925820269555,1.0
1,137,coffee,6,24,5.748,1.044,0.5324137887087872,1.0
1,137,beefy,2,6,1.437,1.392,0.4414248961182063,1.0
1,137,tropical,12,43,10.299,1.165,0.3199849821919219,1.0
1,137,ripe,2,14,3.353,0.596,0.8859635054217714,1.0
1,137,aldehydic,10,37,8.862,1.128,0.3889367122395977,1.0
1,137,mushroom,5,17,4.072,1.228,0.3854393072990145,1.0
1,137,vegetable,8,45,10.778,0.742,0.8863427219407977,1.0
1,137,natural,3,9,2.156,1.392,0.36973144184477413,1.0
1,137,animal,5,28,6.706,0.746,0.8420991202937318,1.0
1,137,musk,10,34,8.143,1.228,0.27986355910807886,1.0
1,137,hawthorn,2,5,1.198,1.67,0.3449910572161287,1.0
1,137,anisic,4,12,2.874,1.392,0.31800413068233685,1.0
1,137,vanilla,3,17,4.072,0.737,0.815216808531804,1.0
1,137,meaty,10,39,9.341,1.071,0.4636829025451806,1.0
1,137,caramellic,3,21,5.03,0.596,0.9135069446168341,1.0
1,137,popcorn,1,5,1.198,0.835,0.747035076756408,1.0
1,137,fishy,0,12,2.874,0.0,1.0,1.0
1,137,almond,4,10,2.395,1.67,0.19848437320632673,1.0
1,137,warm,4,13,3.114,1.285,0.3802134972729204,1.0
1,137,ketonic,4,12,2.874,1.392,0.31800413068233685,1.0
1,137,mint,4,11,2.635,1.518,0.25681458977356597,1.0
1,137,chemical,1,6,1.437,0.696,0.8081571128840485,1.0
1,137,lemon,3,12,2.874,1.044,0.5779835731504472,1.0
1,137,metallic,6,26,6.227,0.964,0.6205248383816027,1.0
1,137,onion,5,30,7.185,0.696,0.8846183381093604,1.0
1,137,garlic,2,19,4.551,0.439,0.9638005349372416,1.0
1,137,horseradish,2,5,1.198,1.67,0.3449910572161287,1.0
1,137,sulfurous,9,46,11.017,0.817,0.8165421581882063,1.0
1,137,geranium,2,11,2.635,0.759,0.7830784666530679,1.0
1,137,lavender,1,7,1.677,0.596,0.8545925820269555,1.0
1,137,estery,0,13,3.114,0.0,1.0,1.0
1,137,alliaceous,3,16,3.832,0.783,0.7792956151231613,1.0
1,137,cabbage,2,9,2.156,0.928,0.6758015994430155,1.0
1,137,aromatic,1,6,1.437,0.696,0.8081571128840485,1.0
1,137,peach,5,16,3.832,1.305,0.3310461185429656,1.0
1,137,bergamot,0,5,1.198,0.0,1.0,1.0
1,137,brothy,1,5,1.198,0.835,0.747035076756408,1.0
1,137,tomato,0,5,1.198,0.0,1.0,1.0
1,137,grapefruit,3,10,2.395,1.253,0.4431230426898233,1.0
1,137,ozone,2,5,1.198,1.67,0.3449910572161287,1.0
1,137,anise,2,6,1.437,1.392,0.4414248961182063,1.0
1,137,cooked,1,6,1.437,0.696,0.8081571128840485,1.0
1,137,raspberry,3,7,1.677,1.789,0.22112639134720566,1.0
1,137,gasoline,0,5,1.198,0.0,1.0,1.0
1,137,rum,0,7,1.677,0.0,1.0,1.0
1,137,lactonic,4,11,2.635,1.518,0.25681458977356597,1.0
1,137,weedy,1,5,1.198,0.835,0.747035076756408,1.0
1,137,strawberry,4,12,2.874,1.392,0.31800413068233685,1.0
2,72,ethereal,19,33,4.154,4.574,1.6739205647555632e-10,4.6534991700204656e-08
2,72,alcoholic,10,14,1.762,5.675,3.6824975266373664e-07,4.387432767450805e-05
2,72,medicinal,11,22,2.769,3.972,1.3704184783535134e-05,0.0009755082818842019
2,72,fermented,10,22,2.769,3.611,0.00010171780335152467,0.004712924888620643
2,72,chocolate,9,19,2.392,3.763,0.00016008711488080197,0.0063577454195518504
2,72,fishy,6,12,1.51,3.972,0.001622106214774003,0.039789311268279955
2,72,smoky,7,16,2.014,3.476,0.001695155154843846,0.04039312568970764
2,72,pungent,12,40,5.035,2.383,0.0019648227176357613,0.04428816612184392
2,72,winey,9,26,3.273,2.75,0.0025677335244591415,0.054909993830741646
2,72,nutty,13,50,6.294,2.066,0.0052480640826494595,0.1042115582126107
2,72,solvent,4,8,1.007,3.972,0.01092873294141174,0.16571933223886168
2,72,cocoa,7,23,2.895,2.418,0.017368044194916263,0.22632732591500254
2,72,phenolic,10,40,5.035,1.986,0.01952989332808278,0.24615964877663787
2,72,camphoreous,7,24,3.021,2.317,0.02207543155546185,0.2615814537154272
2,72,musty,11,50,6.294,1.748,0.036599135246293615,0.3768355406840602
2,72,leathery,3,7,0.881,3.405,0.04609120133009099,0.43396209477354114
2,72,burnt,6,22,2.769,2.167,0.04631010363890307,0.43396209477354114
2,72,rum,3,7,0.881,3.405,0.04609120133009099,0.43396209477354114
2,72,brandy,3,8,1.007,2.979,0.06718868236329856,0.5425184856620332
2,72,estery,4,13,1.636,2.444,0.0681951231218634,0.5425184856620332
2,72,garlic,5,19,2.392,2.091,0.07755105669167117,0.5879780116441251
2,72,ripe,4,14,1.762,2.27,0.08661834513636008,0.6392893791480028
2,72,earthy,8,39,4.909,1.63,0.10192065953071608,0.7001788480738766
2,72,hazelnut,3,10,1.259,2.383,0.11972935698634565,0.7792007852765396
2,72,tomato,2,5,0.629,3.178,0.12145815597835748,0.7792007852765396
2,72,pine,4,16,2.014,1.986,0.129804388038442,0.8008515259666031
2,72,bready,3,11,1.385,2.167,0.1502700633104163,0.857235800199904
2,72,onion,6,30,3.776,1.589,0.16282267823259927,0.8992987658674689
2,72,cooked,2,6,0.755,2.648,0.1677246378990937,0.9142637124695696
2,72,grape,3,12,1.51,1.986,0.1830065066904659,0.9479964383841526
2,72,ketonic,3,12,1.51,1.986,0.1830065066904659,0.9479964383841526
2,72,terpenic,2,15,1.888,1.059,0.5830606760714467,1.0
2,72,peppery,1,7,0.881,1.135,0.6121149681244362,1.0
2,72,herbal,6,90,11.329,0.53,0.9839760977659641,1.0
2,72,orange,1,28,3.524,0.284,0.9790460366498794,1.0
2,72,minty,3,28,3.524,0.851,0.7091404611506416,1.0
2,72,spicy,5,56,7.049,0.709,0.8626460157878273,1.0
2,72,mentholic,1,9,1.133,0.883,0.7047516419016844,1.0
2,72,balsamic,3,38,4.783,0.627,0.8817646599246848,1.0
2,72,oily,6,66,8.308,0.722,0.8686551183254001,1.0
2,72,sweet,30,250,31.469,0.953,0.6903625701919469,1.0
2,72,soapy,1,16,2.014,0.497,0.8873311366960851,1.0
2,72,honey,0,15,1.888,0.0,1.0,1.0
2,72,fatty,5,108,13.594,0.368,0.999376290481119,1.0
2,72,citrus,3,76,9.566,0.314,0.9984518016116285,1.0
2,72,floral,4,154,19.385,0.206,0.9999998600923863,1.0
2,72,coconut,1,24,3.021,0.331,0.9631291487007838,1.0
2,72,waxy,2,96,12.084,0.166,0.9999879611483488,1.0
2,72,pear,2,21,2.643,0.757,0.7669033105816123,1.0
2,72,fruity,26,198,24.923,1.043,0.4353751095843951,1.0
2,72,apple,7,43,5.413,1.293,0.2889320725824772,1.0
2,72,cheesy,3,42,5.287,0.567,0.9204521729822083,1.0
2,72,buttery,1,25,3.147,0.318,0.9679734941269582,1.0
2,72,powdery,4,49,6.168,0.649,0.8908661453095074,1.0
2,72,roasted,6,33,4.154,1.444,0.22460366762165934,1.0
2,72,woody,13,81,10.196,1.275,0.1994859388898872,1.0
2,72,grassy,1,11,1.385,0.722,0.7754979283740708,1.0
2,72,rummy,2,8,1.007,1.986,0.26610778924782685,1.0
2,72,cooling,0,11,1.385,0.0,1.0,1.0
2,72,fresh,11,104,13.091,0.84,0.7993233700786048,1.0
2,72,potato,3,15,1.888,1.589,0.2896119130713881,1.0
2,72,green,17,173,21.776,0.781,0.9286443226146006,1.0
2,72,dry,2,20,2.517,0.794,0.7420306332546998,1.0
2,72,hay,1,10,1.259,0.794,0.7425098688698526,1.0
2,72,acidic,0,9,1.133,0.0,1.0,1.0
2,72,sharp,4,19,2.392,1.673,0.20759986563983926,1.0
2,72,sour,1,18,2.266,0.441,0.9146450660694705,1.0
2,72,dairy,2,26,3.273,0.611,0.862584626537424,1.0
2,72,cognac,2,11,1.385,1.444,0.41262927382767073,1.0
2,72,clean,1,20,2.517,0.397,0.9354069414864709,1.0
2,72,milky,1,13,1.636,0.611,0.829471039100335,1.0
2,72,creamy,2,43,5.413,0.37,0.9812402185423712,1.0
2,72,odorless,0,14,1.762,0.0,1.0,1.0
2,72,apricot,2,13,1.636,1.222,0.5023909009813055,1.0
2,72,pineapple,2,29,3.65,0.548,0.9013931136464917,1.0
2,72,banana,4,28,3.524,1.135,0.47848387168129036,1.0
2,72,orris,0,11,1.385,0.0,1.0,1.0
2,72,violet,0,9,1.133,0.0,1.0,1.0
2,72,clove,1,9,1.133,0.883,0.7047516419016844,1.0
2,72,cinnamon,0,9,1.133,0.0,1.0,1.0
2,72,savory,3,19,2.392,1.254,0.4361276639726709,1.0
2,72,muguet,0,5,0.629,0.0,1.0,1.0
2,72,lily,0,10,1.259,0.0,1.0,1.0
2,72,rose,0,50,6.294,0.0,1.0,1.0
2,72,brown,1,7,0.881,1.135,0.6121149681244362,1.0
2,72,coffee,3,24,3.021,0.993,0.6014006863453567,1.0
2,72,beefy,0,6,0.755,0.0,1.0,1.0
2,72,tropical,5,43,5.413,0.924,0.6525075492126131,1.0
2,72,aldehydic,2,37,4.657,0.429,0.9610355117238908,1.0
2,72,mushroom,2,17,2.14,0.935,0.6538877364692686,1.0
2,72,vegetable,7,45,5.664,1.236,0.3326494264361292,1.0
2,72,cucumber,0,12,1.51,0.0,1.0,1.0
2,72,natural,1,9,1.133,0.883,0.7047516419016844,1.0
2,72,animal,2,28,3.524,0.567,0.8897369666417547,1.0
2,72,musk,0,34,4.28,0.0,1.0,1.0
2,72,hawthorn,0,5,0.629,0.0,1.0,1.0
2,72,anisic,0,12,1.51,0.0,1.0,1.0
2,72,vanilla,3,17,2.14,1.402,0.3634071343313643,1.0
2,72,meaty,7,39,4.909,1.426,0.20705727942301758,1.0
2,72,caramellic,2,21,2.643,0.757,0.7669033105816123,1.0
2,72,popcorn,0,5,0.629,0.0,1.0,1.0
2,72,almond,1,10,1.259,0.794,0.7425098688698526,1.0
2,72,tea,0,6,0.755,0.0,1.0,1.0
2,72,warm,1,13,1.636,0.611,0.829471039100335,1.0
2,72,hyacinth,0,7,0.881,0.0,1.0,1.0
2,72,tobacco,0,11,1.385,0.0,1.0,1.0
2,72,coumarinic,1,10,1.259,0.794,0.7425098688698526,1.0
2,72,mint,1,11,1.385,0.722,0.7754979283740708,1.0
2,72,chemical,0,6,0.755,0.0,1.0,1.0
2,72,cherry,0,15,1.888,0.0,1.0,1.0
2,72,chicken,0,12,1.51,0.0,1.0,1.0
2,72,lemon,0,12,1.51,0.0,1.0,1.0
2,72,metallic,1,26,3.273,0.306,0.9721890488305396,1.0
2,72,horseradish,1,5,0.629,1.589,0.4909383707538145,1.0
2,72,sulfurous,5,46,5.79,0.864,0.7136934051074788,1.0
2,72,geranium,0,11,1.385,0.0,1.0,1.0
2,72,lavender,0,7,0.881,0.0,1.0,1.0
2,72,alliaceous,3,16,2.014,1.49,0.32649057269437576,1.0
2,72,cabbage,0,9,1.133,0.0,1.0,1.0
2,72,aromatic,1,6,0.755,1.324,0.5555811173247587,1.0
2,72,jasmine,0,13,1.636,0.0,1.0,1.0
2,72,peach,0,16,2.014,0.0,1.0,1.0
2,72,bergamot,0,5,0.629,0.0,1.0,1.0
2,72,melon,1,19,2.392,0.418,0.9257381260748823,1.0
2,72,brothy,1,5,0.629,1.589,0.4909383707538145,1.0
2,72,grapefruit,0,10,1.259,0.0,1.0,1.0
2,72,ozone,0,5,0.629,0.0,1.0,1.0
2,72,anise,0,6,0.755,0.0,1.0,1.0
2,72,amber,0,8,1.007,0.0,1.0,1.0
2,72,leafy,0,13,1.636,0.0,1.0,1.0
2,72,jammy,0,6,0.755,0.0,1.0,1.0
2,72,raspberry,0,7,0.881,0.0,1.0,1.0
2,72,berry,4,21,2.643,1.513,0.265527931103847,1.0
2,72,gasoline,0,5,0.629,0.0,1.0,1.0
2,72,plum,2,11,1.385,1.444,0.41262927382767073,1.0
2,72,jasmin,0,17,2.14,0.0,1.0,1.0
2,72,lactonic,1,11,1.385,0.722,0.7754979283740708,1.0
2,72,weedy,1,5,0.629,1.589,0.4909383707538145,1.0
2,72,strawberry,1,12,1.51,0.662,0.8043110284757943,1.0
3,110,phenolic,21,40,7.692,2.73,9.075393434043235e-07,9.461097654990074e-05
3,110,spicy,24,56,10.769,2.229,1.4657432132596954e-05,0.0009755082818842019
3,110,roasted,17,33,6.346,2.679,1.6817492429379904e-05,0.0010018420490073457
