cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,96,floral,46,153,27.766,1.657,9.64704522684829e-06,0.0007640459819663846
0,96,hyacinth,5,7,1.27,3.936,0.002773466203444291,0.059367168462915634
0,96,balsamic,14,38,6.896,2.03,0.00360363743901775,0.07318156030005277
0,96,amber,5,8,1.452,3.444,0.0063327423930253455,0.11398936307445622
0,96,musk,12,34,6.17,1.945,0.010637473600024348,0.16849758182438568
0,96,sweet,54,239,43.372,1.245,0.010965400152347846,0.17028621413057832
0,96,animal,10,28,5.081,1.968,0.01805731619750077,0.23835657380701017
0,96,tobacco,5,11,1.996,2.505,0.03292412074976155,0.3523770761325831
0,96,honey,6,15,2.722,2.204,0.037843273231843375,0.3779037858630683
0,96,muguet,3,5,0.907,3.306,0.04387700885561378,0.41369751206721567
0,96,rose,14,50,9.074,1.543,0.04872010660747645,0.4296041444793679
0,96,tea,3,6,1.089,2.755,0.07632554139460947,0.5481882072915989
0,96,woody,18,73,13.248,1.359,0.08506791260487293,0.585859015504864
0,96,dry,6,19,3.448,1.74,0.11051798109320093,0.6785290002001174
0,96,cherry,5,15,2.722,1.837,0.11682472211253868,0.700948332675232
0,96,plum,4,11,1.996,2.004,0.12038397001497177,0.7048024197980282
0,96,powdery,12,48,8.711,1.378,0.137550549686613,0.7578870180343089
0,96,hay,3,8,1.452,2.066,0.16238678581868216,0.8062262036564924
0,96,lemon,4,12,2.178,1.837,0.15634718988657367,0.8062262036564924
0,96,fresh,21,97,17.603,1.193,0.197584164507569,0.9151266566666353
0,96,violet,3,9,1.633,1.837,0.21281954090993288,0.9469273955093642
0,96,cinnamon,3,9,1.633,1.837,0.21281954090993288,0.9469273955093642
0,96,almond,3,9,1.633,1.837,0.21281954090993288,0.9469273955093642
0,96,ozone,2,5,0.907,2.204,0.22476031790278128,0.9674465857554498
0,96,herbal,11,85,15.425,0.713,0.9392168181894947,1.0
0,96,orange,5,28,5.081,0.984,0.5972226871316831,1.0
0,96,peppery,1,7,1.27,0.787,0.7560122219847273,1.0
0,96,terpenic,2,10,1.815,1.102,0.5676941412475576,1.0
0,96,pine,2,11,1.996,1.002,0.622582786483258,1.0
0,96,minty,5,30,5.444,0.918,0.6631994825886138,1.0
0,96,bready,0,8,1.452,0.0,1.0,1.0
0,96,spicy,12,54,9.8,1.225,0.2571417934185907,1.0
0,96,mentholic,1,9,1.633,0.612,0.8375729432433019,1.0
0,96,alcoholic,0,8,1.452,0.0,1.0,1.0
0,96,solvent,0,8,1.452,0.0,1.0,1.0
0,96,winey,0,22,3.992,0.0,1.0,1.0
0,96,fermented,1,16,2.904,0.344,0.9614355016224782,1.0
0,96,oily,6,63,11.433,0.525,0.9859175681970892,1.0
0,96,citrus,14,75,13.611,1.029,0.5043257914229192,1.0
0,96,fatty,8,104,18.873,0.424,0.9997564021282836,1.0
