cluster,theme,tag,obs,n,tag_total,exp,fold,p,q,stars
C1,Acid / Dairy / Cheese,acidic,7,35,8,0.529,13.225,2.3196697653674832e-08,6.123928180570156e-06,***
C1,Acid / Dairy / Cheese,sour,13,35,17,1.125,11.558,8.498067685533073e-14,6.730469606942193e-11,***
C1,Acid / Dairy / Cheese,cheesy,13,35,39,2.58,5.038,1.167367088924022e-07,1.913966426223209e-05,***
C2,Roasted / Phenolic / Spice,hazelnut,6,79,10,1.493,4.018,0.0011864462268289253,0.033559478987446746,*
C2,Roasted / Phenolic / Spice,warm,7,79,12,1.792,3.906,0.0005464385735430847,0.01881649348896187,*
C2,Roasted / Phenolic / Spice,anisic,7,79,12,1.792,3.906,0.0005464385735430847,0.01881649348896187,*
C2,Roasted / Phenolic / Spice,potato,8,79,14,2.091,3.826,0.00025037727940206684,0.01135771162827854,*
C2,Roasted / Phenolic / Spice,coffee,10,79,21,3.136,3.189,0.0002826944463796784,0.011783894817510803,*
C2,Roasted / Phenolic / Spice,vanilla,8,79,17,2.539,3.151,0.0013766318816198532,0.03634308167476412,*
C2,Roasted / Phenolic / Spice,phenolic,14,79,36,5.376,2.604,0.0002232830614180869,0.01135771162827854,*
C2,Roasted / Phenolic / Spice,nutty,16,79,45,6.72,2.381,0.00025812980973360315,0.01135771162827854,*
C2,Roasted / Phenolic / Spice,spicy,17,79,54,8.064,2.108,0.0008667852588485397,0.02745975700032174,*
C3,Floral / Balsamic,floral,46,96,153,27.766,1.657,9.64704522684829e-06,0.0007640459819663846,***
C4,Fruity / Fatty / Aldehydic,cucumber,10,172,12,3.902,2.563,0.00037329592289643006,0.01478251854669863,*
C4,Fruity / Fatty / Aldehydic,coconut,18,172,23,7.478,2.407,5.495450583132568e-06,0.0004835996513156659,***
C4,Fruity / Fatty / Aldehydic,melon,14,172,19,6.178,2.266,0.0002195301117891253,0.01135771162827854,*
C4,Fruity / Fatty / Aldehydic,peach,11,172,15,4.877,2.255,0.0012310215643815123,0.03361962341345372,*
C4,Fruity / Fatty / Aldehydic,oily,39,172,63,20.484,1.904,3.026473504494095e-07,3.9949450259322055e-05,***
C4,Fruity / Fatty / Aldehydic,waxy,58,172,96,31.214,1.858,3.9477128307350107e-10,1.563294280971064e-07,***
C4,Fruity / Fatty / Aldehydic,musk,20,172,34,11.055,1.809,0.0009936323188476765,0.030267569097206147,*
C4,Fruity / Fatty / Aldehydic,citrus,42,172,75,24.386,1.722,4.90664594740577e-06,0.0004835996513156659,***
C4,Fruity / Fatty / Aldehydic,fatty,57,172,104,33.815,1.686,1.2083121377671773e-07,1.913966426223209e-05,***
C5,Fermented / Solvent,solvent,6,62,8,0.938,6.399,4.799688261327581e-05,0.003218511048154968,**
C5,Fermented / Solvent,alcoholic,5,62,8,0.938,5.333,0.0008047388523035765,0.026556382126018022,*
C5,Fermented / Solvent,ethereal,12,62,23,2.696,4.452,1.1734036755526265e-06,0.0001327622444339543,***
C5,Fermented / Solvent,garlic,8,62,17,1.992,4.015,0.00023846869602768434,0.01135771162827854,*
C5,Fermented / Solvent,sulfurous,13,62,39,4.571,2.844,0.00016733500082265467,0.01019456312704173,*
C6,Smoky,smoky,9,85,14,2.25,4.001,4.8765318911438915e-05,0.003218511048154968,**
C6,Smoky,medicinal,9,85,19,3.053,2.948,0.0011113881850006583,0.03260072009335264,*
C6,Smoky,phenolic,14,85,36,5.784,2.42,0.0005186332356890529,0.01881649348896187,*
