group_id,n_molecules,n_receptors,shared_descriptors,n_shared,n_union,consensus
G041,2,12,"alliaceous, coffee, sulfurous",3,16,0.1875
G040,2,10,-,0,10,0.0
G013,3,9,"fatty, waxy",2,17,0.11764705882352941
G016,4,9,-,0,14,0.0
G064,2,8,"earthy, green, musty, nutty",4,10,0.4
G032,3,8,"fatty, fruity",2,19,0.10526315789473684
G007,6,8,-,0,26,0.0
G009,7,8,-,0,36,0.0
G031,2,7,"citrus, fresh",2,8,0.25
G048,2,7,"fruity, sweet",2,17,0.11764705882352941
G057,2,7,"floral, fruity",2,12,0.16666666666666666
G002,10,7,-,0,38,0.0
G026,3,7,-,0,16,0.0
G054,2,6,"cocoa, musty, nutty, roasted",4,15,0.26666666666666666
G053,2,6,"ethereal, fruity, pineapple",3,10,0.3
G022,3,6,musk,1,10,0.1
G012,4,6,-,0,17,0.0
G021,3,6,-,0,21,0.0
G039,2,5,floral,1,7,0.14285714285714285
G046,2,5,floral,1,5,0.2
G051,2,5,caramellic,1,16,0.0625
G059,2,5,citrus,1,7,0.14285714285714285
G062,2,5,green,1,10,0.1
G018,2,5,-,0,13,0.0
G027,3,5,-,0,9,0.0
G024,2,4,"musk, powdery",2,5,0.4
G058,2,4,sweet,1,14,0.07142857142857142
G065,2,4,fruity,1,13,0.07692307692307693
G008,7,4,-,0,32,0.0
G010,6,4,-,0,20,0.0
G023,3,4,-,0,19,0.0
G028,2,4,-,0,10,0.0
G029,3,3,"smoky, woody",2,17,0.11764705882352941
G004,12,3,-,0,42,0.0
G011,6,3,-,0,20,0.0
G063,2,2,"camphoreous, earthy, herbal, pine, sweet, woody",6,13,0.46153846153846156
G033,3,2,"fatty, oily",2,11,0.18181818181818182
G014,4,2,green,1,24,0.041666666666666664
G020,4,2,roasted,1,23,0.043478260869565216
G052,2,2,fruity,1,10,0.1
G003,12,2,-,0,45,0.0
G019,3,2,-,0,20,0.0
G036,3,2,-,0,14,0.0
G034,2,1,"cocoa, coffee, musty, potato",4,18,0.2222222222222222
G035,2,1,"acidic, cheesy, fruity",3,12,0.25
G030,3,1,"animal, musk",2,9,0.2222222222222222
G042,2,1,"caramellic, sweet",2,5,0.4
G061,2,1,"caramellic, sweet",2,9,0.2222222222222222
G015,2,1,sweet,1,10,0.1
G001,16,1,-,0,58,0.0
G005,9,1,-,0,42,0.0
G006,6,1,-,0,12,0.0
G037,2,1,-,0,11,0.0
