molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0011,2,G001,16,CCC(CC)O,AQIXEPGDORPWBJ-UHFFFAOYSA-N,"ethereal, fermented, fruity, sweet, herbal, nutty, oily","frozenset({'oily', 'sweet', 'nutty', 'fermented', 'herbal', 'fruity', 'ethereal'})",7
SML0115,2,G001,16,C1=CN=CC=N1,KYQCOXFCLRTKLS-UHFFFAOYSA-N,"musty, nutty, roasted, sweet, hazelnut, pungent","frozenset({'musty', 'sweet', 'nutty', 'hazelnut', 'pungent', 'roasted'})",6
SML0157,2,G001,16,CCCCS,WQAQPCDUOCURKW-UHFFFAOYSA-N,"beefy, cheesy, garlic, meaty, onion, roasted, savory, sulfurous, fatty, coffee","frozenset({'fatty', 'meaty', 'savory', 'cheesy', 'onion', 'coffee', 'garlic', 'roasted', 'sulfurous', 'beefy'})",10
SML0165,2,G001,16,CC(C)C12CCC(O1)(CC2)C,RFFOTVCVTJUTAD-UHFFFAOYSA-N,"camphoreous, fresh, pine, herbal, terpenic, cooling, green, minty","frozenset({'camphoreous', 'minty', 'pine', 'green', 'terpenic', 'herbal', 'cooling', 'fresh'})",8
SML0213,2,G001,16,CCCCCOC(=O)CCC,CFNJLPHOBMVMNS-UHFFFAOYSA-N,"sweet, banana, fruity, pineapple, cherry, tropical","frozenset({'sweet', 'tropical', 'cherry', 'banana', 'fruity', 'pineapple'})",6
SML0251,2,G001,16,CC1=CC[C@@H](C=C1)C(C)C,OGLDWXZKYODSOB-SNVBAGLBSA-N,"citrus, fresh, spicy, terpenic, medicinal","frozenset({'spicy', 'citrus', 'terpenic', 'medicinal', 'fresh'})",5
SML0298,2,G001,16,CC(C)(CCOC)S,XVHGKKGBUDMTIQ-UHFFFAOYSA-N,"sulfurous, sweet, tropical, minty, grapefruit, peach","frozenset({'minty', 'sweet', 'peach', 'grapefruit', 'tropical', 'sulfurous'})",6
SML0312,2,G001,16,CCCSSCCC,ALVPFGSHPUPROW-UHFFFAOYSA-N,"alliaceous, garlic, green, onion, metallic, sulfurous, tropical, burnt, fresh, earthy","frozenset({'metallic', 'tropical', 'earthy', 'alliaceous', 'onion', 'green', 'garlic', 'burnt', 'sulfurous', 'fresh'})",10
SML0313,2,G001,16,CCCSSSCCC,GAZXPZNJTZIGBO-UHFFFAOYSA-N,"green, onion, vegetable, sulfurous, garlic, alliaceous, tropical, pungent","frozenset({'tropical', 'alliaceous', 'pungent', 'onion', 'green', 'garlic', 'sulfurous', 'vegetable'})",8
SML0319,2,G001,16,CCOC(=O)CC(C)C,PPXUHEORWJQRHJ-UHFFFAOYSA-N,"apple, banana, buttery, fruity, winey, sweet, estery, pineapple, orange, green, sharp","frozenset({'sharp', 'sweet', 'orange', 'winey', 'green', 'apple', 'banana', 'estery', 'buttery', 'fruity', 'pineapple'})",11
