molecule,n_receptors,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0000,11,1,CC1=CC[C@H](CC1)C(=C)C,XMGQYMWWDOXHJM-SNVBAGLBSA-N,"herbal, orange, peppery, terpenic, pine","frozenset({'orange', 'peppery', 'pine', 'terpenic', 'herbal'})",5
SML0001,4,1,CC1=CC[C@@H](CC1=O)C(=C)C,ULDHMXUKGWMISQ-VIFPVBQESA-N,"minty, bready, spicy","frozenset({'bready', 'minty', 'spicy'})",3
SML0002,3,1,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,NOOLISFMXDJSKH-AEJSXWLSSA-N,mentholic,frozenset({'mentholic'}),1
SML0003,3,1,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,"alcoholic, solvent, winey, sweet, fermented, oily, balsamic","frozenset({'oily', 'sweet', 'winey', 'fermented', 'solvent', 'alcoholic', 'balsamic'})",7
SML0004,6,1,CCCCOCC(C)O,RWNUSVWFHDHRCJ-UHFFFAOYSA-N,,frozenset(),0
SML0005,17,1,CCCCCCCCCCCCO,LQZZUXJYWNFBMV-UHFFFAOYSA-N,"citrus, fatty, floral, oily, waxy, honey, coconut, earthy, soapy","frozenset({'soapy', 'fatty', 'oily', 'earthy', 'coconut', 'citrus', 'waxy', 'honey', 'floral'})",9
SML0010,5,1,CCCC(=O)CC,PFCHFHIRKBAQGU-UHFFFAOYSA-N,"ethereal, grape, winey, sweet, rummy, fruity, waxy","frozenset({'sweet', 'rummy', 'winey', 'waxy', 'grape', 'fruity', 'ethereal'})",7
SML0012,2,1,CC1=CCC2CC1C2(C)C,GRWFGVWFFZKLTI-UHFFFAOYSA-N,"pine, sweet, herbal, terpenic, camphoreous, cooling, fresh, woody, earthy","frozenset({'camphoreous', 'sweet', 'earthy', 'pine', 'terpenic', 'woody', 'herbal', 'cooling', 'fresh'})",9
SML0014,1,1,CC1(C2CCC(=C)C1C2)C,WTARULDDTDQWMU-UHFFFAOYSA-N,"dry, pine, woody, spicy, peppery, herbal, terpenic, camphoreous, cooling, fresh, green, minty, hay","frozenset({'spicy', 'camphoreous', 'dry', 'minty', 'peppery', 'pine', 'green', 'terpenic', 'woody', 'herbal', 'cooling', 'hay', 'fresh'})",13
SML0016,9,1,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,"buttery, cheesy, sour, fruity, dairy, sharp","frozenset({'sharp', 'buttery', 'cheesy', 'dairy', 'fruity', 'sour'})",6
SML0017,89,1,C1=CC=C2C(=C1)C=CC(=O)O2,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,"sweet, hay","frozenset({'hay', 'sweet'})",2
SML0018,25,1,CCCCCCCCCCCC(=O)O,POULHZVOKOAJMA-UHFFFAOYSA-N,"fatty, fresh, waxy, coconut","frozenset({'waxy', 'fatty', 'coconut', 'fresh'})",4
SML0019,9,1,CCCCCCCCCC(=O)OCC,RGXWDWUGBIJHDO-UHFFFAOYSA-N,"cognac, fatty, nutty, sweet, winey, grape, brandy, fruity, oily, apple, waxy","frozenset({'fatty', 'oily', 'sweet', 'nutty', 'winey', 'brandy', 'waxy', 'grape', 'apple', 'cognac', 'fruity'})",11
SML0023,11,1,CCCCCCCC(=O)OCC,YYZUSRORWSJGET-UHFFFAOYSA-N,"fruity, sweet, winey, musty, banana, brandy, apricot, pineapple, pear, creamy, dairy, waxy","frozenset({'pear', 'musty', 'sweet', 'apricot', 'winey', 'brandy', 'waxy', 'banana', 'creamy', 'dairy', 'fruity', 'pineapple'})",12
SML0025,8,1,COC1=C(C=CC(=C1)CC=C)O,RRAFCDWBNXTKKO-UHFFFAOYSA-N,"dry, pungent, smoky, spicy, sweet, cinnamon, savory, phenolic, woody, clove","frozenset({'clove', 'spicy', 'smoky', 'dry', 'sweet', 'phenolic', 'savory', 'pungent', 'woody', 'cinnamon'})",10
SML0026,47,1,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,CRDAMVZIKSXKFV-YFVJMOTDSA-N,"floral, oily, sweet, muguet, lily, waxy","frozenset({'oily', 'sweet', 'waxy', 'muguet', 'lily', 'floral'})",6
SML0027,31,1,CC(=CCC/C(=C/CO)/C)C,GLZPCOQZEFWAFX-JXMROGBWSA-N,"floral, rose, sweet, fruity, citrus, waxy","frozenset({'sweet', 'citrus', 'waxy', 'rose', 'floral', 'fruity'})",6
SML0029,6,1,CC(C)CC(=O)O,GWYFCOCPABKNJV-UHFFFAOYSA-N,"cheesy, fruity, sour, pungent, ripe, fatty, acidic, tropical, dairy","frozenset({'fatty', 'tropical', 'acidic', 'cheesy', 'pungent', 'ripe', 'dairy', 'fruity', 'sour'})",9
SML0031,55,1,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,SDQFDHOLCGWZPU-UHFFFAOYSA-N,"floral, fresh, green","frozenset({'floral', 'green', 'fresh'})",3
SML0032,8,1,CC(=CCCC(C)(C=C)O)C,CDOSHBSSFJOMGT-UHFFFAOYSA-N,"citrus, floral, woody, sweet, rose, green","frozenset({'sweet', 'citrus', 'green', 'rose', 'woody', 'floral'})",6
SML0033,12,1,CC(C)(CCCC1=CCC(CC1)C=O)O,ORMHZBNNECIKOH-UHFFFAOYSA-N,"aldehydic, floral, woody, muguet","frozenset({'floral', 'aldehydic', 'muguet', 'woody'})",4
