group_id,mol_a,mol_b,n_receptors,jaccard
G001,SML0011,SML0115,2,0.18181818181818182
G001,SML0011,SML0157,2,0.0
G001,SML0011,SML0165,2,0.07142857142857142
G001,SML0011,SML0213,2,0.18181818181818182
G001,SML0011,SML0251,2,0.0
G001,SML0011,SML0298,2,0.08333333333333333
G001,SML0011,SML0312,2,0.0
G001,SML0011,SML0313,2,0.0
G001,SML0011,SML0319,2,0.125
G001,SML0011,SML0353,2,0.2727272727272727
G001,SML0011,SML0468,2,0.0
G001,SML0011,SML0480,2,0.17647058823529413
G001,SML0011,SML0484,2,0.1
G001,SML0011,SML0581,2,0.15384615384615385
G001,SML0011,SML0594,2,0.07142857142857142
G001,SML0115,SML0157,2,0.06666666666666667
G001,SML0115,SML0165,2,0.0
G001,SML0115,SML0213,2,0.09090909090909091
G001,SML0115,SML0251,2,0.0
G001,SML0115,SML0298,2,0.09090909090909091
G001,SML0115,SML0312,2,0.0
G001,SML0115,SML0313,2,0.07692307692307693
G001,SML0115,SML0319,2,0.0625
G001,SML0115,SML0353,2,0.18181818181818182
G001,SML0115,SML0468,2,0.0
G001,SML0115,SML0480,2,0.05555555555555555
G001,SML0115,SML0484,2,0.0
G001,SML0115,SML0581,2,0.07692307692307693
G001,SML0115,SML0594,2,0.0
G001,SML0157,SML0165,2,0.0
G001,SML0157,SML0213,2,0.0
G001,SML0157,SML0251,2,0.0
G001,SML0157,SML0298,2,0.06666666666666667
G001,SML0157,SML0312,2,0.17647058823529413
G001,SML0157,SML0313,2,0.2
G001,SML0157,SML0319,2,0.0
G001,SML0157,SML0353,2,0.0
G001,SML0157,SML0468,2,0.1
G001,SML0157,SML0480,2,0.0
G001,SML0157,SML0484,2,0.0
G001,SML0157,SML0581,2,0.0
G001,SML0157,SML0594,2,0.0
G001,SML0165,SML0213,2,0.0
G001,SML0165,SML0251,2,0.18181818181818182
G001,SML0165,SML0298,2,0.07692307692307693
G001,SML0165,SML0312,2,0.125
G001,SML0165,SML0313,2,0.06666666666666667
G001,SML0165,SML0319,2,0.05555555555555555
G001,SML0165,SML0353,2,0.0
G001,SML0165,SML0468,2,0.0
G001,SML0165,SML0480,2,0.10526315789473684
G001,SML0165,SML0484,2,0.0
G001,SML0165,SML0581,2,0.14285714285714285
G001,SML0165,SML0594,2,0.23076923076923078
G001,SML0213,SML0251,2,0.0
G001,SML0213,SML0298,2,0.2
G001,SML0213,SML0312,2,0.06666666666666667
G001,SML0213,SML0313,2,0.07692307692307693
G001,SML0213,SML0319,2,0.3076923076923077
G001,SML0213,SML0353,2,0.18181818181818182
G001,SML0213,SML0468,2,0.0
G001,SML0213,SML0480,2,0.35714285714285715
G001,SML0213,SML0484,2,0.1111111111111111
G001,SML0213,SML0581,2,0.2727272727272727
G001,SML0213,SML0594,2,0.0
G001,SML0251,SML0298,2,0.0
G001,SML0251,SML0312,2,0.07142857142857142
G001,SML0251,SML0313,2,0.0
G001,SML0251,SML0319,2,0.0
G001,SML0251,SML0353,2,0.0
G001,SML0251,SML0468,2,0.0
G001,SML0251,SML0480,2,0.0
G001,SML0251,SML0484,2,0.125
G001,SML0251,SML0581,2,0.0
G001,SML0251,SML0594,2,0.18181818181818182
G001,SML0298,SML0312,2,0.14285714285714285
G001,SML0298,SML0313,2,0.16666666666666666
G001,SML0298,SML0319,2,0.0625
G001,SML0298,SML0353,2,0.08333333333333333
G001,SML0298,SML0468,2,0.0
G001,SML0298,SML0480,2,0.1875
G001,SML0298,SML0484,2,0.0
G001,SML0298,SML0581,2,0.16666666666666666
G001,SML0298,SML0594,2,0.07692307692307693
