group,n_molecules,n_receptors,receptors,molecule,SMILES,InChIKey,odor_tags,n_tags,unique_tags
G45,11,1,Q9Y3N9,SML0009,CCC(C)CO,QPRQEDXDYOZYLA-UHFFFAOYSA-N,leathery; fatty; winey; solvent; fermented; ethereal; cocoa; alcoholic,8,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0163,CCCCCC=O,JARKCYVAAOWBJS-UHFFFAOYSA-N,clean; fatty; leafy; fresh; green; aldehydic; woody; fruity; vegetable; grassy,10,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0166,CCCC(C)C=O,FTZILAQGHINQQR-UHFFFAOYSA-N,cheesy; green; fruity; ethereal; cocoa; vegetable,6,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0217,CC(C)CS,BDFAOUQQXJIZDG-UHFFFAOYSA-N,cooked; onion; garlic; vegetable; sulfurous,5,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0454,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,apricot; winey; oily; solvent; fermented; sweet; fruity; alcoholic,8,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0488,CCN(CC)CC,ZMANZCXQSJIPKH-UHFFFAOYSA-N,cheesy; ripe; fishy,3,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0489,CCCC=O,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,bready; musty; pungent; chocolate; malty; green; fruity; cocoa,8,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0503,CCCCOC=O,NMJJFJNHVMGPGM-UHFFFAOYSA-N,rummy; plum; brandy; rum; fruity; ethereal,6,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0521,CC(=C)[C@H]1CCC2(C(C1)O2)C,CCEFMUBVSUDRLG-IDKOKCKLSA-N,minty,1,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
G45,11,1,Q9Y3N9,SML0527,CCSCC,LJSQFQKUNVCTIA-UHFFFAOYSA-N,meaty; garlic; savory; ethereal; tomato; sulfurous,6,alcoholic; aldehydic; alliaceous; apricot; brandy; bready; cheesy; chocolate; clean; cocoa; cooked; ethereal; fatty; fermented; fishy; fresh; fruity; garlic; grassy; green; leafy; leathery; malty; meaty; minty; musty; oily; onion; plum; pungent; ripe; rum; rummy; savory; solvent; sulfurous; sweet; tomato; tropical; vegetable; winey; woody
