property,fold_change_I_over_II,ci_lo,ci_hi,class_I,class_II,summary,perm_p,perm_q,cliffs_delta
WaterAff,1.9177853644826568,1.3851362652620456,2.546859574220703,0.004137137927273515,0.002157247627337876,antilog,0.0001999600079984003,0.0008398320335932814,0.15691680652121792
TPSA,1.3000494315373208,1.105506515342581,1.3000494315373208,26.3,20.23,median,0.0001999600079984003,0.0008398320335932814,0.2036015876821439
HBD,1.678083823556362,1.458790888548131,1.9761110461751943,0.6098191214470284,0.3634020618556701,mean,0.0001999600079984003,0.0008398320335932814,0.13925517461839687
HBA,1.0785373110954508,1.0311830182604447,1.1332206906109679,1.834625322997416,1.7010309278350515,mean,0.0007998400319936012,0.0027994401119776045,0.08016329683795519
OxygenAtoms,1.1771718791766907,1.1148826812374435,1.2480805898750251,1.7596899224806202,1.4948453608247423,mean,0.0001999600079984003,0.0008398320335932814,0.152767788166973
MolWt,0.9879905483423057,0.9575391206477146,1.0178669254152157,162.23199999999997,164.204,median,0.596880623875225,0.6597101632305119,-0.04934201763499294
Tb,0.9985056558090265,0.9824025789323979,1.007945159636152,527.87,528.6600000000001,median,0.5444911017796441,0.6597101632305119,-0.0252105340670228
VP,1.0284425932158605,0.8620767360450451,1.3911991678984035,0.0002872268853638001,0.00027928334285112,antilog,0.5444911017796441,0.6597101632305119,0.0252105340670228
RotBonds,1.06167801159935,1.0012977287772358,1.1270568676209543,4.0852713178294575,3.847938144329897,mean,0.04979004199160168,0.08713257348530294,0.05179946189296465
AromaticRings,0.846626471432673,0.7629692865935923,0.9327902468336827,0.39276485788113696,0.4639175257731959,mean,0.002599480103979204,0.007798440311937612,-0.053397799621726735
RingCount,0.8745280816569667,0.7991184070527436,0.9559539709064546,0.7235142118863049,0.8273195876288659,mean,0.004199160167966407,0.011022795440911818,-0.09931671062095421
FracCSP3,1.0251891870398528,0.9905085223325021,1.0610818909344861,0.6055672693190998,0.5906883109717769,mean,0.16416716656668667,0.2513497300539892,0.022989424332028024
carboxylic acid,5.7420718816067655,3.809819121447029,12.031007751937983,0.16279069767441862,0.028350515463917526,mean,0.0001999600079984003,0.0008398320335932814,0.13444018221050108
alcohol,0.9895634081680594,0.8412486263328284,1.1601328903654486,0.19638242894056848,0.19845360824742267,mean,1.0,1.0,-0.002071179306854205
ester,1.0326614987080105,0.9364795411307039,1.1442534546680148,0.2661498708010336,0.25773195876288657,mean,0.5766846630673865,0.6597101632305119,0.008417912038146994
aldehyde,0.8622222222222222,0.7049168452248349,1.045247127384683,0.1111111111111111,0.12886597938144329,mean,0.16756648670265947,0.2513497300539892,-0.017754868270332187
ketone,0.7965735726168985,0.6636823525130109,0.9399418128332303,0.14987080103359174,0.18814432989690721,mean,0.020195960807838434,0.038555925178600646,-0.03827352886331548
ether,0.9756689731717045,0.8970406284263671,1.067499488781068,0.37467700258397935,0.38402061855670105,mean,0.6484703059388123,0.6808938212357529,-0.009343615972721703
aromatic ring,0.8883655513034378,0.8171682539772062,0.9616621842535463,0.36175710594315247,0.4072164948453608,mean,0.006998600279944011,0.01633006731986936,-0.04545938890220837
amine,1.1795105639154886,0.865867982147052,1.6709732988802755,0.05167958656330749,0.04381443298969072,mean,0.32693461307738453,0.45770845830833834,0.007865153573616772
sulfur,1.4247246022031823,1.113982199253517,1.9425064599483204,0.06976744186046512,0.04896907216494845,mean,0.009998000399920015,0.020995800839832032,0.020798369695516662
