cluster,theme,tag,obs,n,tag_total,exp,fold,p,q,stars
C1,Acid / Dairy / Cheese,acidic,9,95,9,1.495,6.021,6.929524446787008e-08,7.0681149357227484e-06,***
C1,Acid / Dairy / Cheese,sour,17,95,18,2.99,5.687,2.4101718206008543e-13,1.966700205610297e-10,***
C1,Acid / Dairy / Cheese,odorless,12,95,14,2.325,5.161,1.6251580920437836e-08,2.6522580062154546e-06,***
C1,Acid / Dairy / Cheese,cheesy,22,95,42,6.976,3.154,2.470117267475272e-08,3.3593594837663705e-06,***
C1,Acid / Dairy / Cheese,dairy,13,95,26,4.318,3.011,5.455039803761465e-05,0.002342796042036503,**
C1,Acid / Dairy / Cheese,pineapple,12,95,29,4.816,2.491,0.0010075949302683492,0.0274065821032991,*
C1,Acid / Dairy / Cheese,creamy,15,95,43,7.142,2.1,0.0018903029568530035,0.041688843588974345,*
C1,Acid / Dairy / Cheese,waxy,33,95,96,15.944,2.07,1.8276371551497682e-06,0.00011471937835401622,***
C1,Acid / Dairy / Cheese,fatty,31,95,108,17.937,1.728,0.0002995721755254042,0.010185453967863743,*
C2,Roasted / Phenolic / Spice,hazelnut,7,72,10,1.259,5.561,3.356458186554816e-05,0.0016110999295463116,**
C2,Roasted / Phenolic / Spice,potato,10,72,15,1.888,5.296,9.936604362462246e-07,8.108269159769192e-05,***
C2,Roasted / Phenolic / Spice,smoky,10,72,16,2.014,4.965,2.383150060902113e-06,0.00013890360354972315,***
C2,Roasted / Phenolic / Spice,phenolic,22,72,40,5.035,4.369,1.4199183318564835e-11,3.862177862649635e-09,***
C2,Roasted / Phenolic / Spice,medicinal,12,72,22,2.769,4.333,1.5305219810469083e-06,0.00010407549471118977,***
C2,Roasted / Phenolic / Spice,roasted,18,72,33,4.154,4.333,1.9318472613303206e-09,3.940968413113854e-07,***
C2,Roasted / Phenolic / Spice,vanilla,9,72,17,2.14,4.206,5.212893682449839e-05,0.002342796042036503,**
C2,Roasted / Phenolic / Spice,chocolate,10,72,19,2.392,4.181,1.9992269549426803e-05,0.001087579463488818,**
C2,Roasted / Phenolic / Spice,fishy,6,72,12,1.51,3.972,0.001622106214774003,0.03781824775015961,*
C2,Roasted / Phenolic / Spice,cocoa,10,72,23,2.895,3.454,0.0001617886367238028,0.006286644169839194,**
C2,Roasted / Phenolic / Spice,nutty,21,72,50,6.294,3.337,3.083905100580674e-08,3.5949522315340423e-06,***
C2,Roasted / Phenolic / Spice,coffee,10,72,24,3.021,3.31,0.00024933136435883904,0.009247926968946031,**
C2,Roasted / Phenolic / Spice,musty,16,72,50,6.294,2.542,0.00012512412680336328,0.0051050643735772215,**
C2,Roasted / Phenolic / Spice,earthy,12,72,39,4.909,2.444,0.0015300579497720332,0.036721390794528797,*
C3,Floral / Balsamic,plum,7,100,11,1.923,3.64,0.0007410853191614333,0.020871759811909783,*
C3,Floral / Balsamic,balsamic,15,100,38,6.643,2.258,0.0007417659737075781,0.020871759811909783,*
C3,Floral / Balsamic,floral,41,100,154,26.923,1.523,0.0005321721734637246,0.016702018982553822,*
C4,Jasmine,jasmine,12,119,24,4.993,2.403,0.0010933598648004085,0.028685690926124583,*
C4,Jasmine,spicy,21,119,56,11.65,1.803,0.0018428843149266277,0.041688843588974345,*
C4,Jasmine,floral,46,119,154,32.038,1.436,0.0011249290559264542,0.028685690926124583,*
C5,Fermented / Solvent,alcoholic,12,138,14,3.378,3.553,1.5252475442731905e-06,0.00010407549471118977,***
C5,Fermented / Solvent,ethereal,21,138,33,7.962,2.638,7.217505004470817e-07,6.543871204053541e-05,***
C5,Fermented / Solvent,garlic,12,138,19,4.584,2.618,0.00026375543046223884,0.009357583967703777,**
C5,Fermented / Solvent,fermented,13,138,22,5.308,2.449,0.0003672974708294887,0.011988589447874511,*
C5,Fermented / Solvent,green,56,138,173,41.738,1.342,0.001957349286689244,0.04203150047206377,*
C5,Fermented / Solvent,fruity,63,138,198,47.769,1.319,0.0013834366932541809,0.03420861641501247,*
C6,Musk / Animal,musk,18,48,34,2.853,6.309,1.340577119846686e-12,5.469554648974479e-10,***
C6,Musk / Animal,grapefruit,5,48,10,0.839,5.958,0.0006211146348581481,0.018771464520157367,*
C6,Musk / Animal,animal,10,48,28,2.35,4.256,2.840100854419103e-05,0.0014484514357537427,**
