parent,child,kind,similarity,weighted,retention,gained,lost,branch_len
node_1,node_2,ancestor,0.10526315789473684,0.2621304632091216,0.19047619047619047,17,17,0.487478
node_1,node_3,ancestor,0.3181818181818182,0.6124921810958772,0.3333333333333333,1,14,0.357385
node_2,node_4,ancestor,0.375,0.7311318178838359,0.5714285714285714,11,9,0.47319
node_2,node_5,ancestor,0.4482758620689655,0.6431805967805421,0.6190476190476191,8,8,0.737785
node_3,9606.A6NND4,extant,0.5,0.427717260976401,0.5,0,4,0.917961
node_3,node_6,ancestor,0.25,0.7354809047797964,0.875,20,1,0.547405
node_4,node_7,ancestor,0.6956521739130435,0.8656938134413875,0.6956521739130435,0,7,0.051005
node_4,node_8,ancestor,0.6129032258064516,0.8675131622881147,0.8260869565217391,8,4,0.0598684
node_5,node_9,ancestor,0.6923076923076923,0.7854434439800227,0.8571428571428571,5,3,0.401732
node_5,node_10,ancestor,0.28,0.6166105878395864,0.3333333333333333,4,14,0.395896
node_6,node_11,ancestor,0.5666666666666667,0.7314512648581921,0.6296296296296297,3,10,0.283293
node_6,node_12,ancestor,0.37037037037037035,0.6329744497927705,0.37037037037037035,0,17,0.129691
node_7,node_13,ancestor,0.7894736842105263,0.9286806711555954,0.9375,3,1,0.0334718
node_7,node_14,ancestor,0.7222222222222222,0.8653598963716539,0.8125,2,3,0.0766486
node_8,node_15,ancestor,0.7241379310344828,0.8345351984743019,0.7777777777777778,2,6,0.0569289
node_8,9606.Q8NGF1,extant,0.10810810810810811,0.5391670599377917,0.14814814814814814,10,23,0.636851
node_9,node_16,ancestor,0.8148148148148148,0.8689544606822064,0.9565217391304348,4,1,0.0494524
node_9,9606.Q8NH54,extant,0.92,0.681144230691502,1.0,2,0,0.228561
node_10,node_17,ancestor,0.8333333333333334,0.7513942234313703,0.9090909090909091,1,1,0.121988
node_10,9606.Q8NH76,extant,0.16666666666666666,0.5267654795507358,0.18181818181818182,1,9,0.330158
node_11,node_18,ancestor,0.4222222222222222,0.7054166129938337,0.95,25,1,0.167432
node_11,node_19,ancestor,0.1,0.5798189499712569,0.1,0,18,0.412557
node_12,node_20,ancestor,0.5,0.7313727077002287,1.0,10,0,0.0605638
node_12,node_21,ancestor,0.7,0.7636331776481347,0.7,0,3,0.0520945
node_13,node_22,ancestor,0.65,0.8495965214007889,0.7222222222222222,2,5,0.101611
node_13,9606.Q8NH57,extant,0.0,0.2329350034107556,0.0,3,18,0.584382
node_14,node_23,ancestor,0.5714285714285714,0.7912371889954859,0.8,6,3,0.106158
node_14,node_24,ancestor,0.75,0.8772119018970344,1.0,5,0,0.124722
node_15,node_25,ancestor,0.5333333333333333,0.843781386107089,0.6956521739130435,7,7,0.0961304
node_15,node_26,ancestor,0.10256410256410256,0.33329509666393736,0.17391304347826086,16,19,1.23734
node_16,node_27,ancestor,0.7647058823529411,0.7117864012246317,1.0,8,0,0.118276
node_16,9606.Q8NGH5,extant,0.038461538461538464,0.19630743961981725,0.038461538461538464,0,25,0.111157
