pid,OR_class,n_ligands
9606.A0A096LPK9,Class II,1
9606.A0A0G2JNH3,Class II,1
9606.A0A0X1KG70,Class II,1
9606.A0A286YEU6,Class II,7
9606.A0A2R8Y4L6,Class II,8
9606.A0A2R8YED5,Class II,4
9606.A0A2R8YEH3,Class II,10
9606.A0A3B3IT45,Class I,2
9606.A0AAG2UY17,Class II,17
9606.A3KFT3,Class II,1
9606.A4D2G3,Class II,19
9606.A6NCV1,Class II,1
9606.A6ND48,Class II,0
9606.A6NDH6,Class II,1
9606.A6NDL8,Class II,19
9606.A6NET4,Class II,0
9606.A6NF89,Class II,1
9606.A6NGY5,Class I,0
9606.A6NH00,Class II,13
9606.A6NHA9,Class II,0
9606.A6NHG9,Class II,4
9606.A6NIJ9,Class II,0
9606.A6NJZ3,Class II,3
9606.A6NKK0,Class II,4
9606.A6NL08,Class II,2
9606.A6NL26,Class II,1
9606.A6NM03,Class II,3
9606.A6NM76,Class II,1
9606.A6NMS3,Class II,6
9606.A6NMU1,Class I,20
9606.A6NMZ5,Class II,3
9606.A6NND4,Class II,5
9606.B2RN74,Class II,58
9606.O14581,Class II,2
9606.O43749,Class II,0
9606.O43869,Class II,2
9606.O60403,Class II,12
9606.O60404,Class II,3
9606.O60412,Class II,2
9606.O60431,Class II,3
9606.O76000,Class II,14
9606.O76001,Class II,539
9606.O76002,Class II,113
9606.O76099,Class II,10
9606.O76100,Class II,15
9606.O95006,Class II,8
9606.O95007,Class II,1
9606.O95013,Class II,9
9606.O95047,Class II,10
9606.O95221,Class II,3
9606.O95222,Class II,8
9606.O95371,Class II,4
9606.O95918,Class II,5
9606.P0C604,Class II,5
9606.P0C617,Class II,5
9606.P0C623,Class II,17
9606.P0C626,Class II,1
9606.P0C628,Class II,4
9606.P0C629,Class II,2
9606.P0C645,Class II,3
9606.P0C646,Class I,4
9606.P0C7N1,Class II,2
9606.P0C7N5,Class II,0
9606.P0C7N8,Class II,3
9606.P0C7T2,Class II,0
9606.P0C7T3,Class I,119
9606.P0DMU2,Class II,5
9606.P0DN80,Class II,6
9606.P0DN81,Class II,2
9606.P0DN82,Class II,2
9606.P30953,Class II,2
9606.P30954,Class II,0
9606.P34982,Class II,433
9606.P47881,Class II,53
9606.P47883,Class II,11
9606.P47884,Class II,27
9606.P47887,Class II,4
9606.P47888,Class II,9
9606.P47890,Class II,366
9606.P47893,Class II,24
9606.P58170,Class II,10
9606.P58173,Class II,1
9606.P58180,Class II,13
9606.P58181,Class II,1
9606.P58182,Class II,3
9606.P59922,Class II,13
9606.Q13606,Class II,17
9606.Q13607,Class II,9
9606.Q15612,Class II,0
9606.Q15615,Class II,2
9606.Q15617,Class II,1
9606.Q15619,Class II,51
9606.Q15620,Class II,3
9606.Q15622,Class II,4
9606.Q5JQS5,Class II,33
9606.Q5JRS4,Class II,52
9606.Q5TZ20,Class II,4
9606.Q6IEU7,Class II,32
9606.Q6IEV9,Class II,2
9606.Q6IEY1,Class II,8
9606.Q6IEZ7,Class II,5
9606.Q6IF00,Class II,20
9606.Q6IF36,Class II,0
9606.Q6IF42,Class II,7
9606.Q6IF63,Class I,43
9606.Q6IF82,Class II,10
9606.Q6IF99,Class II,3
9606.Q6IFG1,Class I,0
9606.Q6IFH4,Class II,0
9606.Q6IFN5,Class II,0
9606.Q7Z3T1,Class II,4
9606.Q8IXE1,Class II,0
9606.Q8N0Y3,Class II,1
9606.Q8N0Y5,Class II,3
9606.Q8N127,Class II,10
9606.Q8N146,Class II,1
9606.Q8N148,Class II,16
9606.Q8N162,Class II,1
9606.Q8N349,Class II,6
9606.Q8N628,Class II,24
9606.Q8NG75,Class II,1
9606.Q8NG76,Class II,13
9606.Q8NG77,Class II,15
9606.Q8NG78,Class II,1
9606.Q8NG80,Class II,55
9606.Q8NG81,Class II,5
9606.Q8NG83,Class II,13
9606.Q8NG84,Class II,1
9606.Q8NG85,Class II,1
9606.Q8NG92,Class II,5
9606.Q8NG94,Class II,29
9606.Q8NG95,Class II,7
9606.Q8NG97,Class II,11
9606.Q8NG98,Class II,17
9606.Q8NG99,Class II,2
9606.Q8NGA0,Class II,0
9606.Q8NGA1,Class II,13
9606.Q8NGA2,Class II,3
9606.Q8NGA5,Class II,5
9606.Q8NGA6,Class II,0
9606.Q8NGA8,Class II,11
9606.Q8NGB2,Class II,0
9606.Q8NGB4,Class II,1
9606.Q8NGB6,Class II,0
9606.Q8NGB8,Class II,1
9606.Q8NGB9,Class II,9
9606.Q8NGC0,Class II,1
9606.Q8NGC1,Class II,1
9606.Q8NGC2,Class II,0
9606.Q8NGC3,Class II,7
9606.Q8NGC4,Class II,39
9606.Q8NGC5,Class II,64
9606.Q8NGC6,Class II,3
9606.Q8NGC7,Class II,2
9606.Q8NGC8,Class II,40
9606.Q8NGC9,Class II,5
9606.Q8NGD0,Class II,24
9606.Q8NGD1,Class II,11
9606.Q8NGD2,Class II,2
9606.Q8NGD3,Class II,14
9606.Q8NGD4,Class II,0
9606.Q8NGD5,Class II,0
9606.Q8NGE0,Class II,1
9606.Q8NGE1,Class II,0
9606.Q8NGE2,Class II,1
9606.Q8NGE3,Class II,1
9606.Q8NGE5,Class II,2
9606.Q8NGE7,Class II,2
9606.Q8NGE8,Class II,3
9606.Q8NGE9,Class II,7
9606.Q8NGF0,Class I,0
9606.Q8NGF1,Class I,16
9606.Q8NGF3,Class I,2
9606.Q8NGF4,Class II,0
9606.Q8NGF6,Class II,5
9606.Q8NGF7,Class II,3
9606.Q8NGF8,Class II,2
9606.Q8NGF9,Class II,3
9606.Q8NGG0,Class II,2
9606.Q8NGG1,Class II,12
9606.Q8NGG2,Class II,0
9606.Q8NGG3,Class II,0
9606.Q8NGG4,Class II,36
9606.Q8NGG5,Class II,1
9606.Q8NGG6,Class II,46
9606.Q8NGG7,Class II,1
9606.Q8NGG8,Class II,144
9606.Q8NGH3,Class II,0
9606.Q8NGH5,Class I,1
