leaf_id,uniprot,OR_class
9606.A0A3B3IT45,A0A3B3IT45,Class_I
9606.A6NGY5,A6NGY5,Class_I
9606.A6NMU1,A6NMU1,Class_I
9606.P0C646,P0C646,Class_I
9606.P0C7T3,P0C7T3,Class_I
9606.Q6IF63,Q6IF63,Class_I
9606.Q6IFG1,Q6IFG1,Class_I
9606.Q8NGF0,Q8NGF0,Class_I
9606.Q8NGF1,Q8NGF1,Class_I
9606.Q8NGF3,Q8NGF3,Class_I
9606.Q8NGH5,Q8NGH5,Class_I
9606.Q8NGH6,Q8NGH6,Class_I
9606.Q8NGH7,Q8NGH7,Class_I
9606.Q8NGH8,Q8NGH8,Class_I
9606.Q8NGH9,Q8NGH9,Class_I
9606.Q8NGI0,Q8NGI0,Class_I
9606.Q8NGI1,Q8NGI1,Class_I
9606.Q8NGI2,Q8NGI2,Class_I
9606.Q8NGI3,Q8NGI3,Class_I
9606.Q8NGJ2,Q8NGJ2,Class_I
9606.Q8NGJ3,Q8NGJ3,Class_I
9606.Q8NGJ4,Q8NGJ4,Class_I
9606.Q8NGJ5,Q8NGJ5,Class_I
9606.Q8NGJ6,Q8NGJ6,Class_I
9606.Q8NGJ7,Q8NGJ7,Class_I
9606.Q8NGJ8,Q8NGJ8,Class_I
9606.Q8NGJ9,Q8NGJ9,Class_I
9606.Q8NGK0,Q8NGK0,Class_I
9606.Q8NGK1,Q8NGK1,Class_I
9606.Q8NGK2,Q8NGK2,Class_I
9606.Q8NGK3,Q8NGK3,Class_I
9606.Q8NGK4,Q8NGK4,Class_I
9606.Q8NGK5,Q8NGK5,Class_I
9606.Q8NGK6,Q8NGK6,Class_I
9606.Q8NH53,Q8NH53,Class_I
9606.Q8NH54,Q8NH54,Class_I
9606.Q8NH55,Q8NH55,Class_I
9606.Q8NH56,Q8NH56,Class_I
9606.Q8NH57,Q8NH57,Class_I
9606.Q8NH59,Q8NH59,Class_I
9606.Q8NH60,Q8NH60,Class_I
9606.Q8NH61,Q8NH61,Class_I
9606.Q8NH63,Q8NH63,Class_I
9606.Q8NH64,Q8NH64,Class_I
9606.Q8NH67,Q8NH67,Class_I
9606.Q8NH76,Q8NH76,Class_I
9606.Q8TCB6,Q8TCB6,Class_I
9606.Q96RD2,Q96RD2,Class_I
9606.Q96RD3,Q96RD3,Class_I
9606.Q9H255,Q9H255,Class_I
9606.Q9H2C5,Q9H2C5,Class_I
9606.Q9H2C8,Q9H2C8,Class_I
9606.Q9H339,Q9H339,Class_I
9606.Q9H340,Q9H340,Class_I
9606.Q9H341,Q9H341,Class_I
9606.Q9H342,Q9H342,Class_I
9606.Q9H343,Q9H343,Class_I
9606.Q9H344,Q9H344,Class_I
9606.Q9H346,Q9H346,Class_I
9606.Q9UKL2,Q9UKL2,Class_I
9606.Q9Y5P0,Q9Y5P0,Class_I
9606.Q9Y5P1,Q9Y5P1,Class_I
9606.A0A096LPK9,A0A096LPK9,Class_II
9606.A0A0G2JNH3,A0A0G2JNH3,Class_II
9606.A0A0X1KG70,A0A0X1KG70,Class_II
9606.A0A286YEU6,A0A286YEU6,Class_II
9606.A0A2R8Y4L6,A0A2R8Y4L6,Class_II
9606.A0A2R8YED5,A0A2R8YED5,Class_II
9606.A0A2R8YEH3,A0A2R8YEH3,Class_II
9606.A0AAG2UY17,A0AAG2UY17,Class_II
9606.A3KFT3,A3KFT3,Class_II
9606.A4D2G3,A4D2G3,Class_II
9606.A6NCV1,A6NCV1,Class_II
9606.A6ND48,A6ND48,Class_II
9606.A6NDH6,A6NDH6,Class_II
9606.A6NDL8,A6NDL8,Class_II
9606.A6NET4,A6NET4,Class_II
9606.A6NF89,A6NF89,Class_II
9606.A6NH00,A6NH00,Class_II
9606.A6NHA9,A6NHA9,Class_II
9606.A6NHG9,A6NHG9,Class_II
9606.A6NIJ9,A6NIJ9,Class_II
9606.A6NJZ3,A6NJZ3,Class_II
9606.A6NKK0,A6NKK0,Class_II
9606.A6NL08,A6NL08,Class_II
9606.A6NL26,A6NL26,Class_II
9606.A6NM03,A6NM03,Class_II
9606.A6NM76,A6NM76,Class_II
9606.A6NMS3,A6NMS3,Class_II
9606.A6NMZ5,A6NMZ5,Class_II
9606.A6NND4,A6NND4,Class_II
9606.B2RN74,B2RN74,Class_II
9606.O14581,O14581,Class_II
9606.O43749,O43749,Class_II
9606.O43869,O43869,Class_II
9606.O60403,O60403,Class_II
9606.O60404,O60404,Class_II
9606.O60412,O60412,Class_II
9606.O60431,O60431,Class_II
9606.O76000,O76000,Class_II
9606.O76001,O76001,Class_II
9606.O76002,O76002,Class_II
9606.O76099,O76099,Class_II
9606.O76100,O76100,Class_II
9606.O95006,O95006,Class_II
9606.O95007,O95007,Class_II
9606.O95013,O95013,Class_II
9606.O95047,O95047,Class_II
9606.O95221,O95221,Class_II
9606.O95222,O95222,Class_II
9606.O95371,O95371,Class_II
9606.O95918,O95918,Class_II
9606.P0C604,P0C604,Class_II
9606.P0C617,P0C617,Class_II
9606.P0C623,P0C623,Class_II
9606.P0C626,P0C626,Class_II
9606.P0C628,P0C628,Class_II
9606.P0C629,P0C629,Class_II
9606.P0C645,P0C645,Class_II
9606.P0C7N1,P0C7N1,Class_II
9606.P0C7N5,P0C7N5,Class_II
9606.P0C7N8,P0C7N8,Class_II
9606.P0C7T2,P0C7T2,Class_II
9606.P0DMU2,P0DMU2,Class_II
9606.P0DN80,P0DN80,Class_II
9606.P0DN81,P0DN81,Class_II
9606.P0DN82,P0DN82,Class_II
9606.P30953,P30953,Class_II
9606.P30954,P30954,Class_II
9606.P34982,P34982,Class_II
