9606.A0A096LPK9	ORN4C_HUMAN
9606.A0A0G2JNH3	A0A0G2JNH3_HUMAN
9606.A0A0X1KG70	ORM2B_HUMAN
9606.A0A286YEU6	OR1R1_HUMAN
9606.A0A2R8YEH3	A0A2R8YEH3_HUMAN
9606.A0A2R8Y4L6	OR5D3_HUMAN
9606.A0A2R8YED5	O5BS1_HUMAN
9606.A0A3B3IT45	O51C1_HUMAN
9606.A3KFT3	OR2M5_HUMAN
9606.A4D2G3	O2A25_HUMAN
9606.A6NM03	O2AG2_HUMAN
9606.A6NCV1	O6C74_HUMAN
9606.A6NH00	OR2T8_HUMAN
9606.A6NF89	OR6C6_HUMAN
9606.A6NIJ9	O6C70_HUMAN
9606.A6NDL8	O6C68_HUMAN
9606.A6NL26	O5B21_HUMAN
9606.A6NL08	O6C75_HUMAN
9606.A6NJZ3	O6C65_HUMAN
9606.A6NM76	O6C76_HUMAN
9606.A6NND4	O2AT4_HUMAN
9606.A6ND48	O14I1_HUMAN
9606.A6NKK0	OR5H1_HUMAN
9606.A6NDH6	O5H15_HUMAN
9606.A6NHG9	O5H14_HUMAN
9606.A6NMS3	OR5K4_HUMAN
9606.A6NET4	OR5K3_HUMAN
9606.A6NHA9	O4C46_HUMAN
9606.A6NFC9	OR2W5_HUMAN
9606.A6NMZ5	O4C45_HUMAN
9606.A6NGY5	O51F1_HUMAN
9606.A6NMU1	O52A4_HUMAN
9606.B2RN74	O11HC_HUMAN
9606.O43613	OX1R_HUMAN
9606.O43614	OX2R_HUMAN
9606.O43603	GALR2_HUMAN
9606.O00590	ACKR2_HUMAN
9606.O60755	GALR3_HUMAN
9606.O15218	ACKR5_HUMAN
9606.O00155	GPR25_HUMAN
9606.O43193	MTLR_HUMAN
9606.O14804	TAAR5_HUMAN
9606.O00574	CXCR6_HUMAN
9606.O14718	OPSX_HUMAN
9606.O00254	PAR3_HUMAN
9606.O00270	GPR31_HUMAN
9606.O14581	OR7AH_HUMAN
9606.O00421	CCRL2_HUMAN
9606.O00398	P2Y10_HUMAN
9606.O60412	OR7C2_HUMAN
9606.O14843	FFAR3_HUMAN
9606.O15529	GPR42_HUMAN
9606.O15552	FFAR2_HUMAN
9606.O43749	OR1F1_HUMAN
9606.O43869	OR2T1_HUMAN
9606.O60431	OR1I1_HUMAN
9606.O15354	GPR37_HUMAN
9606.O14626	GP171_HUMAN
9606.O60403	O10H2_HUMAN
9606.O43194	GPR39_HUMAN
9606.O60404	O10H3_HUMAN
9606.O14842	FFAR1_HUMAN
9606.O60883	G37L1_HUMAN
9606.P08908	5HT1A_HUMAN
9606.P08588	ADRB1_HUMAN
9606.P11229	ACM1_HUMAN
9606.P07550	ADRB2_HUMAN
9606.P08913	ADA2A_HUMAN
9606.P08912	ACM5_HUMAN
9606.P08173	ACM4_HUMAN
9606.P08172	ACM2_HUMAN
9606.P03999	OPSB_HUMAN
9606.P08100	OPSD_HUMAN
9606.P0DQD5	NPY42_HUMAN
9606.P04001	OPSG_HUMAN
9606.P0DN77	OPSG2_HUMAN
9606.P0DN78	OPSG3_HUMAN
9606.P04000	OPSR_HUMAN
9606.P0DMS8	AA3R_HUMAN
9606.O76100	OR7AA_HUMAN
9606.O76099	OR7C1_HUMAN
9606.O95371	OR2C1_HUMAN
9606.O76002	OR2J2_HUMAN
9606.P0DN81	O13C7_HUMAN
9606.O95665	NTR2_HUMAN
9606.O95918	OR2H2_HUMAN
9606.O76001	OR2J3_HUMAN
9606.O76000	OR2B3_HUMAN
